ta_pairs_nbr;ta_pairs_pairs;model;seed;temperature;system_fingerprint;prompt_tokens;completion_tokens
0;['TA1', 'TA2'];llama-3.3-70b-instruct;;0.1;;77058;523
1;['TA1', 'TA3'];llama-3.3-70b-instruct;;0.1;;77215;948
2;['TA1', 'TA4'];llama-3.3-70b-instruct;;0.1;;78245;770
3;['TA1', 'TA5'];llama-3.3-70b-instruct;;0.1;;79026;370
4;['TA1', 'TA6'];llama-3.3-70b-instruct;;0.1;;77633;608
5;['TA1', 'TA7'];llama-3.3-70b-instruct;;0.1;;76585;561
6;['TA2', 'TA1'];llama-3.3-70b-instruct;;0.1;;77058;1135
7;['TA2', 'TA3'];llama-3.3-70b-instruct;;0.1;;78234;1322
8;['TA2', 'TA4'];llama-3.3-70b-instruct;;0.1;;79264;567
9;['TA2', 'TA5'];llama-3.3-70b-instruct;;0.1;;80045;593
10;['TA2', 'TA6'];llama-3.3-70b-instruct;;0.1;;78652;688
11;['TA2', 'TA7'];llama-3.3-70b-instruct;;0.1;;77604;2429
12;['TA3', 'TA1'];llama-3.3-70b-instruct;;0.1;;77215;679
13;['TA3', 'TA2'];llama-3.3-70b-instruct;;0.1;;78234;684
14;['TA3', 'TA4'];llama-3.3-70b-instruct;;0.1;;79421;584
15;['TA3', 'TA5'];llama-3.3-70b-instruct;;0.1;;80202;489
16;['TA3', 'TA6'];llama-3.3-70b-instruct;;0.1;;78809;527
17;['TA3', 'TA7'];llama-3.3-70b-instruct;;0.1;;77761;786
18;['TA4', 'TA1'];llama-3.3-70b-instruct;;0.1;;78245;1617
19;['TA4', 'TA2'];llama-3.3-70b-instruct;;0.1;;79264;693
20;['TA4', 'TA3'];llama-3.3-70b-instruct;;0.1;;79421;729
21;['TA4', 'TA5'];llama-3.3-70b-instruct;;0.1;;81232;727
22;['TA4', 'TA6'];llama-3.3-70b-instruct;;0.1;;79839;736
23;['TA4', 'TA7'];llama-3.3-70b-instruct;;0.1;;78791;2685
24;['TA5', 'TA1'];llama-3.3-70b-instruct;;0.1;;79026;617
25;['TA5', 'TA2'];llama-3.3-70b-instruct;;0.1;;80045;674
26;['TA5', 'TA3'];llama-3.3-70b-instruct;;0.1;;80202;807
27;['TA5', 'TA4'];llama-3.3-70b-instruct;;0.1;;81232;713
28;['TA5', 'TA6'];llama-3.3-70b-instruct;;0.1;;80620;678
29;['TA5', 'TA7'];llama-3.3-70b-instruct;;0.1;;79572;461
30;['TA6', 'TA1'];llama-3.3-70b-instruct;;0.1;;77633;701
31;['TA6', 'TA2'];llama-3.3-70b-instruct;;0.1;;78652;820
32;['TA6', 'TA3'];llama-3.3-70b-instruct;;0.1;;78809;784
33;['TA6', 'TA4'];llama-3.3-70b-instruct;;0.1;;79839;950
34;['TA6', 'TA5'];llama-3.3-70b-instruct;;0.1;;80620;834
35;['TA6', 'TA7'];llama-3.3-70b-instruct;;0.1;;78179;885
36;['TA7', 'TA1'];llama-3.3-70b-instruct;;0.1;;76585;542
37;['TA7', 'TA2'];llama-3.3-70b-instruct;;0.1;;77604;597
38;['TA7', 'TA3'];llama-3.3-70b-instruct;;0.1;;77761;520
39;['TA7', 'TA4'];llama-3.3-70b-instruct;;0.1;;78791;1049
40;['TA7', 'TA5'];llama-3.3-70b-instruct;;0.1;;79572;630
41;['TA7', 'TA6'];llama-3.3-70b-instruct;;0.1;;78179;619
