source_subtheme;source_subtheme_targets;impact_subtheme;impact_type;impact_weight;justification
GHG Reduction;TA1.3,TA1.7,TA1.9,TA1.11,TA1.13,TA5.7;Renewable Energy;+2;The reduction of greenhouse gas emissions can be achieved through the use of renewable energy sources, which in turn can aid in the achievement of renewable energy targets.
GHG Reduction;TA1.3,TA1.7,TA1.9,TA1.11,TA1.13,TA5.7;Energy Efficiency;+2;Improving energy efficiency can help reduce greenhouse gas emissions, thereby reinforcing energy efficiency targets.
Biofuels;TA4.1,TA4.18,TA4.7;Renewable Energy - Hydrogen Production;-1;The production of biofuels may compete with the production of renewable hydrogen, potentially constraining the growth of the renewable hydrogen sector.
Hydrogen Distribution;TA4.23,TA4.30,TA4.31;Renewable Energy;+1;The development of hydrogen distribution infrastructure can create conditions that further the growth of the renewable energy sector, particularly in the context of hydrogen production.
Hydrogen Distribution;TA4.23,TA4.30,TA4.31;Energy Efficiency;-1;The focus on hydrogen distribution may limit options for improving energy efficiency in other areas, such as building insulation or smart grids.
Urban Mobility;TA4.54;Renewable Energy - Solar;+1;Promoting urban mobility through sustainable means, such as electric vehicles, can create conditions that further the adoption of solar energy, particularly in urban areas.
Transport Logistics;TA4.11,TA4.36,TA4.37,TA4.39,TA4.43,TA4.50,TA4.51,TA4.56;Renewable Energy - Ocean/Offshore;+2;Improving transport logistics can aid in the efficient transportation of offshore wind equipment and materials, reinforcing the growth of the offshore wind sector.
Net-Zero Technology - Road Vehicles;TA4.13,TA4.22,TA4.25,TA4.26,TA4.27,TA4.28,TA4.29,TA4.44,TA4.45,TA4.55;Renewable Energy - Solar;+1;The development of net-zero technology for road vehicles can create conditions that further the growth of the solar energy sector, particularly in the context of electric vehicle charging.
Other Low-Carbon Fuels;TA4.4,TA4.5,TA4.6;Energy Efficiency;-2;The focus on other low-carbon fuels may counteract efforts to improve energy efficiency, as these fuels may not be as efficient as other alternatives.
Rail;TA4.37,TA4.38,TA4.40;Renewable Energy;+2;The development of rail infrastructure can aid in the transportation of renewable energy equipment and materials, reinforcing the growth of the renewable energy sector.
Rail;TA4.37,TA4.38,TA4.40;Energy Efficiency;+1;Improving rail infrastructure can create conditions that further the improvement of energy efficiency, particularly in the context of freight transportation.
