target_code;target_content;NACE_level1;NACE_level1_extra1;NACE_level1_extra2;NACE_level2;NACE_level2_extra1;NACE_level2_extra2;NACE_level_3;NACE_level_3_extra1;NACE level3_extra2;justification;confidence_score
TA3.1;Halve the amount of residual (non-recycled) municipal waste;E - Water Supply, Sewerage, Waste Management and Remediation Activities;C - Manufacturing;;E38 - Waste collection, treatment and disposal activities, materials recovery;C32 - Other manufacturing;;E38.1 - Waste collection;E38.2 - Waste treatment and disposal;;This target is focused on waste management and recycling, which aligns with the activities in the E38 category. Manufacturing is included due to the potential involvement in recycling processes.;8
TA3.10;Union's access to a secure and sustainable supply of critical raw materials by ensuring that the Union's recycling capacity, including for all intermediate recycling steps, is able to produce at least 15% of the Union's annual consumption of strategic raw materials;B - Mining and Quarrying;C - Manufacturing;E - Water Supply, Sewerage, Waste Management and Remediation Activities;B9 - Mining support service activities;C24 - Manufacture of basic metals;E38 - Waste collection, treatment and disposal activities, materials recovery;B9.9 - Support activities for other mining and quarrying;C24.1 - Manufacture of basic iron and steel and of ferro-alloys;E38.3 - Materials recovery;The target involves recycling and raw material supply, which involves mining, manufacturing, and waste management sectors.;9
TA3.11;Diversify the Union's imports of strategic raw materials with a view to ensure that the Union's annual consumption of each strategic raw material at any relevant stage of processing can rely on imports from several third countries, none of which provide more than 65% of the Union's annual consumption;B - Mining and Quarrying;C - Manufacturing;G - Wholesale and Retail Trade, Repair of Motor Vehicles and Motorcycles;B7 - Mining of metal ores;C24 - Manufacture of basic metals;G46 - Wholesale trade, except of motor vehicles and motorcycles;B7.1 - Mining of iron ores;C24.1 - Manufacture of basic iron and steel and of ferro-alloys;G46.1 - Wholesale on a fee or contract basis;The target focuses on the diversification of raw materials, involving mining, manufacturing, and trade sectors.;8
TA3.12;by 2030, manufacturing capacity in the Union of the strategic net-zero technologies listed in the Annex approaches or reaches a benchmark of at least 40% of the Union’s annual deployment needs for the corresponding technologies necessary to achieve the Union’s 2030 climate and energy targets;C - Manufacturing;D - Electricity, Gas, Steam and Air Conditioning Supply;M - Professional, Scientific and Technical Activities;C26 - Manufacture of computer, electronic and optical products;D35 - Electricity, gas, steam and air conditioning supply;M72 - Scientific research and development;C26.1 - Manufacture of electronic components and boards;D35.1 - Electric power generation, transmission and distribution;M72.1 - Research and experimental development on natural sciences and engineering;The target is about increasing manufacturing capacity for net-zero technologies, involving manufacturing, energy supply, and scientific research.;9
TA3.13;nan;;;;;;;nan;;;No content available.;0
TA3.14;nan;;;;;;;nan;;;No content available.;0
TA3.15;Producers of portable batteries or, where appointed in accordance with Article 57(1), producer responsibility organisations, shall ensure that all waste portable batteries, Light Means of Transport (LMT) and SLI batteries, regardless of their nature, chemical composition, condition, brand or origin, are collected separately in the territory of a Member State where they make these batteries available on the market for the first time.;E - Water Supply, Sewerage, Waste Management and Remediation Activities;C - Manufacturing;;E38 - Waste collection, treatment and disposal activities, materials recovery;C27 - Manufacture of electrical equipment;;E38.3 - Materials recovery;C27.2 - Manufacture of batteries and accumulators;;The target involves the collection and recycling of batteries, which relates to waste management and the manufacturing of electrical equipment.;9
TA3.16;Producers of portable batteries or producer responsibility organisations, shall attain, and maintain durably, at least the following collection targets for waste portable batteries: 45 % by 31 December 2023, 63 % by 31 December 2027, 73 % by 31 December 2030.;E - Water Supply, Sewerage, Waste Management and Remediation Activities;C - Manufacturing;;E38 - Waste collection, treatment and disposal activities, materials recovery;C27 - Manufacture of electrical equipment;;E38.3 - Materials recovery;C27.2 - Manufacture of batteries and accumulators;;The target sets collection goals for waste batteries, involving waste management and battery manufacturing.;9
TA3.17;Producers of LMT (Light Means of Transport) batteries or producer responsibility organisations, shall attain, and maintain durably, at least the following collection targets of waste LMT batteries: 51 % by 31 December 2028, 61 % by 31 December 2031.;E - Water Supply, Sewerage, Waste Management and Remediation Activities;C - Manufacturing;;E38 - Waste collection, treatment and disposal activities, materials recovery;C27 - Manufacture of electrical equipment;;E38.3 - Materials recovery;C27.2 - Manufacture of batteries and accumulators;;This target is about collecting LMT batteries, involving waste management and battery manufacturing.;9
TA3.18;Recycled content in industrial batteries, electric vehicle batteries, LMT batteries and SLI batteries: Cobalt:  16 % by 2031 (26% by 2036), Lead: 85% (85%), Nickel: 6% (12%), Lithium 6% (15%);C - Manufacturing;E - Water Supply, Sewerage, Waste Management and Remediation Activities;;C27 - Manufacture of electrical equipment;E38 - Waste collection, treatment and disposal activities, materials recovery;;C27.2 - Manufacture of batteries and accumulators;E38.3 - Materials recovery;;The target focuses on increasing recycled content in batteries, involving manufacturing and waste management.;9
