source_policydoc;impact_policydoc;impact_type;impact_weight;justification
Energy from Renewable Sources;On ensuring a level playing field for sustainable air transport;+2;The implementation of the 'Energy from Renewable Sources' targets can reinforce the 'On ensuring a level playing field for sustainable air transport' policy document by increasing the share of renewable energy in the energy mix, thus supporting the transition to sustainable air transport.
Biofuels - Directive (EU) 2023/2413;On the deployment of alternative fuels infrastructure;+1;The 'Biofuels - Directive (EU) 2023/2413' policy document can enable the 'On the deployment of alternative fuels infrastructure' policy document by promoting the use of advanced biofuels and biogas in the transport sector, which can contribute to the development of alternative fuels infrastructure.
On ensuring a level playing field for sustainable air transport;Energy from Renewable Sources;+1;The 'On ensuring a level playing field for sustainable air transport' policy document can enable the 'Energy from Renewable Sources' policy document by promoting the use of renewable energy sources in air transport, which can increase the share of renewable energy in the energy mix.
Aviation Fuel - Regulation (EU) 2023/2405;On the deployment of alternative fuels infrastructure;+2;The 'Aviation Fuel - Regulation (EU) 2023/2405' policy document can reinforce the 'On the deployment of alternative fuels infrastructure' policy document by setting targets for the use of renewable and low-carbon fuels in aviation, which can support the development of alternative fuels infrastructure.
On the deployment of alternative fuels infrastructure;A Renovation Wave for Europe;+1;The 'On the deployment of alternative fuels infrastructure' policy document can enable the 'A Renovation Wave for Europe' policy document by promoting the use of renewable energy sources in buildings, which can contribute to the renovation of buildings and the development of alternative fuels infrastructure.
On the deployment of alternative fuels infrastructure;On the Energy Performance of Buildings (recast);+1;The 'On the deployment of alternative fuels infrastructure' policy document can enable the 'On the Energy Performance of Buildings (recast)' policy document by promoting the use of renewable energy sources in buildings, which can contribute to the improvement of the energy performance of buildings.
Amending Regulation (EU) 2019/1242;On the use of renewable and low-carbon fuels in maritime transport and amending Directive 2009/16/EC;+2;The 'Amending Regulation (EU) 2019/1242' policy document can reinforce the 'On the use of renewable and low-carbon fuels in maritime transport and amending Directive 2009/16/EC' policy document by promoting the use of renewable and low-carbon fuels in maritime transport, which can support the reduction of greenhouse gas emissions from maritime transport.
On the use of renewable and low-carbon fuels in maritime transport and amending Directive 2009/16/EC;Sustainable and Smart Mobility Strategy;+1;The 'On the use of renewable and low-carbon fuels in maritime transport and amending Directive 2009/16/EC' policy document can enable the 'Sustainable and Smart Mobility Strategy' policy document by promoting the use of renewable and low-carbon fuels in maritime transport, which can contribute to the development of sustainable and smart mobility.
Sustainable and Smart Mobility Strategy;Hydrogen Strategy;+2;The 'Sustainable and Smart Mobility Strategy' policy document can reinforce the 'Hydrogen Strategy' policy document by promoting the use of renewable energy sources in transport, which can support the development of hydrogen production and use in the transport sector.
Hydrogen Strategy;Energy from Renewable Sources;+1;The 'Hydrogen Strategy' policy document can enable the 'Energy from Renewable Sources' policy document by promoting the use of renewable energy sources for hydrogen production, which can increase the share of renewable energy in the energy mix.
The new EU Urban Mobility Framework;On ensuring a level playing field for sustainable air transport;+1;The 'The new EU Urban Mobility Framework' policy document can enable the 'On ensuring a level playing field for sustainable air transport' policy document by promoting sustainable urban mobility, which can contribute to the reduction of greenhouse gas emissions from air transport.
On energy efficiency and amending Regulation (EU) 2023/955 (recast);A Renovation Wave for Europe;+2;The 'On energy efficiency and amending Regulation (EU) 2023/955 (recast)' policy document can reinforce the 'A Renovation Wave for Europe' policy document by promoting energy efficiency in buildings, which can support the renovation of buildings and the improvement of energy efficiency.
On packaging and packaging waste;On the Energy Performance of Buildings (recast);+1;The 'On packaging and packaging waste' policy document can enable the 'On the Energy Performance of Buildings (recast)' policy document by promoting the use of renewable energy sources in buildings, which can contribute to the improvement of the energy performance of buildings.
On the Energy Performance of Buildings (recast);REPowerEU Plan;+1;The 'On the Energy Performance of Buildings (recast)' policy document can enable the 'REPowerEU Plan' policy document by promoting energy efficiency in buildings, which can contribute to the reduction of energy consumption and greenhouse gas emissions.
REPowerEU Plan;EU Solar Energy Strategy;+2;The 'REPowerEU Plan' policy document can reinforce the 'EU Solar Energy Strategy' policy document by promoting the use of renewable energy sources, which can support the development of solar energy production and use in the EU.
EU Solar Energy Strategy;Powering a Climate neutrality economy;+1;The 'EU Solar Energy Strategy' policy document can enable the 'Powering a Climate neutrality economy' policy document by promoting the use of solar energy, which can contribute to the development of a climate-neutral economy.
Powering a Climate neutrality economy;Delivering on the EU offshore renewable energy ambitions;+2;The 'Powering a Climate neutrality economy' policy document can reinforce the 'Delivering on the EU offshore renewable energy ambitions' policy document by promoting the use of offshore renewable energy sources, which can support the development of offshore renewable energy production and use in the EU.
Delivering on the EU offshore renewable energy ambitions;Energy from Renewable Sources;+1;The 'Delivering on the EU offshore renewable energy ambitions' policy document can enable the 'Energy from Renewable Sources' policy document by promoting the use of offshore renewable energy sources, which can increase the share of renewable energy in the energy mix.
