source_policydoc;impact_policydoc;impact_type;impact_weight;justification
EU Biodiversity Strategy for 2030;Energy from Renewable Sources;+;2;The EU Biodiversity Strategy for 2030 aims to protect and restore ecosystems, which can positively impact the Energy from Renewable Sources policy document by providing a stable and healthy environment for renewable energy production.
EU Biodiversity Strategy for 2030;A Renovation Wave for Europe;-;1;The EU Biodiversity Strategy for 2030 may constrain the A Renovation Wave for Europe policy document by limiting the options for building renovations due to the protection of natural habitats.
On Nature Restoration;Energy from Renewable Sources;+;3;The On Nature Restoration policy document can reinforce the Energy from Renewable Sources policy document by restoring natural ecosystems, which can provide a stable environment for renewable energy production and reduce the risks associated with climate-related hazards.
On Nature Restoration;A Renovation Wave for Europe;+;2;The On Nature Restoration policy document can enable the A Renovation Wave for Europe policy document by creating conditions for sustainable building renovations, such as providing green spaces and reducing urban pollution.
EU Biodiversity Strategy for 2030;On packaging and packaging waste;-;1;The EU Biodiversity Strategy for 2030 may counteract the On packaging and packaging waste policy document by promoting the reduction of waste, which can limit the options for packaging and packaging waste reduction.
EU Biodiversity Strategy for 2030;On the Energy Performance of Buildings (recast);+;2;The EU Biodiversity Strategy for 2030 can reinforce the On the Energy Performance of Buildings (recast) policy document by promoting energy-efficient buildings, which can reduce energy consumption and greenhouse gas emissions.
On Nature Restoration;REPowerEU Plan;+;3;The On Nature Restoration policy document can reinforce the REPowerEU Plan policy document by restoring natural ecosystems, which can provide a stable environment for renewable energy production and reduce the risks associated with climate-related hazards.
EU Biodiversity Strategy for 2030;EU Solar Energy Strategy;+;2;The EU Biodiversity Strategy for 2030 can enable the EU Solar Energy Strategy policy document by creating conditions for sustainable solar energy production, such as providing green spaces and reducing urban pollution.
On Nature Restoration;Delivering on the EU offshore renewable energy ambitions;+;3;The On Nature Restoration policy document can reinforce the Delivering on the EU offshore renewable energy ambitions policy document by restoring natural ecosystems, which can provide a stable environment for offshore renewable energy production and reduce the risks associated with climate-related hazards.
EU Biodiversity Strategy for 2030;Powering a Climate neutrality economy;-;1;The EU Biodiversity Strategy for 2030 may constrain the Powering a Climate neutrality economy policy document by limiting the options for energy production due to the protection of natural habitats.
