Circular Economy Action Plan;EU Biodiversity Strategy for 2030;+2;The implementation of the Circular Economy Action Plan can reinforce the EU Biodiversity Strategy for 2030 by promoting sustainable consumption patterns, reducing waste, and encouraging the sharing, leasing, and collaborative consumption of products, which can lead to a decrease in the demand for primary materials and help achieve biodiversity conservation targets.
Concerning batteries and waste batteries;EU Biodiversity Strategy for 2030;+1;The policy document Concerning batteries and waste batteries can enable the EU Biodiversity Strategy for 2030 by setting recycling targets for batteries, which can help reduce electronic waste and promote sustainable material use, thereby supporting biodiversity conservation efforts.
On packaging and packaging waste;EU Biodiversity Strategy for 2030;+1;The policy document On packaging and packaging waste can enable the EU Biodiversity Strategy for 2030 by setting recycling targets for packaging waste, which can help reduce waste and promote sustainable material use, thereby supporting biodiversity conservation efforts.
On circularity requirements for vehicle design;EU Biodiversity Strategy for 2030;+1;The policy document On circularity requirements for vehicle design can enable the EU Biodiversity Strategy for 2030 by promoting the design of vehicles that are recyclable and reusable, reducing waste, and encouraging sustainable material use, which can help achieve biodiversity conservation targets.
Critical Raw Materials;EU Biodiversity Strategy for 2030;-1;The policy document Critical Raw Materials can constrain the EU Biodiversity Strategy for 2030 by promoting the extraction of critical raw materials, which can lead to environmental degradation and habitat destruction, potentially hindering biodiversity conservation efforts.
Net Zero Industry Act;EU Biodiversity Strategy for 2030;+2;The policy document Net Zero Industry Act can reinforce the EU Biodiversity Strategy for 2030 by promoting the development of sustainable and climate-neutral technologies, reducing greenhouse gas emissions, and encouraging the use of renewable energy sources, which can help achieve biodiversity conservation targets.
Amending Directive 2008/98/EC on waste;EU Biodiversity Strategy for 2030;+1;The policy document Amending Directive 2008/98/EC on waste can enable the EU Biodiversity Strategy for 2030 by setting waste management targets, which can help reduce waste and promote sustainable material use, thereby supporting biodiversity conservation efforts.
Circular Economy Action Plan;On Nature Restoration;+1;The policy document Circular Economy Action Plan can enable the policy document On Nature Restoration by promoting sustainable consumption patterns, reducing waste, and encouraging the sharing, leasing, and collaborative consumption of products, which can lead to a decrease in the demand for primary materials and help achieve nature restoration targets.
On packaging and packaging waste;On Nature Restoration;+1;The policy document On packaging and packaging waste can enable the policy document On Nature Restoration by setting recycling targets for packaging waste, which can help reduce waste and promote sustainable material use, thereby supporting nature restoration efforts.
On circularity requirements for vehicle design;On Nature Restoration;+1;The policy document On circularity requirements for vehicle design can enable the policy document On Nature Restoration by promoting the design of vehicles that are recyclable and reusable, reducing waste, and encouraging sustainable material use, which can help achieve nature restoration targets.
Critical Raw Materials;On Nature Restoration;-2;The policy document Critical Raw Materials can counteract the policy document On Nature Restoration by promoting the extraction of critical raw materials, which can lead to environmental degradation and habitat destruction, potentially hindering nature restoration efforts.
Net Zero Industry Act;On Nature Restoration;+2;The policy document Net Zero Industry Act can reinforce the policy document On Nature Restoration by promoting the development of sustainable and climate-neutral technologies, reducing greenhouse gas emissions, and encouraging the use of renewable energy sources, which can help achieve nature restoration targets.
Amending Directive 2008/98/EC on waste;On Nature Restoration;+1;The policy document Amending Directive 2008/98/EC on waste can enable the policy document On Nature Restoration by setting waste management targets, which can help reduce waste and promote sustainable material use, thereby supporting nature restoration efforts.
EU Biodiversity Strategy for 2030;On Nature Restoration;+3;The policy document EU Biodiversity Strategy for 2030 can reinforce the policy document On Nature Restoration by setting biodiversity conservation targets, which can help achieve nature restoration efforts and promote sustainable material use.
Fisheries and Oceans Pact;On Nature Restoration;+1;The policy document Fisheries and Oceans Pact can enable the policy document On Nature Restoration by promoting sustainable fishing practices, reducing marine pollution, and encouraging the use of renewable energy sources, which can help achieve nature restoration targets.
EU Soil Strategy for 2030;On Nature Restoration;+1;The policy document EU Soil Strategy for 2030 can enable the policy document On Nature Restoration by promoting sustainable soil management practices, reducing soil pollution, and encouraging the use of renewable energy sources, which can help achieve nature restoration targets.
Regulation on plant reproductive material;On Nature Restoration;+1;The policy document Regulation on plant reproductive material can enable the policy document On Nature Restoration by promoting sustainable plant reproductive material use, reducing waste, and encouraging sustainable material use, which can help achieve nature restoration targets.
Ensuring resilient and sustainable use of EU's natural resources;On Nature Restoration;+2;The policy document Ensuring resilient and sustainable use of EU's natural resources can reinforce the policy document On Nature Restoration by promoting sustainable natural resource use, reducing waste, and encouraging sustainable material use, which can help achieve nature restoration targets.
Regulation on forest reproductive material;On Nature Restoration;+1;The policy document Regulation on forest reproductive material can enable the policy document On Nature Restoration by promoting sustainable forest reproductive material use, reducing waste, and encouraging sustainable material use, which can help achieve nature restoration targets.
