source_policydoc;impact_policydoc;impact_type;impact_weight;justification
Circular Economy Action Plan;On packaging and packaging waste;+;2;The Circular Economy Action Plan aims to reduce packaging waste, which is a key objective of the On packaging and packaging waste policy document, thereby reinforcing its implementation.
Concerning batteries and waste batteries;On packaging and packaging waste;+;1;The Concerning batteries and waste batteries policy document sets recycling targets for batteries, which can enable the On packaging and packaging waste policy document to achieve its objectives related to packaging waste reduction.
On packaging and packaging waste;Concerning batteries and waste batteries;+;1;The On packaging and packaging waste policy document sets recycling targets for packaging waste, which can enable the Concerning batteries and waste batteries policy document to achieve its objectives related to battery recycling.
On circularity requirements for vehicle design;Critical Raw Materials;+;2;The On circularity requirements for vehicle design policy document promotes the use of recycled materials in vehicle production, which can aid in the achievement of the Critical Raw Materials policy document's objectives related to reducing primary material extraction.
Critical Raw Materials;On circularity requirements for vehicle design;+;2;The Critical Raw Materials policy document aims to reduce primary material extraction, which is a key objective of the On circularity requirements for vehicle design policy document, thereby reinforcing its implementation.
Net Zero Industry Act;Amending Directive 2008/98/EC on waste;+;1;The Net Zero Industry Act promotes waste reduction and recycling, which can enable the Amending Directive 2008/98/EC on waste policy document to achieve its objectives related to waste management.
Amending Directive 2008/98/EC on waste;Net Zero Industry Act;+;1;The Amending Directive 2008/98/EC on waste policy document sets targets for waste recycling, which can be facilitated by the Net Zero Industry Act's focus on reducing waste generation.
Energy from Renewable Sources;A Renovation Wave for Europe;+;2;The Energy from Renewable Sources policy document promotes the use of renewable energy, which can aid in the achievement of the A Renovation Wave for Europe policy document's objectives related to reducing energy consumption in buildings.
A Renovation Wave for Europe;Energy from Renewable Sources;+;2;The A Renovation Wave for Europe policy document aims to reduce energy consumption in buildings, which is a key objective of the Energy from Renewable Sources policy document, thereby reinforcing its implementation.
On the Energy Performance of Buildings (recast);Energy from Renewable Sources;+;1;The On the Energy Performance of Buildings (recast) policy document sets energy efficiency targets for buildings, which can be facilitated by the Energy from Renewable Sources policy document's focus on promoting renewable energy use.
REPowerEU Plan;Energy from Renewable Sources;+;2;The REPowerEU Plan aims to increase renewable energy production, which is a key objective of the Energy from Renewable Sources policy document, thereby reinforcing its implementation.
EU Solar Energy Strategy;Energy from Renewable Sources;+;1;The EU Solar Energy Strategy promotes solar energy production, which can aid in the achievement of the Energy from Renewable Sources policy document's objectives related to renewable energy production.
Powering a Climate neutrality economy;Energy from Renewable Sources;+;1;The Powering a Climate neutrality economy policy document aims to promote climate neutrality, which is a key objective of the Energy from Renewable Sources policy document, thereby reinforcing its implementation.
Delivering on the EU offshore renewable energy ambitions;Energy from Renewable Sources;+;1;The Delivering on the EU offshore renewable energy ambitions policy document sets targets for offshore renewable energy production, which can be facilitated by the Energy from Renewable Sources policy document's focus on promoting renewable energy use.
