source_policydoc;impact_policydoc;impact_type;impact_weight;justification
Energy from Renewable Sources;On the quality of water intended for human consumption;+1;Enabling;The implementation of renewable energy sources can enable the reduction of water pollution by decreasing the reliance on fossil fuels and lowering emissions, thus creating conditions that further the target of improving water quality.
Energy from Renewable Sources;Pathway to a Healthy Planet for All EU Action Plan;+2;Reinforcing;The achievement of the renewable energy target can reinforce the overall objective of the Pathway to a Healthy Planet for All EU Action Plan by providing a clean source of energy and reducing emissions, which is in line with the plan's goals.
A Renovation Wave for Europe;On the Energy Performance of Buildings (recast);+3;Indivisible;The Renovation Wave for Europe is indivisibly linked to the achievement of the target of improving the energy performance of buildings, as it aims to increase the rate of building renovations and reduce energy consumption in the building sector.
On packaging and packaging waste;On the Energy Performance of Buildings (recast);-1;Constraining;The implementation of measures to reduce packaging waste can constrain the options for energy efficiency in buildings, as some packaging materials are used in building insulation and construction.
REPowerEU Plan;EU Solar Energy Strategy;+2;Reinforcing;The REPowerEU Plan can reinforce the EU Solar Energy Strategy by promoting the development and deployment of renewable energy sources, including solar energy, which is a key component of the strategy.
EU Solar Energy Strategy;Powering a Climate neutrality economy;+1;Enabling;The EU Solar Energy Strategy can enable the achievement of the target of powering a climate-neutral economy by providing a significant portion of the renewable energy needed to reach climate neutrality.
Delivering on the EU offshore renewable energy ambitions;EU Solar Energy Strategy;+2;Reinforcing;The achievement of the offshore renewable energy target can reinforce the EU Solar Energy Strategy by providing additional renewable energy capacity and reducing emissions.
Directive 2010/75/EU of the European Parliament and of the Council;On the quality of water intended for human consumption;+1;Enabling;The implementation of the Directive can enable the reduction of water pollution by setting limits on industrial emissions and improving water treatment, thus creating conditions that further the target of improving water quality.
On the quality of water intended for human consumption;Pathway to a Healthy Planet for All EU Action Plan;+2;Reinforcing;The achievement of the target of improving water quality can reinforce the overall objective of the Pathway to a Healthy Planet for All EU Action Plan by providing clean water and reducing emissions, which is in line with the plan's goals.
Pathway to a Healthy Planet for All EU Action Plan;European assessment framework for ‘safe and sustainable by design’ chemicals and materials;+1;Enabling;The implementation of the Pathway to a Healthy Planet for All EU Action Plan can enable the development of a framework for assessing the safety and sustainability of chemicals and materials, thus creating conditions that further the target of reducing pollution.
On reporting of environmental data from industrial installations and establishing an Industrial Emissions Portal;Pathway to a Healthy Planet for All EU Action Plan;+1;Enabling;The implementation of the regulation on reporting of environmental data can enable the achievement of the target of reducing pollution by providing accurate data on emissions and creating conditions for the implementation of measures to reduce emissions.
on ambient air quality and cleaner air for Europe;Pathway to a Healthy Planet for All EU Action Plan;+2;Reinforcing;The achievement of the target of improving air quality can reinforce the overall objective of the Pathway to a Healthy Planet for All EU Action Plan by reducing emissions and improving public health, which is in line with the plan's goals.
