source_policydoc;impact_policydoc;impact_type;impact_weight;justification
A Farm to Fork Strategy;On packaging and packaging waste;+;2;The implementation of the Farm to Fork Strategy's targets on reducing food waste and increasing recycling rates can reinforce the targets of the On packaging and packaging waste policy document, as reducing food waste can lead to a decrease in packaging waste.
A Farm to Fork Strategy;Concerning batteries and waste batteries;+;1;The Farm to Fork Strategy's focus on sustainable food systems can enable the Concerning batteries and waste batteries policy document's targets on increasing recycling rates and reducing waste, as sustainable food production can lead to a reduction in battery waste.
A Farm to Fork Strategy;Critical Raw Materials;+;1;The Farm to Fork Strategy's emphasis on sustainable agriculture can create conditions that further the Critical Raw Materials policy document's targets, as sustainable agriculture can lead to a reduction in the use of critical raw materials.
On packaging and packaging waste;A Farm to Fork Strategy;+;2;The On packaging and packaging waste policy document's targets on increasing recycling rates and reducing packaging waste can reinforce the Farm to Fork Strategy's targets on reducing food waste and increasing recycling rates.
On packaging and packaging waste;Concerning batteries and waste batteries;+;1;The On packaging and packaging waste policy document's focus on reducing packaging waste can enable the Concerning batteries and waste batteries policy document's targets on increasing recycling rates and reducing waste, as reducing packaging waste can lead to a reduction in battery waste.
Concerning batteries and waste batteries;A Farm to Fork Strategy;+;1;The Concerning batteries and waste batteries policy document's targets on increasing recycling rates and reducing waste can be enabled by the Farm to Fork Strategy's focus on sustainable food systems, as sustainable food production can lead to a reduction in battery waste.
Concerning batteries and waste batteries;On packaging and packaging waste;+;1;The Concerning batteries and waste batteries policy document's targets on increasing recycling rates and reducing waste can be reinforced by the On packaging and packaging waste policy document's focus on reducing packaging waste, as reducing packaging waste can lead to a reduction in battery waste.
Critical Raw Materials;A Farm to Fork Strategy;+;1;The Critical Raw Materials policy document's targets can be enabled by the Farm to Fork Strategy's emphasis on sustainable agriculture, as sustainable agriculture can lead to a reduction in the use of critical raw materials.
Critical Raw Materials;On packaging and packaging waste;-;2;The Critical Raw Materials policy document's targets may be constrained by the On packaging and packaging waste policy document's focus on reducing packaging waste, as reducing packaging waste can lead to an increase in the use of critical raw materials.
On circularity requirements for vehicle design;A Farm to Fork Strategy;+;1;The On circularity requirements for vehicle design policy document's targets can be enabled by the Farm to Fork Strategy's focus on sustainable food systems, as sustainable food production can lead to a reduction in waste and an increase in recycling rates.
On circularity requirements for vehicle design;Concerning batteries and waste batteries;+;1;The On circularity requirements for vehicle design policy document's targets can be reinforced by the Concerning batteries and waste batteries policy document's focus on increasing recycling rates and reducing waste, as increasing recycling rates can lead to a reduction in waste and an increase in recycling rates.
On circularity requirements for vehicle design;Critical Raw Materials;-;2;The On circularity requirements for vehicle design policy document's targets may be constrained by the Critical Raw Materials policy document's focus on increasing the use of critical raw materials, as increasing the use of critical raw materials can lead to an increase in waste and a decrease in recycling rates.
Net Zero Industry Act;A Farm to Fork Strategy;+;1;The Net Zero Industry Act policy document's targets can be enabled by the Farm to Fork Strategy's emphasis on sustainable agriculture, as sustainable agriculture can lead to a reduction in greenhouse gas emissions and an increase in recycling rates.
Net Zero Industry Act;On packaging and packaging waste;+;1;The Net Zero Industry Act policy document's targets can be reinforced by the On packaging and packaging waste policy document's focus on reducing packaging waste, as reducing packaging waste can lead to a reduction in greenhouse gas emissions and an increase in recycling rates.
Net Zero Industry Act;Concerning batteries and waste batteries;+;1;The Net Zero Industry Act policy document's targets can be enabled by the Concerning batteries and waste batteries policy document's focus on increasing recycling rates and reducing waste, as increasing recycling rates can lead to a reduction in greenhouse gas emissions and an increase in recycling rates.
Net Zero Industry Act;Critical Raw Materials;-;2;The Net Zero Industry Act policy document's targets may be constrained by the Critical Raw Materials policy document's focus on increasing the use of critical raw materials, as increasing the use of critical raw materials can lead to an increase in greenhouse gas emissions and a decrease in recycling rates.
Amending Directive 2008/98/EC on waste;A Farm to Fork Strategy;+;1;The Amending Directive 2008/98/EC on waste policy document's targets can be enabled by the Farm to Fork Strategy's emphasis on sustainable agriculture, as sustainable agriculture can lead to a reduction in waste and an increase in recycling rates.
Amending Directive 2008/98/EC on waste;On packaging and packaging waste;+;1;The Amending Directive 2008/98/EC on waste policy document's targets can be reinforced by the On packaging and packaging waste policy document's focus on reducing packaging waste, as reducing packaging waste can lead to a reduction in waste and an increase in recycling rates.
Amending Directive 2008/98/EC on waste;Concerning batteries and waste batteries;+;1;The Amending Directive 2008/98/EC on waste policy document's targets can be enabled by the Concerning batteries and waste batteries policy document's focus on increasing recycling rates and reducing waste, as increasing recycling rates can lead to a reduction in waste and an increase in recycling rates.
Amending Directive 2008/98/EC on waste;Critical Raw Materials;-;2;The Amending Directive 2008/98/EC on waste policy document's targets may be constrained by the Critical Raw Materials policy document's focus on increasing the use of critical raw materials, as increasing the use of critical raw materials can lead to an increase in waste and a decrease in recycling rates.
Circular Economy Action Plan;A Farm to Fork Strategy;+;2;The Circular Economy Action Plan policy document's targets can be reinforced by the Farm to Fork Strategy's emphasis on sustainable agriculture, as sustainable agriculture can lead to a reduction in waste and an increase in recycling rates.
Circular Economy Action Plan;On packaging and packaging waste;+;2;The Circular Economy Action Plan policy document's targets can be reinforced by the On packaging and packaging waste policy document's focus on reducing packaging waste, as reducing packaging waste can lead to a reduction in waste and an increase in recycling rates.
Circular Economy Action Plan;Concerning batteries and waste batteries;+;1;The Circular Economy Action Plan policy document's targets can be enabled by the Concerning batteries and waste batteries policy document's focus on increasing recycling rates and reducing waste, as increasing recycling rates can lead to a reduction in waste and an increase in recycling rates.
Circular Economy Action Plan;Critical Raw Materials;-;2;The Circular Economy Action Plan policy document's targets may be constrained by the Critical Raw Materials policy document's focus on increasing the use of critical raw materials, as increasing the use of critical raw materials can lead to an increase in waste and a decrease in recycling rates.
