source_policydoc;impact_policydoc;impact_type;impact_weight;justification
Directive 2010/75/EU of the European Parliament and of the Council;Circular Economy Action Plan;+;2;The implementation of the Directive 2010/75/EU can reinforce the Circular Economy Action Plan by reducing waste and emissions from industrial activities, thus creating a more circular economy.
On the quality of water intended for human consumption;On packaging and packaging waste;+;1;The implementation of the On the quality of water intended for human consumption can enable the On packaging and packaging waste by reducing the amount of waste generated and promoting recycling and reuse of packaging materials.
Pathway to a Healthy Planet for All EU Action Plan;On circularity requirements for vehicle design;+;3;The Pathway to a Healthy Planet for All EU Action Plan can have a significant positive impact on the On circularity requirements for vehicle design by promoting the use of recycled materials and reducing waste generation in the automotive sector.
European assessment framework for ‘safe and sustainable by design’ chemicals and materials;Critical Raw Materials;+;2;The European assessment framework for ‘safe and sustainable by design’ chemicals and materials can aid the Critical Raw Materials by promoting the use of sustainable materials and reducing the demand for critical raw materials.
On reporting of environmental data from industrial installations and establishing an Industrial Emissions Portal;On ambient air quality and cleaner air for Europe;+;1;The On reporting of environmental data from industrial installations and establishing an Industrial Emissions Portal can enable the On ambient air quality and cleaner air for Europe by providing data and insights to reduce air pollution and improve air quality.
On ambient air quality and cleaner air for Europe;On packaging and packaging waste;+;1;The On ambient air quality and cleaner air for Europe can reinforce the On packaging and packaging waste by reducing emissions and pollution from packaging materials and promoting a cleaner environment.
On packaging and packaging waste;Critical Raw Materials;+;2;The On packaging and packaging waste can have a positive impact on the Critical Raw Materials by promoting the recycling and reuse of materials and reducing the demand for primary raw materials.
Critical Raw Materials;Net Zero Industry Act;+;3;The Critical Raw Materials can be reinforced by the Net Zero Industry Act by promoting the use of sustainable and recycled materials in industrial processes and reducing the reliance on primary raw materials.
Net Zero Industry Act;Amending Directive 2008/98/EC on waste;+;2;The Net Zero Industry Act can aid the Amending Directive 2008/98/EC on waste by promoting waste reduction and recycling and reducing the environmental impacts of industrial activities.
Amending Directive 2008/98/EC on waste;On packaging and packaging waste;+;1;The Amending Directive 2008/98/EC on waste can enable the On packaging and packaging waste by promoting waste reduction and recycling and reducing the amount of waste sent to landfills.
