source_policydoc;impact_policydoc;impact_type;impact_weight;justification
A Farm to Fork Strategy;Energy from Renewable Sources;+;2;The implementation of the Farm to Fork Strategy's targets, such as reducing the environmental footprint of food production, can reinforce the Energy from Renewable Sources policy document's targets, like increasing the share of renewable energy in the energy mix, as sustainable agriculture practices can lead to increased energy efficiency and reduced energy consumption.
A Farm to Fork Strategy;Biofuels - Directive (EU) 2023/2413;-;1;The Farm to Fork Strategy's focus on sustainable agriculture and reduced use of fertilizers and pesticides might constrain the options for biofuel production, as biofuels are often produced from agricultural products, and the strategy's targets could limit the availability of these products for biofuel production.
A Farm to Fork Strategy;On ensuring a level playing field for sustainable air transport;+;1;The Farm to Fork Strategy's emphasis on sustainable food systems and reduced food waste can enable the On ensuring a level playing field for sustainable air transport policy document's targets, such as promoting sustainable aviation fuels, as sustainable food production can lead to the availability of sustainable feedstocks for aviation fuels.
A Farm to Fork Strategy;Aviation Fuel - Regulation (EU) 2023/2405;-;2;The Farm to Fork Strategy's targets, such as reducing food waste and promoting sustainable agriculture, might counteract the Aviation Fuel - Regulation (EU) 2023/2405 policy document's targets, such as increasing the use of sustainable aviation fuels, as the strategy's focus on reducing waste and promoting sustainable agriculture could lead to reduced demand for air travel and subsequently reduced demand for aviation fuels.
A Farm to Fork Strategy;On the deployment of alternative fuels infrastructure;+;3;The implementation of the Farm to Fork Strategy's targets can create conditions that further the On the deployment of alternative fuels infrastructure policy document's targets, such as deploying alternative fuel infrastructure, as the strategy's focus on sustainable agriculture and reduced environmental footprint can lead to increased demand for alternative fuels and create opportunities for the development of related infrastructure.
A Farm to Fork Strategy;On the Energy Transition of the EU Fisheries and Aquaculture sector;+;2;The Farm to Fork Strategy's emphasis on sustainable food systems and reduced environmental footprint can reinforce the On the Energy Transition of the EU Fisheries and Aquaculture sector policy document's targets, such as promoting sustainable fishing and aquaculture practices, as sustainable agriculture practices can lead to increased energy efficiency and reduced energy consumption in the fisheries and aquaculture sector.
A Farm to Fork Strategy;On the use of renewable and low-carbon fuels in maritime transport and amending Directive 2009/16/EC;-;1;The Farm to Fork Strategy's focus on sustainable agriculture and reduced use of fertilizers and pesticides might constrain the options for the use of renewable and low-carbon fuels in maritime transport, as these fuels are often produced from agricultural products, and the strategy's targets could limit the availability of these products for fuel production.
A Farm to Fork Strategy;Sustainable and Smart Mobility Strategy;+;1;The Farm to Fork Strategy's emphasis on sustainable food systems and reduced food waste can enable the Sustainable and Smart Mobility Strategy policy document's targets, such as promoting sustainable transport modes, as sustainable food production can lead to the availability of sustainable feedstocks for biofuels and create opportunities for the development of related infrastructure.
A Farm to Fork Strategy;On the deployment of alternative fuels infrastructure;-;2;The Farm to Fork Strategy's targets, such as reducing food waste and promoting sustainable agriculture, might counteract the On the deployment of alternative fuels infrastructure policy document's targets, such as deploying alternative fuel infrastructure, as the strategy's focus on reducing waste and promoting sustainable agriculture could lead to reduced demand for alternative fuels and subsequently reduced demand for related infrastructure.
A Farm to Fork Strategy;Amending Regulation (EU) 2019/1242;+;1;The implementation of the Farm to Fork Strategy's targets can create conditions that further the Amending Regulation (EU) 2019/1242 policy document's targets, such as reducing the environmental footprint of food production, as the strategy's focus on sustainable agriculture and reduced environmental footprint can lead to increased energy efficiency and reduced energy consumption in the food sector.
A Farm to Fork Strategy;Hydrogen Strategy;+;2;The Farm to Fork Strategy's emphasis on sustainable food systems and reduced environmental footprint can reinforce the Hydrogen Strategy policy document's targets, such as promoting the use of renewable energy sources, as sustainable agriculture practices can lead to increased energy efficiency and reduced energy consumption, creating opportunities for the development of renewable energy sources like hydrogen.
A Farm to Fork Strategy;Amending Council Directive 92/106/EEC;-;1;The Farm to Fork Strategy's targets, such as reducing the environmental footprint of food production, might constrain the options for the Amending Council Directive 92/106/EEC policy document's targets, such as promoting sustainable transport, as the strategy's focus on sustainable agriculture and reduced environmental footprint could lead to reduced demand for transport and subsequently reduced demand for sustainable transport solutions.
A Farm to Fork Strategy;The new EU Urban Mobility Framework;+;1;The Farm to Fork Strategy's emphasis on sustainable food systems and reduced food waste can enable the The new EU Urban Mobility Framework policy document's targets, such as promoting sustainable urban mobility, as sustainable food production can lead to the availability of sustainable feedstocks for biofuels and create opportunities for the development of related infrastructure.
