Circular Economy Action Plan;On packaging and packaging waste;+2;Reinforcing;The Circular Economy Action Plan aims to reduce packaging waste, which is a key aspect of the 'On packaging and packaging waste' policy document, thereby reinforcing its goals.
On packaging and packaging waste;On circularity requirements for vehicle design;+1;Enabling;The 'On packaging and packaging waste' policy document creates conditions that further the 'On circularity requirements for vehicle design' target by promoting sustainable packaging practices.
On circularity requirements for vehicle design;Critical Raw Materials;+3;Indivisible;The 'On circularity requirements for vehicle design' policy document is inextricably linked to the 'Critical Raw Materials' target, as the design of vehicles will significantly impact the demand for critical raw materials.
Critical Raw Materials;Net Zero Industry Act;-2;Counteracting;The 'Critical Raw Materials' policy document may clash with the 'Net Zero Industry Act', as the increased demand for critical raw materials could counteract the net-zero industry goals.
Net Zero Industry Act;Amending Directive 2008/98/EC on waste;-1;Constraining;The 'Net Zero Industry Act' may limit options for the 'Amending Directive 2008/98/EC on waste' policy document, as it prioritizes net-zero emissions over waste reduction.
Amending Directive 2008/98/EC on waste;Circular Economy Action Plan;-3;Cancelling;The 'Amending Directive 2008/98/EC on waste' policy document may make it impossible to reach the 'Circular Economy Action Plan' goals, as it focuses on waste reduction, which could be cancelled by the new waste directive.
Directive 2010/75/EU of the European Parliament and of the Council;On the quality of water intended for human consumption;+1;Enabling;The 'Directive 2010/75/EU of the European Parliament and of the Council' creates conditions that further the 'On the quality of water intended for human consumption' target by promoting water efficiency and reducing pollution.
On the quality of water intended for human consumption;Pathway to a Healthy Planet for All EU Action Plan;+2;Reinforcing;The 'On the quality of water intended for human consumption' policy document aids the achievement of the 'Pathway to a Healthy Planet for All EU Action Plan' by ensuring access to clean water, which reinforces the plan's goals.
Pathway to a Healthy Planet for All EU Action Plan;European assessment framework for ‘safe and sustainable by design’ chemicals and materials;+3;Indivisible;The 'Pathway to a Healthy Planet for All EU Action Plan' is inextricably linked to the 'European assessment framework for ‘safe and sustainable by design’ chemicals and materials' target, as the plan's success relies on the development of sustainable materials and chemicals.
European assessment framework for ‘safe and sustainable by design’ chemicals and materials;On reporting of environmental data from industrial installations and establishing an Industrial Emissions Portal;+1;Enabling;The 'European assessment framework for ‘safe and sustainable by design’ chemicals and materials' policy document creates conditions that further the 'On reporting of environmental data from industrial installations and establishing an Industrial Emissions Portal' target by promoting sustainable materials and reducing emissions.
On reporting of environmental data from industrial installations and establishing an Industrial Emissions Portal;on ambient air quality and cleaner air for Europe;-2;Counteracting;The 'On reporting of environmental data from industrial installations and establishing an Industrial Emissions Portal' policy document may clash with the 'on ambient air quality and cleaner air for Europe' target, as the focus on industrial emissions could counteract air quality goals.
