source_policydoc;impact_policydoc;impact_type;impact_weight;justification
Energy from Renewable Sources;On energy efficiency and amending Regulation (EU) 2023/955 (recast);+;2;The implementation of the Energy from Renewable Sources policy document can reinforce the On energy efficiency and amending Regulation (EU) 2023/955 (recast) policy document by promoting the use of renewable energy sources, which can aid in reducing energy consumption and greenhouse gas emissions.
A Renovation Wave for Europe;On packaging and packaging waste;+;1;The A Renovation Wave for Europe policy document can enable the On packaging and packaging waste policy document by promoting sustainable practices and reducing waste generation.
On packaging and packaging waste;On the Energy Performance of Buildings (recast);+;1;The On packaging and packaging waste policy document can enable the On the Energy Performance of Buildings (recast) policy document by promoting energy efficiency and reducing energy consumption in buildings.
REPowerEU Plan;Energy from Renewable Sources;+;2;The REPowerEU Plan policy document can reinforce the Energy from Renewable Sources policy document by promoting the use of renewable energy sources and reducing greenhouse gas emissions.
EU Solar Energy Strategy;Powering a Climate neutrality economy;+;2;The EU Solar Energy Strategy policy document can reinforce the Powering a Climate neutrality economy policy document by promoting the use of solar energy and reducing greenhouse gas emissions.
Delivering on the EU offshore renewable energy ambitions;Delivering on the EU offshore renewable energy ambitions;+;3;The Delivering on the EU offshore renewable energy ambitions policy document can be indivisibly linked to the Delivering on the EU offshore renewable energy ambitions policy document, as both promote the development of offshore renewable energy and reduce greenhouse gas emissions.
On ensuring a level playing field for sustainable air transport;Aviation Fuel - Regulation (EU) 2023/2405;+;1;The On ensuring a level playing field for sustainable air transport policy document can enable the Aviation Fuel - Regulation (EU) 2023/2405 policy document by promoting the use of sustainable aviation fuels and reducing greenhouse gas emissions.
On the deployment of alternative fuels infrastructure;On the Energy Transition of the EU Fisheries and Aquaculture sector;+;1;The On the deployment of alternative fuels infrastructure policy document can enable the On the Energy Transition of the EU Fisheries and Aquaculture sector policy document by promoting the use of alternative fuels and reducing greenhouse gas emissions.
Amending Regulation (EU) 2019/1242;Sustainable and Smart Mobility Strategy;+;1;The Amending Regulation (EU) 2019/1242 policy document can enable the Sustainable and Smart Mobility Strategy policy document by promoting sustainable mobility and reducing greenhouse gas emissions.
Hydrogen Strategy;Energy from Renewable Sources;+;2;The Hydrogen Strategy policy document can reinforce the Energy from Renewable Sources policy document by promoting the use of renewable energy sources and reducing greenhouse gas emissions.
The new EU Urban Mobility Framework;On ensuring a level playing field for sustainable air transport;+;1;The The new EU Urban Mobility Framework policy document can enable the On ensuring a level playing field for sustainable air transport policy document by promoting sustainable mobility and reducing greenhouse gas emissions.
