source_policydoc;impact_policydoc;impact_type;impact_weight;justification
European Climate Law;Circular Economy Action Plan;+;2;The European Climate Law sets a framework for reducing greenhouse gas emissions, which can reinforce the Circular Economy Action Plan's goal of reducing waste and increasing recycling, as a reduction in emissions can lead to a decrease in waste production.
Concerning urban wastewater treatment (recast);On packaging and packaging waste;+;1;The recast of the Urban Wastewater Treatment Directive can enable the achievement of the packaging waste reduction targets set in the Packaging and Packaging Waste Directive, as improved wastewater treatment can lead to a reduction in the amount of waste generated.
Amending Directive 2003/87/EC;On an EU Strategy to reduce methane emissions;+;1;The amendment of the ETS Directive can aid in the reduction of methane emissions, as it sets a framework for the reduction of greenhouse gas emissions from the sectors covered by the ETS, which can include methane-emitting industries.
Amending Regulation (EU) 2018/842;Critical Raw Materials;+;2;The amendment of the Effort Sharing Regulation can reinforce the Critical Raw Materials Act, as it sets a framework for the reduction of greenhouse gas emissions, which can lead to an increased demand for critical raw materials.
Amending Regulations (EU) 2018/841;On circularity requirements for vehicle design;+;1;The amendment of the LULUCF Regulation can enable the achievement of the circularity requirements for vehicle design set in the proposal for a Regulation on circularity requirements for vehicle design, as it sets a framework for the reduction of greenhouse gas emissions from land use, which can lead to a reduction in emissions from the transport sector.
A Renovation Wave for Europe;Net Zero Industry Act;+;2;The Renovation Wave initiative can reinforce the Net Zero Industry Act, as it aims to reduce energy consumption in buildings, which can lead to a reduction in emissions from the industry sector.
On an EU Strategy to reduce methane emissions;On packaging and packaging waste;+;1;The EU Strategy to reduce methane emissions can aid in the achievement of the packaging waste reduction targets set in the Packaging and Packaging Waste Directive, as a reduction in methane emissions can lead to a reduction in waste generation.
Circular Economy Action Plan;Concerning batteries and waste batteries;+;3;The Circular Economy Action Plan can enable the achievement of the targets set in the proposal for a Directive on batteries and waste batteries, as it sets a framework for the reduction of waste and the increase of recycling, which can lead to a reduction in the amount of waste generated and an increase in the amount of critical raw materials recovered.
Concerning batteries and waste batteries;On packaging and packaging waste;+;1;The proposal for a Directive on batteries and waste batteries can aid in the achievement of the packaging waste reduction targets set in the Packaging and Packaging Waste Directive, as it sets a framework for the reduction of waste from batteries and waste batteries, which can lead to a reduction in the amount of packaging waste generated.
On packaging and packaging waste;Critical Raw Materials;+;2;The Packaging and Packaging Waste Directive can reinforce the Critical Raw Materials Act, as it sets a framework for the reduction of packaging waste, which can lead to an increase in the demand for critical raw materials.
On circularity requirements for vehicle design;Net Zero Industry Act;+;2;The proposal for a Regulation on circularity requirements for vehicle design can reinforce the Net Zero Industry Act, as it sets a framework for the reduction of emissions from the transport sector, which can lead to a reduction in emissions from the industry sector.
Critical Raw Materials;Amending Directive 2008/98/EC on waste;+;1;The Critical Raw Materials Act can aid in the achievement of the targets set in the amendment of the Waste Framework Directive, as it sets a framework for the reduction of waste and the increase of recycling, which can lead to an increase in the amount of critical raw materials recovered.
Amending Directive 2008/98/EC on waste;On packaging and packaging waste;+;1;The amendment of the Waste Framework Directive can aid in the achievement of the packaging waste reduction targets set in the Packaging and Packaging Waste Directive, as it sets a framework for the reduction of waste, which can lead to a reduction in the amount of packaging waste generated.
