source_policydoc;impact_policydoc;impact_type;impact_weight;justification
A Farm to Fork Strategy;Energy from Renewable Sources;+;2;The implementation of the Farm to Fork Strategy's targets, such as reducing the use of pesticides and fertilizers, can aid the achievement of the Energy from Renewable Sources' targets, like increasing the share of renewable energy in the energy mix, as sustainable agriculture practices can lead to increased energy production from biomass.
A Farm to Fork Strategy;On energy efficiency and amending Regulation (EU) 2023/955 (recast);+;1;The Farm to Fork Strategy's focus on sustainable agriculture and reducing waste can create conditions that further the energy efficiency targets, such as reducing energy consumption in buildings, as energy-efficient buildings can be designed with sustainable materials and practices in mind.
A Farm to Fork Strategy;On packaging and packaging waste;+;1;The Farm to Fork Strategy's emphasis on reducing food waste and promoting sustainable food systems can enable the achievement of the packaging and packaging waste reduction targets, as sustainable food packaging can be designed to minimize waste.
A Farm to Fork Strategy;On the Energy Performance of Buildings (recast);+;1;The Farm to Fork Strategy's promotion of sustainable agriculture and food systems can aid the implementation of energy-efficient buildings, as buildings can be designed with energy production from biomass in mind, reinforcing the energy performance of buildings.
A Farm to Fork Strategy;REPowerEU Plan;+;2;The Farm to Fork Strategy's targets, such as increasing the use of renewable energy in the energy mix, can reinforce the REPowerEU Plan's objectives, such as increasing renewable energy production, as sustainable agriculture practices can lead to increased renewable energy production from biomass.
A Farm to Fork Strategy;EU Solar Energy Strategy;+;2;The Farm to Fork Strategy's focus on sustainable agriculture and reducing waste can aid the achievement of the EU Solar Energy Strategy's targets, such as increasing solar energy production, as sustainable agriculture practices can lead to increased energy production from biomass, which can be used to produce solar energy.
A Farm to Fork Strategy;Powering a Climate neutrality economy;+;2;The implementation of the Farm to Fork Strategy's targets can aid the achievement of a climate-neutral economy, as sustainable agriculture practices can lead to increased renewable energy production, reducing greenhouse gas emissions and reliance on fossil fuels.
A Farm to Fork Strategy;Delivering on the EU offshore renewable energy ambitions;+;1;The Farm to Fork Strategy's promotion of sustainable food systems and reducing waste can create conditions that further the offshore renewable energy targets, as offshore wind farms can be designed to minimize environmental impact and promote sustainable development.
Energy from Renewable Sources;A Farm to Fork Strategy;+;2;The Energy from Renewable Sources' targets, such as increasing the share of renewable energy in the energy mix, can aid the achievement of the Farm to Fork Strategy's objectives, such as reducing greenhouse gas emissions from agriculture, as renewable energy can power agricultural processes and reduce emissions.
On energy efficiency and amending Regulation (EU) 2023/955 (recast);A Farm to Fork Strategy;+;1;The On energy efficiency and amending Regulation (EU) 2023/955 (recast)'s targets, such as reducing energy consumption in buildings, can be facilitated by the Farm to Fork Strategy's focus on sustainable agriculture and reducing waste, as energy-efficient buildings can be designed with sustainable materials and practices in mind.
On packaging and packaging waste;A Farm to Fork Strategy;+;1;The On packaging and packaging waste's targets, such as reducing packaging waste, can be enabled by the Farm to Fork Strategy's emphasis on reducing food waste and promoting sustainable food systems, as sustainable food packaging can be designed to minimize waste.
On the Energy Performance of Buildings (recast);A Farm to Fork Strategy;+;1;The On the Energy Performance of Buildings (recast)'s targets, such as reducing energy consumption in buildings, can be reinforced by the Farm to Fork Strategy's promotion of sustainable agriculture and food systems, as buildings can be designed with energy production from biomass in mind.
REPowerEU Plan;A Farm to Fork Strategy;+;2;The REPowerEU Plan's objectives, such as increasing renewable energy production, can be reinforced by the Farm to Fork Strategy's targets, such as increasing the use of renewable energy in the energy mix, as sustainable agriculture practices can lead to increased renewable energy production from biomass.
EU Solar Energy Strategy;A Farm to Fork Strategy;+;2;The EU Solar Energy Strategy's targets, such as increasing solar energy production, can be aided by the Farm to Fork Strategy's focus on sustainable agriculture and reducing waste, as sustainable agriculture practices can lead to increased energy production from biomass, which can be used to produce solar energy.
Powering a Climate neutrality economy;A Farm to Fork Strategy;+;2;The Powering a Climate neutrality economy's objectives can be facilitated by the Farm to Fork Strategy's implementation, as sustainable agriculture practices can lead to increased renewable energy production, reducing greenhouse gas emissions and reliance on fossil fuels.
Delivering on the EU offshore renewable energy ambitions;A Farm to Fork Strategy;+;1;The Delivering on the EU offshore renewable energy ambitions' targets can be enabled by the Farm to Fork Strategy's promotion of sustainable food systems and reducing waste, as offshore wind farms can be designed to minimize environmental impact and promote sustainable development.
