source_policydoc;impact_policydoc;impact_type;impact_weight;justification
European Climate Law;Energy from Renewable Sources;+;2;The European Climate Law sets a framework for reducing greenhouse gas emissions, which can reinforce the Energy from Renewable Sources policy document by promoting the use of renewable energy sources.
Concerning urban wastewater treatment (recast);Amending Directive 2003/87/EC;+;1;The Concerning urban wastewater treatment (recast) policy document can enable the Amending Directive 2003/87/EC policy document by improving water quality, which can lead to increased use of renewable energy sources.
Amending Directive 2003/87/EC;On an EU Strategy to reduce methane emissions;+;1;The Amending Directive 2003/87/EC policy document can aid the On an EU Strategy to reduce methane emissions policy document by reducing emissions from landfills and other waste management practices.
Amending Regulations (EU) 2018/841;A Renovation Wave for Europe;+;2;The Amending Regulations (EU) 2018/841 policy document can reinforce the A Renovation Wave for Europe policy document by promoting energy efficiency in buildings, which can lead to increased use of renewable energy sources.
On an EU Strategy to reduce methane emissions;Amending Directive 2003/87/EC;+;1;The On an EU Strategy to reduce methane emissions policy document can enable the Amending Directive 2003/87/EC policy document by reducing methane emissions from agricultural practices, which can lead to increased use of renewable energy sources.
A Renovation Wave for Europe;Energy from Renewable Sources;+;2;The A Renovation Wave for Europe policy document can reinforce the Energy from Renewable Sources policy document by promoting energy efficiency in buildings, which can lead to increased use of renewable energy sources.
Amending Directive 2003/87/EC;Biofuels - Directive (EU) 2023/2413;+;1;The Amending Directive 2003/87/EC policy document can aid the Biofuels - Directive (EU) 2023/2413 policy document by promoting the use of biofuels, which can lead to increased use of renewable energy sources.
Biofuels - Directive (EU) 2023/2413;On ensuring a level playing field for sustainable air transport;+;1;The Biofuels - Directive (EU) 2023/2413 policy document can enable the On ensuring a level playing field for sustainable air transport policy document by promoting the use of sustainable aviation fuels, which can lead to increased use of renewable energy sources.
On ensuring a level playing field for sustainable air transport;Aviation Fuel - Regulation (EU) 2023/2405;+;2;The On ensuring a level playing field for sustainable air transport policy document can reinforce the Aviation Fuel - Regulation (EU) 2023/2405 policy document by promoting the use of sustainable aviation fuels, which can lead to increased use of renewable energy sources.
Aviation Fuel - Regulation (EU) 2023/2405;On the deployment of alternative fuels infrastructure;+;1;The Aviation Fuel - Regulation (EU) 2023/2405 policy document can aid the On the deployment of alternative fuels infrastructure policy document by promoting the use of sustainable aviation fuels, which can lead to increased use of renewable energy sources.
On the deployment of alternative fuels infrastructure;On the Energy Transition of the EU Fisheries and Aquaculture sector;+;1;The On the deployment of alternative fuels infrastructure policy document can enable the On the Energy Transition of the EU Fisheries and Aquaculture sector policy document by promoting the use of renewable energy sources in the fisheries and aquaculture sector.
On the Energy Transition of the EU Fisheries and Aquaculture sector;Amending Regulation (EU) 2019/1242;+;2;The On the Energy Transition of the EU Fisheries and Aquaculture sector policy document can reinforce the Amending Regulation (EU) 2019/1242 policy document by promoting energy efficiency and renewable energy use in the fisheries and aquaculture sector.
Amending Regulation (EU) 2019/1242;Sustainable and Smart Mobility Strategy;+;1;The Amending Regulation (EU) 2019/1242 policy document can aid the Sustainable and Smart Mobility Strategy policy document by promoting energy efficiency and renewable energy use in the transport sector.
Sustainable and Smart Mobility Strategy;The new EU Urban Mobility Framework;+;2;The Sustainable and Smart Mobility Strategy policy document can reinforce The new EU Urban Mobility Framework policy document by promoting sustainable and smart mobility solutions, which can lead to increased use of renewable energy sources.
The new EU Urban Mobility Framework;Hydrogen Strategy;+;1;The The new EU Urban Mobility Framework policy document can enable the Hydrogen Strategy policy document by promoting the use of hydrogen as a low-carbon fuel source in the transport sector.
