source_policydoc;impact_policydoc;impact_type;impact_weight;justification
Energy from Renewable Sources;On ensuring a level playing field for sustainable air transport;+;2;The implementation of the Energy from Renewable Sources target can reinforce the On ensuring a level playing field for sustainable air transport policy document by increasing the share of renewable energy in the energy mix, which can lead to a reduction in greenhouse gas emissions from air transport.
Biofuels - Directive (EU) 2023/2413;On the deployment of alternative fuels infrastructure;+;1;The Biofuels Directive can enable the On the deployment of alternative fuels infrastructure policy document by promoting the use of advanced biofuels and other low-carbon fuels in the transport sector, which can support the development of alternative fuel infrastructure.
On ensuring a level playing field for sustainable air transport;Sustainable and Smart Mobility Strategy;+;2;The On ensuring a level playing field for sustainable air transport policy document can reinforce the Sustainable and Smart Mobility Strategy by promoting the use of sustainable and low-carbon fuels in the air transport sector, which can support the achievement of the Strategy's targets.
Aviation Fuel - Regulation (EU) 2023/2405;Hydrogen Strategy;+;1;The Aviation Fuel Regulation can enable the Hydrogen Strategy by promoting the use of low-carbon fuels, including hydrogen, in the aviation sector, which can support the development of a hydrogen economy.
On the deployment of alternative fuels infrastructure;Amending Regulation (EU) 2019/1242;+;1;The On the deployment of alternative fuels infrastructure policy document can enable the Amending Regulation (EU) 2019/1242 by promoting the use of alternative fuels in the transport sector, which can support the reduction of greenhouse gas emissions from transport.
On the Energy Transition of the EU Fisheries and Aquaculture sector;The new EU Urban Mobility Framework;+;1;The On the Energy Transition of the EU Fisheries and Aquaculture sector policy document can enable The new EU Urban Mobility Framework by promoting the use of low-carbon fuels and renewable energy in the fisheries and aquaculture sector, which can support the development of sustainable and low-carbon mobility solutions.
Directive 2010/75/EU of the European Parliament and of the Council;On the quality of water intended for human consumption;+;2;The Directive 2010/75/EU can reinforce the On the quality of water intended for human consumption policy document by promoting the use of best available techniques to reduce pollution from industrial activities, which can support the achievement of the water quality targets.
On the quality of water intended for human consumption;Pathway to a Healthy Planet for All EU Action Plan;+;2;The On the quality of water intended for human consumption policy document can reinforce the Pathway to a Healthy Planet for All EU Action Plan by promoting the use of sustainable water management practices, which can support the achievement of the Plan's targets.
Pathway to a Healthy Planet for All EU Action Plan;European assessment framework for ‘safe and sustainable by design’ chemicals and materials;+;1;The Pathway to a Healthy Planet for All EU Action Plan can enable the European assessment framework for ‘safe and sustainable by design’ chemicals and materials by promoting the use of sustainable and low-carbon technologies, which can support the development of safe and sustainable chemicals and materials.
On reporting of environmental data from industrial installations and establishing an Industrial Emissions Portal;on ambient air quality and cleaner air for Europe;+;1;The On reporting of environmental data from industrial installations and establishing an Industrial Emissions Portal policy document can enable the on ambient air quality and cleaner air for Europe by promoting the use of best available techniques to reduce air pollution from industrial activities, which can support the achievement of the air quality targets.
