source_policydoc;impact_policydoc;impact_type;impact_weight;justification
A Farm to Fork Strategy;Energy from Renewable Sources;+;2;The implementation of the Farm to Fork Strategy's targets, such as reducing the use of pesticides and promoting organic farming, can reinforce the achievement of the Energy from Renewable Sources' targets, such as increasing the share of renewable energy in the energy mix.
A Farm to Fork Strategy;Biofuels - Directive (EU) 2023/2413;+;1;The Farm to Fork Strategy's focus on sustainable agriculture and reducing greenhouse gas emissions can enable the Biofuels Directive's targets, such as increasing the use of advanced biofuels and biogas, by creating conditions that further the development of sustainable biofuels.
A Farm to Fork Strategy;On ensuring a level playing field for sustainable air transport;+;1;The Farm to Fork Strategy's emphasis on sustainable food systems and reducing emissions can create conditions that further the development of sustainable air transport, as outlined in the On ensuring a level playing field for sustainable air transport policy document.
A Farm to Fork Strategy;Aviation Fuel - Regulation (EU) 2023/2405;+;1;The Farm to Fork Strategy's focus on sustainable agriculture and reducing emissions can enable the Aviation Fuel Regulation's targets, such as increasing the use of sustainable aviation fuels, by creating conditions that further the development of sustainable aviation fuels.
A Farm to Fork Strategy;On the deployment of alternative fuels infrastructure;+;1;The Farm to Fork Strategy's emphasis on sustainable food systems and reducing emissions can create conditions that further the development of alternative fuels infrastructure, as outlined in the On the deployment of alternative fuels infrastructure policy document.
A Farm to Fork Strategy;On the Energy Transition of the EU Fisheries and Aquaculture sector;+;1;The Farm to Fork Strategy's focus on sustainable agriculture and reducing emissions can enable the Energy Transition of the EU Fisheries and Aquaculture sector's targets, such as increasing the use of renewable energy in the fisheries and aquaculture sector, by creating conditions that further the development of sustainable fisheries and aquaculture practices.
A Farm to Fork Strategy;On the deployment of alternative fuels infrastructure;+;1;The Farm to Fork Strategy's emphasis on sustainable food systems and reducing emissions can create conditions that further the development of alternative fuels infrastructure, as outlined in the On the deployment of alternative fuels infrastructure policy document.
A Farm to Fork Strategy;Amending Regulation (EU) 2019/1242;+;1;The Farm to Fork Strategy's focus on sustainable agriculture and reducing emissions can enable the Amending Regulation's targets, such as reducing emissions from agriculture, by creating conditions that further the development of sustainable agricultural practices.
A Farm to Fork Strategy;On the use of renewable and low-carbon fuels in maritime transport and amending Directive 2009/16/EC;+;1;The Farm to Fork Strategy's emphasis on sustainable food systems and reducing emissions can create conditions that further the development of renewable and low-carbon fuels in maritime transport, as outlined in the On the use of renewable and low-carbon fuels in maritime transport policy document.
A Farm to Fork Strategy;Sustainable and Smart Mobility Strategy;+;1;The Farm to Fork Strategy's focus on sustainable agriculture and reducing emissions can enable the Sustainable and Smart Mobility Strategy's targets, such as promoting sustainable transport modes, by creating conditions that further the development of sustainable mobility practices.
A Farm to Fork Strategy;On the deployment of alternative fuels infrastructure;+;1;The Farm to Fork Strategy's emphasis on sustainable food systems and reducing emissions can create conditions that further the development of alternative fuels infrastructure, as outlined in the On the deployment of alternative fuels infrastructure policy document.
A Farm to Fork Strategy;Amending Regulation (EU) 2019/1242;+;1;The Farm to Fork Strategy's focus on sustainable agriculture and reducing emissions can enable the Amending Regulation's targets, such as reducing emissions from agriculture, by creating conditions that further the development of sustainable agricultural practices.
A Farm to Fork Strategy;Energy from Renewable Sources;+;2;The implementation of the Farm to Fork Strategy's targets can reinforce the achievement of the Energy from Renewable Sources' targets, such as increasing the share of renewable energy in the energy mix, by promoting sustainable agriculture and reducing emissions.
A Farm to Fork Strategy;On ensuring a level playing field for sustainable air transport;+;1;The Farm to Fork Strategy's emphasis on sustainable food systems and reducing emissions can create conditions that further the development of sustainable air transport, as outlined in the On ensuring a level playing field for sustainable air transport policy document.
A Farm to Fork Strategy;Hydrogen Strategy;+;1;The Farm to Fork Strategy's focus on sustainable agriculture and reducing emissions can enable the Hydrogen Strategy's targets, such as increasing the use of renewable hydrogen, by creating conditions that further the development of sustainable hydrogen production.
A Farm to Fork Strategy;Amending Council Directive 92/106/EEC;+;1;The Farm to Fork Strategy's emphasis on sustainable food systems and reducing emissions can create conditions that further the development of sustainable transport practices, as outlined in the Amending Council Directive policy document.
A Farm to Fork Strategy;The new EU Urban Mobility Framework;+;1;The Farm to Fork Strategy's focus on sustainable agriculture and reducing emissions can enable the new EU Urban Mobility Framework's targets, such as promoting sustainable urban mobility, by creating conditions that further the development of sustainable urban mobility practices.
