source_policydoc;impact_policydoc;impact_type;impact_weight;justification
A Farm to Fork Strategy;Energy from Renewable Sources;+;2;The implementation of the Farm to Fork Strategy can reinforce the Energy from Renewable Sources policy document by promoting sustainable agriculture practices, reducing synthetic fertilizers and pesticides, and increasing organic farming, which can lead to increased demand for renewable energy sources.
A Farm to Fork Strategy;On energy efficiency and amending Regulation (EU) 2023/955 (recast);+;1;The Farm to Fork Strategy can enable the On energy efficiency and amending Regulation (EU) 2023/955 (recast) policy document by providing incentives for sustainable food production, reducing food waste, and promoting eco-friendly packaging, which can lead to increased energy efficiency in the food sector.
A Farm to Fork Strategy;A Renovation Wave for Europe;+;1;The implementation of the Farm to Fork Strategy can create conditions that further the A Renovation Wave for Europe policy document by promoting sustainable and energy-efficient buildings, reducing energy consumption, and increasing the use of renewable energy sources in rural areas.
A Farm to Fork Strategy;On packaging and packaging waste;+;1;The Farm to Fork Strategy can aid the On packaging and packaging waste policy document by reducing food packaging waste, promoting sustainable packaging solutions, and increasing recycling rates, which can lead to a reduction in greenhouse gas emissions and pollution.
A Farm to Fork Strategy;On the Energy Performance of Buildings (recast);+;1;The implementation of the Farm to Fork Strategy can constrain the On the Energy Performance of Buildings (recast) policy document by promoting energy-efficient buildings, reducing energy consumption, and increasing the use of renewable energy sources in buildings, which can lead to increased energy efficiency and reduced energy poverty.
A Farm to Fork Strategy;REPowerEU Plan;+;2;The Farm to Fork Strategy can reinforce the REPowerEU Plan policy document by promoting the use of renewable energy sources, reducing dependence on fossil fuels, and increasing energy efficiency, which can lead to a reduction in greenhouse gas emissions and increased energy security.
A Farm to Fork Strategy;EU Solar Energy Strategy;+;1;The implementation of the Farm to Fork Strategy can enable the EU Solar Energy Strategy policy document by promoting the use of solar energy, reducing energy consumption, and increasing energy efficiency in the agricultural sector, which can lead to increased renewable energy production and reduced greenhouse gas emissions.
A Farm to Fork Strategy;Powering a Climate neutrality economy;+;2;The Farm to Fork Strategy can reinforce the Powering a Climate neutrality economy policy document by promoting sustainable agriculture practices, reducing synthetic fertilizers and pesticides, and increasing organic farming, which can lead to increased demand for renewable energy sources and reduced greenhouse gas emissions.
A Farm to Fork Strategy;Delivering on the EU offshore renewable energy ambitions;+;1;The implementation of the Farm to Fork Strategy can create conditions that further the Delivering on the EU offshore renewable energy ambitions policy document by promoting the use of offshore renewable energy sources, reducing dependence on fossil fuels, and increasing energy efficiency, which can lead to increased renewable energy production and reduced greenhouse gas emissions.
A Farm to Fork Strategy;EU Solar Energy Strategy;+;1;The Farm to Fork Strategy can aid the EU Solar Energy Strategy policy document by reducing energy consumption, promoting sustainable agriculture practices, and increasing the use of renewable energy sources in the agricultural sector, which can lead to increased renewable energy production and reduced greenhouse gas emissions.
