source_policydoc;impact_policydoc;impact_type;impact_weight;justification
Energy from Renewable Sources;EU Biodiversity Strategy for 2030;+;2;The implementation of renewable energy targets in the Energy from Renewable Sources policy document can reinforce the EU Biodiversity Strategy for 2030 by reducing greenhouse gas emissions and promoting sustainable land use, which in turn can aid in preserving and restoring ecosystems.
Biofuels - Directive (EU) 2023/2413;Sustainable and Smart Mobility Strategy;+;1;The Biofuels Directive can enable the Sustainable and Smart Mobility Strategy by providing low-carbon fuels for the transport sector, supporting the transition to cleaner energy sources.
On ensuring a level playing field for sustainable air transport;Hydrogen Strategy;+;1;The On ensuring a level playing field for sustainable air transport policy document can support the Hydrogen Strategy by promoting the use of low-carbon fuels in the aviation sector, which can be produced from renewable energy sources.
Aviation Fuel - Regulation (EU) 2023/2405;EU Biodiversity Strategy for 2030;+;2;The Aviation Fuel Regulation can reinforce the EU Biodiversity Strategy for 2030 by promoting the use of sustainable aviation fuels, which can be produced from renewable energy sources, reducing greenhouse gas emissions and promoting sustainable land use.
On the deployment of alternative fuels infrastructure;Sustainable and Smart Mobility Strategy;+;3;The On the deployment of alternative fuels infrastructure policy document can significantly support the Sustainable and Smart Mobility Strategy by promoting the development of alternative fuel infrastructure, enabling the widespread adoption of low-carbon fuels in the transport sector.
On the Energy Transition of the EU Fisheries and Aquaculture sector;EU Biodiversity Strategy for 2030;+;1;The On the Energy Transition of the EU Fisheries and Aquaculture sector policy document can support the EU Biodiversity Strategy for 2030 by promoting sustainable fishing and aquaculture practices, reducing the environmental impact of these sectors.
Amending Regulation (EU) 2019/1242;On Nature Restoration;+;2;The Amending Regulation can reinforce the On Nature Restoration policy document by promoting sustainable agriculture and reducing pollution from fertilizers and pesticides, which can aid in restoring ecosystems and promoting biodiversity.
On the use of renewable and low-carbon fuels in maritime transport and amending Directive 2009/16/EC;Hydrogen Strategy;+;1;The On the use of renewable and low-carbon fuels in maritime transport policy document can support the Hydrogen Strategy by promoting the use of low-carbon fuels in the maritime sector, which can be produced from renewable energy sources.
Sustainable and Smart Mobility Strategy;EU Biodiversity Strategy for 2030;+;2;The Sustainable and Smart Mobility Strategy can reinforce the EU Biodiversity Strategy for 2030 by promoting low-carbon fuels and reducing greenhouse gas emissions in the transport sector, which can aid in preserving and restoring ecosystems.
On the deployment of alternative fuels infrastructure;EU Biodiversity Strategy for 2030;+;1;The On the deployment of alternative fuels infrastructure policy document can support the EU Biodiversity Strategy for 2030 by promoting the development of alternative fuel infrastructure, enabling the widespread adoption of low-carbon fuels in the transport sector.
EU Biodiversity Strategy for 2030;Energy from Renewable Sources;+;3;The EU Biodiversity Strategy for 2030 can significantly support the Energy from Renewable Sources policy document by promoting sustainable land use and reducing greenhouse gas emissions, which can aid in achieving renewable energy targets.
On Nature Restoration;Sustainable and Smart Mobility Strategy;+;2;The On Nature Restoration policy document can reinforce the Sustainable and Smart Mobility Strategy by promoting the restoration of ecosystems, which can support the development of alternative fuel sources and reduce greenhouse gas emissions in the transport sector.
EU Soil Strategy for 2030;EU Biodiversity Strategy for 2030;+;2;The EU Soil Strategy for 2030 can support the EU Biodiversity Strategy for 2030 by promoting sustainable soil management practices, reducing pollution, and promoting ecosystem services, which can aid in preserving and restoring ecosystems.
Regulation on plant reproductive material;On Nature Restoration;+;1;The Regulation on plant reproductive material can support the On Nature Restoration policy document by promoting the development of sustainable plant reproductive material, which can aid in restoring ecosystems and promoting biodiversity.
Ensuring resilient and sustainable use of EU's natural resources;EU Biodiversity Strategy for 2030;+;3;The Ensuring resilient and sustainable use of EU's natural resources policy document can significantly support the EU Biodiversity Strategy for 2030 by promoting sustainable use of natural resources, reducing pollution, and promoting ecosystem services, which can aid in preserving and restoring ecosystems.
Regulation on forest reproductive material;On Nature Restoration;+;1;The Regulation on forest reproductive material can support the On Nature Restoration policy document by promoting the development of sustainable forest reproductive material, which can aid in restoring ecosystems and promoting biodiversity.
EU Biodiversity Strategy for 2030;On Nature Restoration;+;3;The EU Biodiversity Strategy for 2030 can significantly support the On Nature Restoration policy document by promoting sustainable land use, reducing greenhouse gas emissions, and promoting ecosystem services, which can aid in restoring ecosystems and promoting biodiversity.
