source_policydoc;impact_policydoc;impact_type;impact_weight;justification
EU Biodiversity Strategy for 2030;Circular Economy Action Plan;+;2;The EU Biodiversity Strategy for 2030 aims to protect and restore ecosystems, which can be reinforced by the Circular Economy Action Plan's goal of reducing waste and increasing recycling, thereby reducing the pressure on natural resources and promoting sustainable consumption patterns.
EU Biodiversity Strategy for 2030;On Nature Restoration;+;3;The EU Biodiversity Strategy for 2030 and the Nature Restoration Law share common objectives, such as protecting and restoring ecosystems, and their implementation can be mutually reinforcing, with the Biodiversity Strategy providing a framework for nature restoration and the Nature Restoration Law providing specific measures for restoration.
On Nature Restoration;EU Biodiversity Strategy for 2030;+;2;The Nature Restoration Law can aid the EU Biodiversity Strategy for 2030 by providing specific restoration measures, which can help achieve the strategy's objectives, such as restoring degraded ecosystems and promoting biodiversity.
On Nature Restoration;Circular Economy Action Plan;+;1;The Nature Restoration Law and the Circular Economy Action Plan can be enabling, as the restoration of ecosystems can create opportunities for sustainable resource management and the circular economy can provide innovative solutions for the use of restored ecosystems.
EU Biodiversity Strategy for 2030;Fisheries and Oceans Pact;+;1;The EU Biodiversity Strategy for 2030 and the Fisheries and Oceans Pact can be enabling, as sustainable fishing practices can help maintain ecosystem health and biodiversity, which is in line with the strategy's objectives.
On Nature Restoration;Regulation on plant reproductive material;+;1;The Nature Restoration Law and the Regulation on plant reproductive material can be enabling, as the restoration of ecosystems can create opportunities for the use of plant reproductive materials in a sustainable way.
EU Biodiversity Strategy for 2030;EU Soil Strategy for 2030;+;2;The EU Biodiversity Strategy for 2030 and the EU Soil Strategy for 2030 share common objectives, such as protecting ecosystems and promoting sustainable land use, and their implementation can be mutually reinforcing.
On Nature Restoration;Regulation on forest reproductive material;+;1;The Nature Restoration Law and the Regulation on forest reproductive material can be enabling, as the restoration of ecosystems can create opportunities for the use of forest reproductive materials in a sustainable way.
EU Biodiversity Strategy for 2030;Ensuring resilient and sustainable use of EU's natural resources;+;2;The EU Biodiversity Strategy for 2030 and the policy on ensuring resilient and sustainable use of EU's natural resources share common objectives, such as protecting ecosystems and promoting sustainable resource use, and their implementation can be mutually reinforcing.
On Nature Restoration;EU Biodiversity Strategy for 2030;+;1;The Nature Restoration Law can aid the EU Biodiversity Strategy for 2030 by providing specific restoration measures, which can help achieve the strategy's objectives, such as restoring degraded ecosystems and promoting biodiversity.
Circular Economy Action Plan;On packaging and packaging waste;+;3;The Circular Economy Action Plan and the policy on packaging and packaging waste share common objectives, such as reducing waste and increasing recycling, and their implementation can be mutually reinforcing, with the Action Plan providing a framework for circular economy and the packaging waste policy providing specific measures for waste reduction.
On packaging and packaging waste;On circularity requirements for vehicle design;+;2;The policy on packaging and packaging waste and the policy on circularity requirements for vehicle design can be reinforcing, as reducing packaging waste and promoting circularity in vehicle design can help achieve the objectives of reducing waste and promoting sustainable consumption patterns.
On circularity requirements for vehicle design;Critical Raw Materials;+;1;The policy on circularity requirements for vehicle design and the policy on Critical Raw Materials can be enabling, as the design of vehicles can be adapted to use critical raw materials in a sustainable way, which can help reduce the EU's dependence on these materials.
Critical Raw Materials;Net Zero Industry Act;+;2;The policy on Critical Raw Materials and the Net Zero Industry Act share common objectives, such as promoting sustainable resource use and reducing greenhouse gas emissions, and their implementation can be mutually reinforcing, with the Critical Raw Materials policy providing a framework for sustainable resource use and the Net Zero Industry Act providing specific measures for reducing emissions.
Amending Directive 2008/98/EC on waste;Circular Economy Action Plan;+;3;The Amending Directive 2008/98/EC on waste and the Circular Economy Action Plan share common objectives, such as reducing waste and increasing recycling, and their implementation can be mutually reinforcing, with the Directive providing a framework for waste management and the Action Plan providing specific measures for circular economy.
