Energy from Renewable Sources;EU Biodiversity Strategy for 2030;+2;The implementation of the renewable energy targets in the Energy from Renewable Sources policy document can reinforce the EU Biodiversity Strategy for 2030 by promoting sustainable land-use and reducing pollution from fossil fuels, thus creating a favourable environment for biodiversity conservation and restoration.
Energy from Renewable Sources;On Nature Restoration;+1;The Energy from Renewable Sources policy document can enable the On Nature Restoration policy document by providing renewable energy solutions for nature restoration activities, thus reducing the environmental impact of these activities.
A Renovation Wave for Europe;EU Biodiversity Strategy for 2030;+1;The A Renovation Wave for Europe policy document can enable the EU Biodiversity Strategy for 2030 by promoting sustainable building practices and reducing energy consumption, thus creating a favourable environment for biodiversity conservation and restoration.
On energy efficiency and amending Regulation (EU) 2023/955 (recast);EU Biodiversity Strategy for 2030;+1;The On energy efficiency and amending Regulation (EU) 2023/955 (recast) policy document can enable the EU Biodiversity Strategy for 2030 by promoting energy efficiency measures that reduce energy consumption and greenhouse gas emissions, thus creating a favourable environment for biodiversity conservation and restoration.
On packaging and packaging waste;EU Biodiversity Strategy for 2030;-1;The On packaging and packaging waste policy document can constrain the EU Biodiversity Strategy for 2030 by promoting the use of biodegradable packaging materials that may not be suitable for biodiversity conservation and restoration.
On the Energy Performance of Buildings (recast);EU Biodiversity Strategy for 2030;+1;The On the Energy Performance of Buildings (recast) policy document can enable the EU Biodiversity Strategy for 2030 by promoting energy-efficient buildings that reduce energy consumption and greenhouse gas emissions, thus creating a favourable environment for biodiversity conservation and restoration.
REPowerEU Plan;EU Biodiversity Strategy for 2030;+2;The REPowerEU Plan policy document can reinforce the EU Biodiversity Strategy for 2030 by promoting the use of renewable energy sources and reducing greenhouse gas emissions, thus creating a favourable environment for biodiversity conservation and restoration.
EU Solar Energy Strategy;EU Biodiversity Strategy for 2030;+2;The EU Solar Energy Strategy policy document can reinforce the EU Biodiversity Strategy for 2030 by promoting the use of solar energy and reducing greenhouse gas emissions, thus creating a favourable environment for biodiversity conservation and restoration.
Powering a Climate neutrality economy;EU Biodiversity Strategy for 2030;+2;The Powering a Climate neutrality economy policy document can reinforce the EU Biodiversity Strategy for 2030 by promoting the use of renewable energy sources and reducing greenhouse gas emissions, thus creating a favourable environment for biodiversity conservation and restoration.
Delivering on the EU offshore renewable energy ambitions;EU Biodiversity Strategy for 2030;+1;The Delivering on the EU offshore renewable energy ambitions policy document can enable the EU Biodiversity Strategy for 2030 by promoting the use of offshore renewable energy sources and reducing greenhouse gas emissions, thus creating a favourable environment for biodiversity conservation and restoration.
EU Solar Energy Strategy;On Nature Restoration;+1;The EU Solar Energy Strategy policy document can enable the On Nature Restoration policy document by providing renewable energy solutions for nature restoration activities, thus reducing the environmental impact of these activities.
REPowerEU Plan;On Nature Restoration;+1;The REPowerEU Plan policy document can enable the On Nature Restoration policy document by promoting the use of renewable energy sources and reducing greenhouse gas emissions, thus creating a favourable environment for nature restoration.
EU Biodiversity Strategy for 2030;On Nature Restoration;+3;The EU Biodiversity Strategy for 2030 policy document can reinforce the On Nature Restoration policy document by promoting nature restoration activities and reducing pollution from fossil fuels, thus creating a favourable environment for nature restoration.
On Nature Restoration;Regulation on plant reproductive material;-2;The On Nature Restoration policy document can counteract the Regulation on plant reproductive material policy document by promoting nature restoration activities that may not be compatible with the use of plant reproductive materials.
On Nature Restoration;Regulation on forest reproductive material;-2;The On Nature Restoration policy document can counteract the Regulation on forest reproductive material policy document by promoting nature restoration activities that may not be compatible with the use of forest reproductive materials.
Ensuring resilient and sustainable use of EU's natural resources;On Nature Restoration;+1;The Ensuring resilient and sustainable use of EU's natural resources policy document can enable the On Nature Restoration policy document by promoting sustainable land-use and reducing pollution from fossil fuels, thus creating a favourable environment for nature restoration.
