European Climate Law;European Climate Law;+2;The European Climate Law sets a binding target of at least 55% greenhouse gas emissions reduction by 2030, which will likely reinforce the Energy from Renewable Sources target of at least 42.5% of the Union's energy consumption coming from renewable sources by 2030.
European Climate Law;Concerning urban wastewater treatment (recast);+1;The European Climate Law's emission reduction target may enable the achievement of the urban wastewater treatment target by reducing pollution from wastewater.
European Climate Law;Amending Directive 2003/87/EC;+1;The European Climate Law's emission reduction target may aid in the reduction of emissions from land transport, thus reinforcing the amended Directive 2003/87/EC's goal of reducing emissions from the transport sector.
European Climate Law;Amending Regulation (EU) 2018/842;+1;The European Climate Law's target may facilitate the amended Regulation (EU) 2018/842's objective of reducing emissions from the buildings sector by promoting the use of renewable energy sources.
European Climate Law;Amending Regulations (EU) 2018/841;+1;The European Climate Law's emission reduction target may support the amended Regulations (EU) 2018/841's goal of reducing emissions from the land use sector by promoting sustainable land use practices.
European Climate Law;On an EU Strategy to reduce methane emissions;+1;The European Climate Law's target may enable the achievement of the methane emissions reduction strategy by promoting the use of renewable energy sources and reducing emissions from the energy and transport sectors.
European Climate Law;A Renovation Wave for Europe;+1;The European Climate Law's emission reduction target may facilitate the Renovation Wave for Europe's objective of reducing energy consumption in buildings by promoting energy-efficient renovations.
Biofuels - Directive (EU) 2023/2413;Amending Directive 2003/87/EC;+2;The Biofuels Directive's target of at least 1.7% of biofuels in the energy mix may reinforce the amended Directive 2003/87/EC's goal of reducing emissions from the transport sector by promoting the use of low-carbon fuels.
On ensuring a level playing field for sustainable air transport;Amending Directive 2003/87/EC;+2;The sustainable air transport strategy may reinforce the amended Directive 2003/87/EC's objective of reducing emissions from the transport sector by promoting the use of low-carbon fuels in aviation.
Aviation Fuel - Regulation (EU) 2023/2405;Amending Directive 2003/87/EC;+2;The Aviation Fuel Regulation's target of at least 2% sustainable aviation fuels may aid in the reduction of emissions from the transport sector, thus reinforcing the amended Directive 2003/87/EC's goal.
On the deployment of alternative fuels infrastructure;Sustainable and Smart Mobility Strategy;+2;The alternative fuels infrastructure deployment may facilitate the Sustainable and Smart Mobility Strategy's objective of promoting low-carbon transport by providing the necessary infrastructure for alternative fuels.
On the Energy Transition of the EU Fisheries and Aquaculture sector;Sustainable and Smart Mobility Strategy;+1;The energy transition in the fisheries and aquaculture sector may support the Sustainable and Smart Mobility Strategy's goal of reducing emissions from the transport sector by promoting the use of low-carbon fuels in the sector.
Amending Regulation (EU) 2019/1242;Sustainable and Smart Mobility Strategy;+1;The amended Regulation (EU) 2019/1242's target of reducing emissions from the transport sector may facilitate the Sustainable and Smart Mobility Strategy's objective of promoting low-carbon transport.
On the use of renewable and low-carbon fuels in maritime transport and amending Directive 2009/16/EC;Sustainable and Smart Mobility Strategy;+2;The promotion of renewable and low-carbon fuels in maritime transport may reinforce the Sustainable and Smart Mobility Strategy's goal of reducing emissions from the transport sector.
Hydrogen Strategy;Sustainable and Smart Mobility Strategy;+2;The Hydrogen Strategy's target of promoting the use of hydrogen as a low-carbon fuel may aid in the reduction of emissions from the transport sector, thus reinforcing the Sustainable and Smart Mobility Strategy's objective.
Amending Council Directive 92/106/EEC;Sustainable and Smart Mobility Strategy;+1;The amended Council Directive 92/106/EEC's target of reducing emissions from the transport sector may support the Sustainable and Smart Mobility Strategy's goal of promoting low-carbon transport.
The new EU Urban Mobility Framework;Sustainable and Smart Mobility Strategy;+1;The new EU Urban Mobility Framework's objective of promoting sustainable urban mobility may facilitate the Sustainable and Smart Mobility Strategy's goal of reducing emissions from the transport sector by promoting low-carbon fuels and alternative modes of transport.
