Energy from Renewable Sources;On ensuring a level playing field for sustainable air transport;+2;The implementation of the Energy from Renewable Sources target of at least 49% of energy from renewable sources in the building sector in 2030 can reinforce the On ensuring a level playing field for sustainable air transport target of at least 2% of aviation fuels from green by 2030, as increased renewable energy production can lead to lower emissions and support the transition to sustainable air transport.
Energy from Renewable Sources;Aviation Fuel - Regulation (EU) 2023/2405;+2;The Energy from Renewable Sources target can aid the Aviation Fuel - Regulation (EU) 2023/2405 goal of at least 70% of renewable fuels in aviation by 2050, as renewable energy can be used to produce sustainable aviation fuels.
Biofuels - Directive (EU) 2023/2413;On the deployment of alternative fuels infrastructure;+1;The Biofuels - Directive (EU) 2023/2413 target of at least 1% of renewable fuels in road transport by 2025 can enable the On the deployment of alternative fuels infrastructure target of at least 1 public recharging pool dedicated to light-duty vehicles deployed in each direction of travel with a maximum distance of 60 km in-between them, as increased biofuel production can lead to the development of alternative fuel infrastructure.
On ensuring a level playing field for sustainable air transport;On the Energy Transition of the EU Fisheries and Aquaculture sector;-1;The On ensuring a level playing field for sustainable air transport target may constrain the On the Energy Transition of the EU Fisheries and Aquaculture sector goal of reducing GHG emissions from fisheries and aquaculture, as increased air transport demand can lead to higher emissions from these sectors.
Aviation Fuel - Regulation (EU) 2023/2405;On the deployment of alternative fuels infrastructure;+1;The Aviation Fuel - Regulation (EU) 2023/2405 target of at least 70% of renewable fuels in aviation by 2050 can facilitate the On the deployment of alternative fuels infrastructure goal of at least 1 public recharging pool dedicated to light-duty vehicles, as increased renewable fuel production can support the development of alternative fuel infrastructure.
On the deployment of alternative fuels infrastructure;Amending Regulation (EU) 2019/1242;+2;The On the deployment of alternative fuels infrastructure target can reinforce the Amending Regulation (EU) 2019/1242 goal of reducing GHG emissions from transport, as increased alternative fuel infrastructure can lead to lower emissions from transport.
On the deployment of alternative fuels infrastructure;Sustainable and Smart Mobility Strategy;+2;The On the deployment of alternative fuels infrastructure target can aid the Sustainable and Smart Mobility Strategy goal of at least -90% of GHG emissions from land transport by 2050, as increased alternative fuel infrastructure can support the transition to low-carbon transport.
Amending Regulation (EU) 2019/1242;Energy from Renewable Sources;+1;The Amending Regulation (EU) 2019/1242 target of reducing GHG emissions from transport can enable the Energy from Renewable Sources goal of at least 49% of energy from renewable sources in the building sector, as increased renewable energy production can lead to lower emissions from transport.
Circular Economy Action Plan;Concerning batteries and waste batteries;+3;The Circular Economy Action Plan target of at least 65% of municipal waste recycled by 2030 can reinforce the Concerning batteries and waste batteries goal of recycling at least 50% of portable batteries by 2025, as increased recycling can lead to the recovery of critical raw materials.
Concerning batteries and waste batteries;On packaging and packaging waste;+2;The Concerning batteries and waste batteries target can aid the On packaging and packaging waste goal of recycling at least 65% of packaging waste by 2025, as increased recycling of batteries can lead to the recovery of materials used in packaging.
On packaging and packaging waste;On circularity requirements for vehicle design;+1;The On packaging and packaging waste target can facilitate the On circularity requirements for vehicle design goal of at least 85% of vehicles being reusable/recyclable by 2030, as increased recycling of packaging waste can lead to the development of more circular vehicle design.
On circularity requirements for vehicle design;Critical Raw Materials;+2;The On circularity requirements for vehicle design target can reinforce the Critical Raw Materials goal of at least 10% of the Union’s annual consumption of strategic raw materials by 2030, as increased recycling of vehicles can lead to the recovery of critical raw materials.
Critical Raw Materials;Net Zero Industry Act;+3;The Critical Raw Materials target can aid the Net Zero Industry Act goal of at least 40% of the Union’s annual deployment needs by 2030, as increased domestic production of critical raw materials can support the development of net-zero technologies.
Net Zero Industry Act;Amending Directive 2008/98/EC on waste;+2;The Net Zero Industry Act target can facilitate the Amending Directive 2008/98/EC on waste goal of reducing waste generation by at least 50% by 2030, as increased recycling and reuse can lead to lower waste generation.
Amending Directive 2008/98/EC on waste;Circular Economy Action Plan;+1;The Amending Directive 2008/98/EC on waste target can enable the Circular Economy Action Plan goal of at least 50% of the Union’s energy consumption from renewable sources by 2030, as increased waste reduction can lead to lower energy consumption.
