source_policydoc;impact_policydoc;impact_type;impact_weight;justification
A Farm to Fork Strategy;European Climate Law;+;2;The Farm to Fork Strategy aims to reduce the environmental footprint of food systems, which is in line with the European Climate Law's goal of reducing greenhouse gas emissions. Implementing the Farm to Fork Strategy's targets can aid in achieving the European Climate Law's objectives.
A Farm to Fork Strategy;Amending Directive 2003/87/EC;+;1;The Farm to Fork Strategy's focus on sustainable agriculture can enable the implementation of the amended Directive 2003/87/EC, which aims to reduce emissions from aviation.
A Farm to Fork Strategy;Amending Regulations (EU) 2018/841;+;1;The Farm to Fork Strategy's emphasis on sustainable land use can facilitate the implementation of the amended Regulations (EU) 2018/841, which aim to reduce emissions from land use.
A Farm to Fork Strategy;On an EU Strategy to reduce methane emissions;+;2;The Farm to Fork Strategy's targets on reducing methane emissions from agriculture can reinforce the EU Strategy to reduce methane emissions, which aims to decrease methane emissions from all sectors.
A Farm to Fork Strategy;A Renovation Wave for Europe;+;1;The Farm to Fork Strategy's focus on energy efficiency in buildings can be enabled by the Renovation Wave for Europe, which aims to improve the energy performance of buildings.
Concerning urban wastewater treatment (recast);A Farm to Fork Strategy;+;1;The recast of the urban wastewater treatment directive can aid in achieving the Farm to Fork Strategy's objectives on reducing pollution from agriculture.
Amending Directive 2003/87/EC;A Farm to Fork Strategy;+;1;The amended Directive 2003/87/EC can facilitate the implementation of the Farm to Fork Strategy's targets on reducing emissions from aviation.
Amending Regulations (EU) 2018/841;A Farm to Fork Strategy;+;1;The amended Regulations (EU) 2018/841 can aid in achieving the Farm to Fork Strategy's objectives on sustainable land use.
On an EU Strategy to reduce methane emissions;A Farm to Fork Strategy;+;2;The EU Strategy to reduce methane emissions can reinforce the Farm to Fork Strategy's targets on reducing methane emissions from agriculture.
A Renovation Wave for Europe;A Farm to Fork Strategy;+;1;The Renovation Wave for Europe can enable the implementation of the Farm to Fork Strategy's targets on energy efficiency in buildings.
