source_policydoc;impact_policydoc;impact_type;impact_weight;justification
EU Biodiversity Strategy for 2030;Energy from Renewable Sources;+;2;The EU Biodiversity Strategy for 2030 aims to protect and restore ecosystems, which can positively impact the implementation of renewable energy sources by ensuring that they do not harm biodiversity.
EU Biodiversity Strategy for 2030;Biofuels - Directive (EU) 2023/2413;-;1;The EU Biodiversity Strategy for 2030 may constrain the production of biofuels, as it aims to protect ecosystems, which could limit the land available for biofuel production.
On Nature Restoration;Energy from Renewable Sources;+;1;The Nature Restoration Law can enable the implementation of renewable energy sources by restoring degraded ecosystems, which can be used for renewable energy production.
On Nature Restoration;On ensuring a level playing field for sustainable air transport;+;1;The Nature Restoration Law can support sustainable air transport by promoting ecosystem restoration, which can help reduce emissions from air transport.
EU Biodiversity Strategy for 2030;On the deployment of alternative fuels infrastructure;-;1;The EU Biodiversity Strategy for 2030 may limit the deployment of alternative fuels infrastructure, as it prioritizes ecosystem protection, which could constrain the development of new infrastructure.
EU Biodiversity Strategy for 2030;On the Energy Transition of the EU Fisheries and Aquaculture sector;+;1;The EU Biodiversity Strategy for 2030 can support the energy transition in the fisheries and aquaculture sector by promoting sustainable fishing and aquaculture practices.
On Nature Restoration;Sustainable and Smart Mobility Strategy;+;2;The Nature Restoration Law can reinforce sustainable and smart mobility by promoting green infrastructure, which can support low-carbon transport modes.
EU Biodiversity Strategy for 2030;Hydrogen Strategy;-;2;The EU Biodiversity Strategy for 2030 may counteract the Hydrogen Strategy, as it prioritizes ecosystem protection, which could limit the development of hydrogen production.
EU Biodiversity Strategy for 2030;Amending Council Directive 92/106/EEC;-;1;The EU Biodiversity Strategy for 2030 may constrain the amendment of the Council Directive, as it prioritizes ecosystem protection, which could limit the development of new transport infrastructure.
On Nature Restoration;The new EU Urban Mobility Framework;+;1;The Nature Restoration Law can support the new EU Urban Mobility Framework by promoting green spaces, which can help reduce emissions from transport.
EU Biodiversity Strategy for 2030;On ensuring a level playing field for sustainable air transport;-;1;The EU Biodiversity Strategy for 2030 may limit the development of sustainable air transport, as it prioritizes ecosystem protection, which could constrain the development of new air transport infrastructure.
