source_policydoc;impact_policydoc;impact_type;impact_weight;justification
European Climate Law;Energy from Renewable Sources;+;2;The European Climate Law sets a framework for reducing greenhouse gas emissions, which can reinforce the Energy from Renewable Sources policy document by promoting the use of renewable energy sources.
Concerning urban wastewater treatment (recast);On energy efficiency and amending Regulation (EU) 2023/955 (recast);+;1;The Concerning urban wastewater treatment policy document can enable the On energy efficiency policy document by reducing energy consumption in the water sector.
Amending Directive 2003/87/EC;A Renovation Wave for Europe;+;1;The Amending Directive 2003/87/EC policy document can aid the A Renovation Wave for Europe policy document by promoting energy efficiency in buildings.
Amending Regulations (EU) 2018/842;On packaging and packaging waste;+;1;The Amending Regulations policy document can support the On packaging and packaging waste policy document by reducing waste generation.
Amending Regulations (EU) 2018/841;On the Energy Performance of Buildings (recast);+;1;The Amending Regulations policy document can reinforce the On the Energy Performance of Buildings policy document by improving building insulation and reducing energy losses.
On an EU Strategy to reduce methane emissions;REPowerEU Plan;+;2;The On an EU Strategy to reduce methane emissions policy document can reinforce the REPowerEU Plan policy document by promoting the use of renewable energy sources and reducing greenhouse gas emissions.
A Renovation Wave for Europe;Energy from Renewable Sources;+;1;The A Renovation Wave for Europe policy document can enable the Energy from Renewable Sources policy document by promoting the use of renewable energy sources in buildings.
On energy efficiency and amending Regulation (EU) 2023/955 (recast);EU Solar Energy Strategy;+;1;The On energy efficiency policy document can support the EU Solar Energy Strategy policy document by promoting the use of solar energy and reducing energy consumption.
On packaging and packaging waste;On the Energy Performance of Buildings (recast);+;1;The On packaging and packaging waste policy document can aid the On the Energy Performance of Buildings policy document by reducing energy consumption in the building sector.
REPowerEU Plan;Delivering on the EU offshore renewable energy ambitions;+;2;The REPowerEU Plan policy document can reinforce the Delivering on the EU offshore renewable energy ambitions policy document by promoting the use of offshore renewable energy sources.
EU Solar Energy Strategy;Powering a Climate neutrality economy;+;2;The EU Solar Energy Strategy policy document can support the Powering a Climate neutrality economy policy document by promoting the use of solar energy and reducing greenhouse gas emissions.
Energy from Renewable Sources;A Renovation Wave for Europe;+;1;The Energy from Renewable Sources policy document can enable the A Renovation Wave for Europe policy document by promoting the use of renewable energy sources in buildings.
