source_policydoc;impact_policydoc;impact_type;impact_weight;justification
European Climate Law;EU Biodiversity Strategy for 2030;+;2;The European Climate Law sets a framework for reducing greenhouse gas emissions, which can reinforce the EU Biodiversity Strategy for 2030 by promoting sustainable land use and reducing pollution.
Concerning urban wastewater treatment (recast);EU Biodiversity Strategy for 2030;+;1;Improved wastewater treatment can enable the EU Biodiversity Strategy for 2030 by reducing pollution and protecting aquatic ecosystems.
Amending Directive 2003/87/EC;EU Biodiversity Strategy for 2030;+;1;The amended Directive can aid the EU Biodiversity Strategy for 2030 by enhancing the EU ETS and promoting low-carbon technologies, thus supporting biodiversity conservation.
Amending Regulation (EU) 2018/842;EU Biodiversity Strategy for 2030;+;1;The amended Regulation can support the EU Biodiversity Strategy for 2030 by improving the EU's climate and energy framework, which can help reduce emissions and promote sustainable land use.
Amending Regulations (EU) 2018/841;EU Biodiversity Strategy for 2030;+;1;The amended Regulations can facilitate the EU Biodiversity Strategy for 2030 by promoting sustainable land use and reducing emissions from the land use sector.
On an EU Strategy to reduce methane emissions;EU Biodiversity Strategy for 2030;+;2;Reducing methane emissions can reinforce the EU Biodiversity Strategy for 2030 by mitigating climate change and promoting sustainable agriculture practices.
A Renovation Wave for Europe;EU Biodiversity Strategy for 2030;+;1;The Renovation Wave initiative can support the EU Biodiversity Strategy for 2030 by promoting energy-efficient buildings and reducing energy consumption, thus protecting natural habitats.
Amending Directive 2003/87/EC;On Nature Restoration;+;1;The amended Directive can aid the Nature Restoration initiative by promoting sustainable land use and reducing emissions, thus supporting ecosystem restoration.
Amending Directive 2003/87/EC;On Nature Restoration;+;1;The amended Directive can facilitate the Nature Restoration initiative by enhancing the EU ETS and promoting low-carbon technologies, thus supporting ecosystem restoration.
Amending Regulations (EU) 2018/841;On Nature Restoration;+;1;The amended Regulations can support the Nature Restoration initiative by improving the EU's climate and energy framework, which can help reduce emissions and promote sustainable land use.
On Nature Restoration;EU Biodiversity Strategy for 2030;+;3;The Nature Restoration initiative can significantly reinforce the EU Biodiversity Strategy for 2030 by restoring degraded ecosystems, promoting biodiversity, and supporting climate change mitigation.
On Nature Restoration;EU Biodiversity Strategy for 2030;+;3;The Nature Restoration initiative can substantially support the EU Biodiversity Strategy for 2030 by protecting and restoring natural ecosystems, thus promoting biodiversity conservation and climate change mitigation.
EU Biodiversity Strategy for 2030;On Nature Restoration;+;2;The EU Biodiversity Strategy for 2030 can reinforce the Nature Restoration initiative by promoting sustainable land use, reducing pollution, and protecting natural ecosystems.
On Nature Restoration;EU Soil Strategy for 2030;+;1;The Nature Restoration initiative can support the EU Soil Strategy for 2030 by promoting sustainable soil management and reducing soil degradation.
Regulation on plant reproductive material;EU Biodiversity Strategy for 2030;+;1;The Regulation on plant reproductive material can facilitate the EU Biodiversity Strategy for 2030 by promoting sustainable agriculture practices and reducing the use of harmful substances.
EU Biodiversity Strategy for 2030;On Nature Restoration;+;2;The EU Biodiversity Strategy for 2030 can support the Nature Restoration initiative by promoting ecosystem restoration, reducing pollution, and protecting biodiversity.
On Nature Restoration;Regulation on forest reproductive material;+;1;The Nature Restoration initiative can support the Regulation on forest reproductive material by promoting sustainable forest management and reducing emissions from the forestry sector.
EU Biodiversity Strategy for 2030;On Nature Restoration;+;2;The EU Biodiversity Strategy for 2030 can reinforce the Nature Restoration initiative by protecting and restoring natural ecosystems, thus promoting biodiversity conservation and climate change mitigation.
On Nature Restoration;EU Biodiversity Strategy for 2030;+;3;The Nature Restoration initiative can significantly support the EU Biodiversity Strategy for 2030 by restoring degraded ecosystems, promoting biodiversity, and supporting climate change mitigation.
On Nature Restoration;EU Biodiversity Strategy for 2030;+;3;The Nature Restoration initiative can substantially support the EU Biodiversity Strategy for 2030 by protecting and restoring natural ecosystems, thus promoting biodiversity conservation and climate change mitigation.
EU Biodiversity Strategy for 2030;On Nature Restoration;+;2;The EU Biodiversity Strategy for 2030 can reinforce the Nature Restoration initiative by promoting sustainable land use, reducing pollution, and protecting natural ecosystems.
On Nature Restoration;Ensuring resilient and sustainable use of EU's natural resources;+;1;The Nature Restoration initiative can support the strategy for resilient and sustainable use of natural resources by promoting ecosystem restoration and reducing emissions.
EU Biodiversity Strategy for 2030;On Nature Restoration;+;2;The EU Biodiversity Strategy for 2030 can support the Nature Restoration initiative by promoting ecosystem restoration, reducing pollution, and protecting biodiversity.
On Nature Restoration;EU Biodiversity Strategy for 2030;+;3;The Nature Restoration initiative can significantly reinforce the EU Biodiversity Strategy for 2030 by restoring degraded ecosystems, promoting biodiversity, and supporting climate change mitigation.
On Nature Restoration;EU Biodiversity Strategy for 2030;+;3;The Nature Restoration initiative can substantially support the EU Biodiversity Strategy for 2030 by protecting and restoring natural ecosystems, thus promoting biodiversity conservation and climate change mitigation.
