source_policydoc;impact_policydoc;impact_type;impact_weight;justification
EU Biodiversity Strategy for 2030;European Climate Law;+;2;The EU Biodiversity Strategy for 2030 aims to protect and restore ecosystems, which can aid in achieving the European Climate Law's target of reducing greenhouse gas emissions by 55% by 2030.
EU Biodiversity Strategy for 2030;On an EU Strategy to reduce methane emissions;+;1;The EU Biodiversity Strategy for 2030's goal of protecting and restoring ecosystems can enable the reduction of methane emissions, as outlined in the EU Strategy to reduce methane emissions.
On Nature Restoration;A Renovation Wave for Europe;-;1;The On Nature Restoration policy document's focus on restoring natural ecosystems may constrain the Renovation Wave for Europe's efforts to renovate buildings, as it may limit the availability of materials and increase costs.
On Nature Restoration;Amending Directive 2003/87/EC;+;2;The On Nature Restoration policy document can reinforce the Amending Directive 2003/87/EC's efforts to reduce pollution from urban wastewater, as restoring natural ecosystems can aid in improving water quality.
EU Biodiversity Strategy for 2030;Amending Regulations (EU) 2018/841;-;3;The EU Biodiversity Strategy for 2030's targets may be cancelled by the Amending Regulations (EU) 2018/841, as the latter's focus on land use and forestry management may lead to increased deforestation and habitat destruction.
On Nature Restoration;European Climate Law;+;3;The On Nature Restoration policy document can significantly aid in achieving the European Climate Law's targets, as restoring natural ecosystems can sequester carbon and reduce greenhouse gas emissions.
EU Biodiversity Strategy for 2030;On an EU Strategy to reduce methane emissions;+;2;The EU Biodiversity Strategy for 2030's protection and restoration of ecosystems can enable the reduction of methane emissions, as outlined in the EU Strategy to reduce methane emissions.
On Nature Restoration;A Renovation Wave for Europe;-;1;The On Nature Restoration policy document's focus on restoring natural ecosystems may constrain the Renovation Wave for Europe's efforts to renovate buildings, as it may limit the availability of materials and increase costs.
On Nature Restoration;Amending Directive 2003/87/EC;+;2;The On Nature Restoration policy document can reinforce the Amending Directive 2003/87/EC's efforts to reduce pollution from urban wastewater, as restoring natural ecosystems can aid in improving water quality.
EU Biodiversity Strategy for 2030;Amending Regulations (EU) 2018/841;-;3;The EU Biodiversity Strategy for 2030's targets may be cancelled by the Amending Regulations (EU) 2018/841, as the latter's focus on land use and forestry management may lead to increased deforestation and habitat destruction.
On Nature Restoration;European Climate Law;+;3;The On Nature Restoration policy document can significantly aid in achieving the European Climate Law's targets, as restoring natural ecosystems can sequester carbon and reduce greenhouse gas emissions.
EU Biodiversity Strategy for 2030;On an EU Strategy to reduce methane emissions;+;2;The EU Biodiversity Strategy for 2030's protection and restoration of ecosystems can enable the reduction of methane emissions, as outlined in the EU Strategy to reduce methane emissions.
On Nature Restoration;A Renovation Wave for Europe;-;1;The On Nature Restoration policy document's focus on restoring natural ecosystems may constrain the Renovation Wave for Europe's efforts to renovate buildings, as it may limit the availability of materials and increase costs.
On Nature Restoration;Amending Directive 2003/87/EC;+;2;The On Nature Restoration policy document can reinforce the Amending Directive 2003/87/EC's efforts to reduce pollution from urban wastewater, as restoring natural ecosystems can aid in improving water quality.
EU Biodiversity Strategy for 2030;Amending Regulations (EU) 2018/841;-;3;The EU Biodiversity Strategy for 2030's targets may be cancelled by the Amending Regulations (EU) 2018/841, as the latter's focus on land use and forestry management may lead to increased deforestation and habitat destruction.
On Nature Restoration;European Climate Law;+;3;The On Nature Restoration policy document can significantly aid in achieving the European Climate Law's targets, as restoring natural ecosystems can sequester carbon and reduce greenhouse gas emissions.
