target_code;target_content;NACE_level1;NACE_level1_extra1;NACE_level1_extra2;NACE_level2;NACE_level2_extra1;NACE_level2_extra2;NACE_level_3;NACE_level_3_extra1;NACE level3_extra2;justification;confidence_score
TA1.1;Climate Neutrality (2040 target under discussion);D - Electricity, Gas, Steam and Air Conditioning Supply;C - Manufacturing;E - Water Supply, Sewerage, Waste Management and Remediation Activities;D35 - Electricity, gas, steam and air conditioning supply;C29 - Manufacture of motor vehicles, trailers and semi-trailers;E38 - Waste collection, treatment and disposal activities, materials recovery;D35.1 - Electric power generation, transmission and distribution;C29.3 - Manufacture of parts and accessories for motor vehicles;E38.1 - Waste collection;The target of climate neutrality involves multiple sectors, including energy for emissions, manufacturing for industrial processes, and waste management for emissions control.;8
TA1.10;The total quantity of allowances for the new emissions trading system should follow a linear trajectory to reach the emission reduction target for 2030, taking into account the cost-efficient contribution of the buildings and road transport sectors of 43 % emission reductions by 2030 compared to 2005 and of the additional sectors, a combined cost-efficient contribution of 42 % emission reductions by 2030 compared to 2005.;H - Transportation and Storage;F - Construction;D - Electricity, Gas, Steam and Air Conditioning Supply;H52 - Warehousing and support activities for transportation;F41 - Construction of buildings;D35 - Electricity, gas, steam and air conditioning supply;H52.2 - Support activities for transportation;F41.2 - Construction of residential and non-residential buildings;D35.1 - Electric power generation, transmission and distribution;The target involves emissions reductions in road transport and buildings, implicating transportation, construction, and energy sectors.;9
TA1.11;Upgrade national targets in line with an EU-wide reduction of 40% in the ESR sectors compared to 2005. Member States contribute to the overall EU reduction in 2030 with targets ranging from -10% to -50% below 2005 level (sectors: transport, buildings, agriculture and waste);H - Transportation and Storage;F - Construction;A - Agriculture, Forestry and Fishing;H49 - Land transport and transport via pipelines;F42 - Civil engineering;A1 - Crop and animal production, hunting and related service activities;H49.5 - Transport via pipeline;F42.1 - Construction of roads and railways;A1.1 - Growing of non-perennial crops;The target addresses emissions in transport, buildings, agriculture, and waste management, involving these respective sectors.;8
TA1.12;Achieve an EU net greenhouse gas removal of 310 million tonnes CO2 equivalent per year for the land use, land use change and forestry (LULUCF) sector;A - Agriculture, Forestry and Fishing;E - Water Supply, Sewerage, Waste Management and Remediation Activities;;A2 - Forestry and logging;E39 - Remediation activities and other waste management services;;A2.1 - Silviculture and other forestry activities;E39.0 - Remediation activities and other waste management services;;The target focuses on land use and forestry for CO2 removal, which directly involves agriculture and remediation sectors.;9
TA1.13;For the period from 2021 to 2025 each Member State shall ensure that greenhouse gas emissions from the sector do not exceed greenhouse gas removals, calculated as the sum of total emissions and total removals on its territory in all of the land accounting categories (no debit rule). The accounting benchmark for the EU is ca. -229 Mt CO2e/yr for 2021-2025.;A - Agriculture, Forestry and Fishing;E - Water Supply, Sewerage, Waste Management and Remediation Activities;;A2 - Forestry and logging;E39 - Remediation activities and other waste management services;;A2.1 - Silviculture and other forestry activities;E39.0 - Remediation activities and other waste management services;;This target is about balancing emissions and removals, particularly impacting the forestry and waste management activities.;9
TA1.14;Each Member State shall ensure that the annual sum of its greenhouse gas emissions and removals on its territory and in all of the land reporting categories, in each year in the period from 2026 to 2030, does not exceed the limit established by a linear trajectory, ending in 2030 on the target set out for that Member State (no debit rule);A - Agriculture, Forestry and Fishing;E - Water Supply, Sewerage, Waste Management and Remediation Activities;;A2 - Forestry and logging;E39 - Remediation activities and other waste management services;;A2.1 - Silviculture and other forestry activities;E39.0 - Remediation activities and other waste management services;;Similar to TA1.13, this target also involves managing emissions and removals, focusing on land use sectors.;9
TA1.15;Reduce buildings’ greenhouse gas emissions by 60%, compared to 2015 levels, by 2030;F - Construction;D - Electricity, Gas, Steam and Air Conditioning Supply;;F41 - Construction of buildings;D35 - Electricity, gas, steam and air conditioning supply;;F41.2 - Construction of residential and non-residential buildings;D35.1 - Electric power generation, transmission and distribution;;The focus is on reducing building emissions, involving the construction and energy supply sectors.;9
TA1.16;To achieve 55% reduction of GHG emission by 2030, methane emissions related to energy production and consumption should be reduced by 58% compared to the level in 2020;D - Electricity, Gas, Steam and Air Conditioning Supply;B - Mining and Quarrying;;D35 - Electricity, gas, steam and air conditioning supply;B6 - Extraction of crude petroleum and natural gas;;D35.2 - Manufacture of gas;B6.1 - Extraction of crude petroleum;;Methane emissions are primarily from energy production and consumption, involving electricity and gas supply and extraction sectors.;8
TA1.2;2040 target under discussion;D - Electricity, Gas, Steam and Air Conditioning Supply;C - Manufacturing;E - Water Supply, Sewerage, Waste Management and Remediation Activities;D35 - Electricity, gas, steam and air conditioning supply;C29 - Manufacture of motor vehicles, trailers and semi-trailers;E38 - Waste collection, treatment and disposal activities, materials recovery;D35.1 - Electric power generation, transmission and distribution;C29.3 - Manufacture of parts and accessories for motor vehicles;E38.1 - Waste collection;As with TA1.1, the 2040 target likely involves a broad set of sectors contributing to climate neutrality.;8
TA1.3;Reduce of 55% GHG emissions compared to 1990 levels (2040 target under discussion);D - Electricity, Gas, Steam and Air Conditioning Supply;C - Manufacturing;E - Water Supply, Sewerage, Waste Management and Remediation Activities;D35 - Electricity, gas, steam and air conditioning supply;C29 - Manufacture of motor vehicles, trailers and semi-trailers;E38 - Waste collection, treatment and disposal activities, materials recovery;D35.1 - Electric power generation, transmission and distribution;C29.3 - Manufacture of parts and accessories for motor vehicles;E38.1 - Waste collection;The goal of reducing GHG emissions broadly impacts major emission-intensive sectors, including energy, manufacturing, and waste.;8
