GHG Reduction;GHG Removal;+2;The implementation of GHG reduction targets can reinforce the achievement of GHG removal targets by creating a synergistic effect, where reducing emissions can also enhance carbon sinks and removals.
GHG Reduction;Waste Reduction;+1;Reducing GHG emissions can enable waste reduction by decreasing energy consumption and promoting sustainable practices, which in turn can lead to a decrease in waste generation.
GHG Reduction;Circularity/Recycling;+1;Implementing GHG reduction targets can facilitate the transition to a circular economy by promoting sustainable consumption and production patterns, which can lead to increased recycling and reuse of materials.
GHG Reduction;Critical Raw Materials - Extraction & Import;-1;The extraction and import of critical raw materials required for low-carbon technologies can constrain GHG reduction efforts by generating emissions and environmental impacts associated with extraction and processing.
GHG Reduction - Buildings;Waste Reduction - Municipal Waste;+1;Improving energy efficiency in buildings can enable waste reduction in municipal waste management by promoting sustainable practices and reducing energy consumption.
GHG Reduction - Transports;Waste Reduction - Food Waste;+1;Promoting low-emission transportation can facilitate food waste reduction by decreasing energy consumption and promoting sustainable food systems.
GHG Removal;Waste Reduction;-2;The implementation of GHG removal targets can counteract waste reduction efforts by generating emissions and environmental impacts associated with the production and use of removal technologies.
Waste Reduction;Circularity/Recycling;+3;Implementing waste reduction targets can be inextricably linked to the transition to a circular economy, as reducing waste generation and increasing recycling can lead to a significant decrease in emissions and environmental impacts.
Waste Reduction - Municipal Waste;Circularity/Recycling - Municipal Waste;+3;Reducing municipal waste can be inextricably linked to increasing recycling and reuse of materials, as it enables the transition to a circular economy and promotes sustainable waste management practices.
Waste Reduction - Food Waste;Circularity/Recycling - Textile Waste;+1;Reducing food waste can facilitate the recycling and reuse of textile waste by promoting sustainable consumption patterns and reducing the environmental impacts associated with textile production.
Waste Reduction - Plastic & Packaging;Circularity/Recycling - Plastic & Packaging;+3;Reducing plastic waste and increasing recycling can be inextricably linked to the transition to a circular economy, as it enables the reduction of emissions and environmental impacts associated with plastic production and use.
Circularity/Recycling;Critical Raw Materials - Extraction & Import;-2;The transition to a circular economy can counteract critical raw material extraction and import by promoting sustainable consumption patterns and reducing waste generation, which can lead to a decrease in demand for primary raw materials.
Critical Raw Materials - Extraction & Import;Net-Zero Technology - Manufacturing;+1;The extraction and import of critical raw materials can enable the manufacturing of net-zero technologies by providing the necessary materials for their production.
