GHG Reduction;Energy Efficiency;+2;The implementation of GHG reduction targets can reinforce energy efficiency measures by reducing energy consumption and greenhouse gas emissions, thus supporting the achievement of energy efficiency targets.
GHG Reduction;Energy Efficiency - Buildings;+2;The implementation of GHG reduction targets can reinforce energy efficiency measures in buildings by reducing energy consumption and greenhouse gas emissions, thus supporting the achievement of energy efficiency targets in buildings.
GHG Reduction;Energy Infrastructure;+2;The implementation of GHG reduction targets can reinforce energy infrastructure development by promoting the use of low-carbon energy sources and reducing greenhouse gas emissions, thus supporting the achievement of energy infrastructure targets.
GHG Reduction;Social Security - Energy;+1;The implementation of GHG reduction targets can create conditions that support social security and energy access by promoting low-carbon energy sources and reducing energy poverty.
GHG Reduction - Buildings;Energy Efficiency - Buildings;+3;The implementation of GHG reduction targets in buildings can be inextricably linked to energy efficiency measures in buildings, as reducing energy consumption in buildings is essential to achieving GHG reduction targets.
GHG Reduction - Transports;Energy Infrastructure;+2;The implementation of GHG reduction targets in transport can reinforce energy infrastructure development by promoting the use of low-carbon energy sources and reducing greenhouse gas emissions, thus supporting the achievement of energy infrastructure targets.
GHG Removal;Energy Efficiency;+1;The implementation of GHG removal targets can create conditions that support energy efficiency measures by promoting the use of low-carbon energy sources and reducing energy consumption.
GHG Removal;Energy Efficiency - Buildings;+1;The implementation of GHG removal targets can create conditions that support energy efficiency measures in buildings by promoting the use of low-carbon energy sources and reducing energy consumption in buildings.
Renewable Energy;Energy Efficiency;+2;The implementation of renewable energy targets can reinforce energy efficiency measures by reducing energy consumption and promoting the use of low-carbon energy sources, thus supporting the achievement of energy efficiency targets.
Renewable Energy;Energy Efficiency - Buildings;+2;The implementation of renewable energy targets can reinforce energy efficiency measures in buildings by reducing energy consumption and promoting the use of low-carbon energy sources, thus supporting the achievement of energy efficiency targets in buildings.
Renewable Energy - Heating & Cooling;Energy Efficiency - Buildings;+3;The implementation of renewable energy targets for heating and cooling can be inextricably linked to energy efficiency measures in buildings, as promoting the use of renewable energy sources for heating and cooling is essential to achieving energy efficiency targets in buildings.
Renewable Energy - Hydrogen Production;Energy Infrastructure;+2;The implementation of renewable energy targets for hydrogen production can reinforce energy infrastructure development by promoting the use of low-carbon energy sources and reducing greenhouse gas emissions, thus supporting the achievement of energy infrastructure targets.
Renewable Energy - Ocean/Offshore;Energy Infrastructure;+2;The implementation of renewable energy targets for ocean and offshore energy can reinforce energy infrastructure development by promoting the use of low-carbon energy sources and reducing greenhouse gas emissions, thus supporting the achievement of energy infrastructure targets.
Renewable Energy - Solar;Energy Efficiency;+2;The implementation of renewable energy targets for solar energy can reinforce energy efficiency measures by reducing energy consumption and promoting the use of low-carbon energy sources, thus supporting the achievement of energy efficiency targets.
