source_subtheme;impact_subtheme;impact_type;impact_weight;justification
GHG Reduction;Food quality;+;2;Implementing GHG reduction targets can reinforce food quality by reducing pollution and promoting sustainable agriculture, which in turn can improve food quality and safety.
GHG Reduction;Food affordability;+;1;Reducing GHG emissions can lead to increased food production and availability, enabling more people to access nutritious food, thus improving food affordability.
GHG Reduction;Pesticides Reduction;+;3;Reducing GHG emissions can lead to a decrease in the use of pesticides, as sustainable agriculture practices are promoted, which in turn can reduce the environmental impact of pesticides.
GHG Reduction;Competitive Agriculture;+;2;Implementing GHG reduction targets can aid the competitiveness of the agricultural sector by promoting sustainable practices, increasing efficiency, and reducing waste.
GHG Reduction;Social Security - Workers Protection;+;1;Reducing GHG emissions can lead to the creation of new job opportunities in the renewable energy and low-carbon sectors, thus supporting workers' protection and social security.
Waste Reduction;Food quality;+;1;Implementing waste reduction targets can lead to a decrease in food waste, which in turn can improve food quality and safety.
Waste Reduction;Food affordability;+;1;Reducing waste can lead to a decrease in food prices, making nutritious food more affordable for low-income households.
Waste Reduction;Pesticides Reduction;+;2;Reducing waste, particularly plastic waste, can decrease the use of pesticides in agriculture, thus reducing their environmental impact.
Waste Reduction;Competitive Agriculture;+;2;Implementing waste reduction targets can aid the competitiveness of the agricultural sector by reducing costs, increasing efficiency, and promoting sustainable practices.
Waste Reduction;Social Security - Workers Protection;+;1;Reducing waste can lead to the creation of new job opportunities in the recycling and waste management sectors, thus supporting workers' protection and social security.
Waste Reduction - Municipal Waste;Food quality;+;1;Implementing municipal waste reduction targets can lead to a decrease in food waste, which in turn can improve food quality and safety.
Waste Reduction - Municipal Waste;Food affordability;+;1;Reducing municipal waste can lead to a decrease in food prices, making nutritious food more affordable for low-income households.
Waste Reduction - Municipal Waste;Pesticides Reduction;+;2;Reducing municipal waste, particularly plastic waste, can decrease the use of pesticides in agriculture, thus reducing their environmental impact.
Waste Reduction - Municipal Waste;Competitive Agriculture;+;2;Implementing municipal waste reduction targets can aid the competitiveness of the agricultural sector by reducing costs, increasing efficiency, and promoting sustainable practices.
Waste Reduction - Municipal Waste;Social Security - Workers Protection;+;1;Reducing municipal waste can lead to the creation of new job opportunities in the recycling and waste management sectors, thus supporting workers' protection and social security.
Waste Reduction - Food Waste;Food quality;+;1;Implementing food waste reduction targets can lead to a decrease in food waste, which in turn can improve food quality and safety.
Waste Reduction - Food Waste;Food affordability;+;1;Reducing food waste can lead to a decrease in food prices, making nutritious food more affordable for low-income households.
Waste Reduction - Food Waste;Pesticides Reduction;+;2;Reducing food waste, particularly food packaging waste, can decrease the use of pesticides in agriculture, thus reducing their environmental impact.
Waste Reduction - Food Waste;Competitive Agriculture;+;2;Implementing food waste reduction targets can aid the competitiveness of the agricultural sector by reducing costs, increasing efficiency, and promoting sustainable practices.
Waste Reduction - Food Waste;Social Security - Workers Protection;+;1;Reducing food waste can lead to the creation of new job opportunities in the recycling and waste management sectors, thus supporting workers' protection and social security.
Waste Reduction - Plastic & Packaging;Food quality;+;1;Implementing plastic and packaging waste reduction targets can lead to a decrease in food waste, which in turn can improve food quality and safety.
Waste Reduction - Plastic & Packaging;Food affordability;+;1;Reducing plastic and packaging waste can lead to a decrease in food prices, making nutritious food more affordable for low-income households.
Waste Reduction - Plastic & Packaging;Pesticides Reduction;+;2;Reducing plastic and packaging waste, particularly single-use plastics, can decrease the use of pesticides in agriculture, thus reducing their environmental impact.
Waste Reduction - Plastic & Packaging;Competitive Agriculture;+;2;Implementing plastic and packaging waste reduction targets can aid the competitiveness of the agricultural sector by reducing costs, increasing efficiency, and promoting sustainable practices.
Waste Reduction - Plastic & Packaging;Social Security - Workers Protection;+;1;Reducing plastic and packaging waste can lead to the creation of new job opportunities in the recycling and waste management sectors, thus supporting workers' protection and social security.
Circularity/Recycling;Food quality;+;1;Implementing circularity and recycling targets can lead to a decrease in food waste, which in turn can improve food quality and safety.
Circularity/Recycling;Food affordability;+;1;Promoting circularity and recycling can lead to a decrease in food prices, making nutritious food more affordable for low-income households.
Circularity/Recycling;Pesticides Reduction;+;2;Implementing circularity and recycling targets, particularly for plastics, can decrease the use of pesticides in agriculture, thus reducing their environmental impact.
Circularity/Recycling;Competitive Agriculture;+;2;Promoting circularity and recycling can aid the competitiveness of the agricultural sector by reducing costs, increasing efficiency, and promoting sustainable practices.
Circularity/Recycling;Social Security - Workers Protection;+;1;Promoting circularity and recycling can lead to the creation of new job opportunities in the recycling and waste management sectors, thus supporting workers' protection and social security.
Circularity/Recycling - Municipal Waste;Food quality;+;1;Implementing circularity and recycling targets for municipal waste can lead to a decrease in food waste, which in turn can improve food quality and safety.
Circularity/Recycling - Municipal Waste;Food affordability;+;1;Promoting circularity and recycling in municipal waste management can lead to a decrease in food prices, making nutritious food more affordable for low-income households.
