source_subtheme;impact_subtheme;impact_type;impact_weight;justification
GHG Reduction;Terrestrial Ecosystems Restoration;+;2;The implementation of GHG reduction targets can reinforce the restoration of terrestrial ecosystems, as reducing GHG emissions can lead to increased carbon sequestration in forests and other ecosystems, which in turn can support biodiversity and ecosystem services.
GHG Reduction;Marine Ecosystem Restoration;+;1;Reducing GHG emissions can contribute to the protection of marine ecosystems by mitigating ocean acidification, which is essential for the health of marine life and the overall ecosystem.
GHG Reduction;Biodiversity Protection & Conservation;+;1;GHG reduction efforts can have a positive impact on biodiversity conservation by reducing pollution and protecting ecosystems, which are essential for maintaining healthy and resilient ecosystems.
GHG Reduction - Buildings;Terrestrial Ecosystems Restoration - Agricultural Ecosystems;+;1;Improving energy efficiency in buildings can enable the use of biomass for energy production, which can support sustainable agriculture and reduce GHG emissions from the sector.
GHG Reduction - Transports;Terrestrial Ecosystems Restoration - Rivers;+;1;Electrification of transport can reduce GHG emissions and support the restoration of rivers and wetlands, which are critical for maintaining healthy ecosystems and supporting biodiversity.
GHG Removal;Terrestrial Ecosystems Restoration;+;2;The implementation of GHG removal technologies can support the restoration of terrestrial ecosystems by removing excess CO2 from the atmosphere, which can help to mitigate climate change and support ecosystem resilience.
GHG Removal;Marine Ecosystem Restoration;+;1;GHG removal can contribute to the protection of marine ecosystems by reducing the amount of CO2 in the atmosphere, which can help to mitigate ocean acidification and support the health of marine ecosystems.
GHG Removal;Biodiversity Protection & Conservation;+;1;GHG removal efforts can support biodiversity conservation by reducing the impact of climate change on ecosystems and supporting the protection of species and their habitats.
GHG Reduction - Buildings;Biodiversity Protection & Conservation - Urban Nature;+;1;Improving energy efficiency in buildings can support urban nature and biodiversity by reducing the urban heat island effect and supporting the creation of green spaces and urban forests.
GHG Reduction - Transports;Biodiversity Protection & Conservation - Fisheries;+;1;The transition to low-carbon transport can support the protection of marine biodiversity by reducing pollution and supporting sustainable fishing practices.
