GHG Reduction;Waste Reduction;+2;The implementation of GHG reduction targets can reinforce waste reduction efforts by promoting a circular economy and reducing waste generation.
GHG Reduction;Circularity/Recycling;+2;The implementation of GHG reduction targets can reinforce circular economy and recycling efforts by promoting sustainable consumption and production patterns.
GHG Reduction;Critical Raw Materials - Extraction & Import;-1;The implementation of GHG reduction targets may constrain the extraction and import of critical raw materials, potentially limiting the availability of resources for key technologies.
GHG Reduction;Net-Zero Technology - Manufacturing;+1;The implementation of GHG reduction targets can enable the development and manufacturing of net-zero technologies, creating conditions for their deployment.
Terrestrial Ecosystems Restoration;Waste Reduction;+1;The restoration of terrestrial ecosystems can create conditions for waste reduction efforts by promoting sustainable land use and reducing waste generation.
Terrestrial Ecosystems Restoration;Circularity/Recycling;+1;The restoration of terrestrial ecosystems can create conditions for circular economy and recycling efforts by promoting sustainable land use and reducing waste generation.
Terrestrial Ecosystems Restoration;Critical Raw Materials - Extraction & Import;-2;The restoration of terrestrial ecosystems may counteract the extraction and import of critical raw materials, potentially limiting the availability of resources for key technologies.
Terrestrial Ecosystems Restoration;Net-Zero Technology - Manufacturing;+1;The restoration of terrestrial ecosystems can enable the development and manufacturing of net-zero technologies, creating conditions for their deployment.
Biodiversity Protection & Conservation;Waste Reduction;+2;The protection and conservation of biodiversity can reinforce waste reduction efforts by promoting sustainable consumption and production patterns and reducing waste generation.
Biodiversity Protection & Conservation;Circularity/Recycling;+2;The protection and conservation of biodiversity can reinforce circular economy and recycling efforts by promoting sustainable consumption and production patterns.
Biodiversity Protection & Conservation;Critical Raw Materials - Extraction & Import;-1;The protection and conservation of biodiversity may constrain the extraction and import of critical raw materials, potentially limiting the availability of resources for key technologies.
Biodiversity Protection & Conservation;Net-Zero Technology - Manufacturing;+1;The protection and conservation of biodiversity can enable the development and manufacturing of net-zero technologies, creating conditions for their deployment.
Waste Reduction;Circularity/Recycling;+3;The reduction of waste can be inextricably linked to the implementation of circular economy and recycling measures, as reducing waste generation is a key component of a circular economy.
Waste Reduction;Critical Raw Materials - Extraction & Import;-2;The reduction of waste may counteract the extraction and import of critical raw materials, potentially limiting the availability of resources for key technologies.
Waste Reduction;Net-Zero Technology - Manufacturing;+1;The reduction of waste can enable the development and manufacturing of net-zero technologies, creating conditions for their deployment.
Circularity/Recycling;Critical Raw Materials - Extraction & Import;-1;The implementation of circular economy and recycling measures may constrain the extraction and import of critical raw materials, potentially limiting the availability of resources for key technologies.
Circularity/Recycling;Net-Zero Technology - Manufacturing;+1;The implementation of circular economy and recycling measures can enable the development and manufacturing of net-zero technologies, creating conditions for their deployment.
Critical Raw Materials - Extraction & Import;Net-Zero Technology - Manufacturing;-3;The extraction and import of critical raw materials may make it impossible to reach net-zero technology manufacturing targets, as the availability of resources may be limited.
