source_subtheme;impact_subtheme;impact_type;impact_weight;justification
GHG Reduction;Food affordability;+;1;Implementing GHG reduction targets can enable food affordability by reducing energy costs and increasing energy efficiency in the food production and distribution sectors.
GHG Reduction;Food quality;+;1;Reducing GHG emissions can lead to improved food quality by promoting sustainable agriculture practices and reducing pollution.
GHG Reduction;Pesticides Reduction;+;2;Reducing GHG emissions can reinforce pesticides reduction by promoting sustainable agriculture practices and reducing the use of synthetic fertilizers and pesticides.
GHG Reduction;Competitive Agriculture;+;2;Reducing GHG emissions can reinforce competitive agriculture by promoting sustainable agriculture practices, improving resource efficiency, and enhancing the competitiveness of EU farmers.
GHG Reduction;Social Security - Workers Protection;+;1;Reducing GHG emissions can enable social security and workers protection by promoting sustainable agriculture practices, improving working conditions, and enhancing the livelihoods of farmers and agricultural workers.
Improve Air Quality;Food affordability;+;1;Improving air quality can enable food affordability by reducing the negative impacts of air pollution on human health and the environment, and promoting sustainable food production and distribution practices.
Improve Air Quality;Food quality;+;1;Improving air quality can lead to improved food quality by reducing pollution and promoting sustainable agriculture practices.
Improve Air Quality;Pesticides Reduction;+;2;Improving air quality can reinforce pesticides reduction by reducing the use of synthetic fertilizers and pesticides, and promoting sustainable agriculture practices.
Improve Air Quality;Competitive Agriculture;+;2;Improving air quality can reinforce competitive agriculture by promoting sustainable agriculture practices, improving resource efficiency, and enhancing the competitiveness of EU farmers.
Improve Air Quality;Social Security - Workers Protection;+;1;Improving air quality can enable social security and workers protection by promoting sustainable agriculture practices, improving working conditions, and enhancing the livelihoods of farmers and agricultural workers.
Improve Water Quality;Food affordability;+;1;Improving water quality can enable food affordability by reducing the negative impacts of water pollution on human health and the environment, and promoting sustainable food production and distribution practices.
Improve Water Quality;Food quality;+;1;Improving water quality can lead to improved food quality by reducing pollution and promoting sustainable agriculture practices.
Improve Water Quality;Pesticides Reduction;+;2;Improving water quality can reinforce pesticides reduction by reducing the use of synthetic fertilizers and pesticides, and promoting sustainable agriculture practices.
Improve Water Quality;Competitive Agriculture;+;2;Improving water quality can reinforce competitive agriculture by promoting sustainable agriculture practices, improving resource efficiency, and enhancing the competitiveness of EU farmers.
Improve Water Quality;Social Security - Workers Protection;+;1;Improving water quality can enable social security and workers protection by promoting sustainable agriculture practices, improving working conditions, and enhancing the livelihoods of farmers and agricultural workers.
Improve Soils Health;Food affordability;+;1;Improving soil health can enable food affordability by reducing soil erosion, improving soil fertility, and promoting sustainable agriculture practices.
Improve Soils Health;Food quality;+;1;Improving soil health can lead to improved food quality by reducing soil pollution and promoting sustainable agriculture practices.
Improve Soils Health;Pesticides Reduction;+;2;Improving soil health can reinforce pesticides reduction by reducing the use of synthetic fertilizers and pesticides, and promoting sustainable agriculture practices.
Improve Soils Health;Competitive Agriculture;+;2;Improving soil health can reinforce competitive agriculture by promoting sustainable agriculture practices, improving resource efficiency, and enhancing the competitiveness of EU farmers.
Improve Soils Health;Social Security - Workers Protection;+;1;Improving soil health can enable social security and workers protection by promoting sustainable agriculture practices, improving working conditions, and enhancing the livelihoods of farmers and agricultural workers.
Noise Reduction;Food affordability;-;1;Reducing noise pollution can constrain food affordability by increasing food production costs and reducing agricultural productivity.
Noise Reduction;Food quality;-;1;Reducing noise pollution can lead to reduced food quality by affecting crop yields and reducing the use of machinery in agriculture.
Noise Reduction;Pesticides Reduction;-;1;Reducing noise pollution can counteract pesticides reduction by increasing the use of pesticides to control pests and diseases in agriculture.
Noise Reduction;Competitive Agriculture;-;2;Reducing noise pollution can counteract competitive agriculture by increasing production costs, reducing agricultural productivity, and affecting the competitiveness of EU farmers.
Noise Reduction;Social Security - Workers Protection;-;1;Reducing noise pollution can constrain social security and workers protection by affecting the working conditions and livelihoods of farmers and agricultural workers.
Social Security - Sanitation;Food affordability;+;1;Improving social security and sanitation can enable food affordability by reducing the negative impacts of poor sanitation on human health and the environment, and promoting sustainable food production and distribution practices.
Social Security - Sanitation;Food quality;+;1;Improving social security and sanitation can lead to improved food quality by reducing pollution and promoting sustainable agriculture practices.
Social Security - Sanitation;Pesticides Reduction;+;2;Improving social security and sanitation can reinforce pesticides reduction by reducing the use of synthetic fertilizers and pesticides, and promoting sustainable agriculture practices.
Social Security - Sanitation;Competitive Agriculture;+;2;Improving social security and sanitation can reinforce competitive agriculture by promoting sustainable agriculture practices, improving resource efficiency, and enhancing the competitiveness of EU farmers.
Social Security - Sanitation;Social Security - Workers Protection;+;3;Improving social security and sanitation can enable social security and workers protection by promoting sustainable agriculture practices, improving working conditions, and enhancing the livelihoods of farmers and agricultural workers.
