GHG Reduction;GHG Reduction - Buildings;+2;The implementation of GHG reduction targets in the energy sector can reinforce the achievement of GHG reduction targets in buildings by promoting the use of renewable energy sources and reducing energy consumption.
GHG Reduction;GHG Reduction - Transports;+2;The implementation of GHG reduction targets in the energy sector can reinforce the achievement of GHG reduction targets in transport by promoting the use of low-carbon fuels and reducing energy consumption.
GHG Reduction;Net-Zero Technology - Road Vehicles;+1;The implementation of GHG reduction targets can enable the development and deployment of net-zero technology in road vehicles by creating a market for low-carbon fuels and technologies.
GHG Reduction;Biofuels;+1;The implementation of GHG reduction targets can enable the production and use of biofuels by creating a market for low-carbon fuels and technologies.
GHG Reduction;Other Low-Carbon Fuels;+1;The implementation of GHG reduction targets can enable the production and use of other low-carbon fuels by creating a market for low-carbon fuels and technologies.
GHG Reduction;Hydrogen Distribution;+1;The implementation of GHG reduction targets can enable the development and deployment of hydrogen distribution infrastructure by creating a market for low-carbon fuels and technologies.
GHG Reduction;Urban Mobility;+1;The implementation of GHG reduction targets can enable the development and deployment of urban mobility solutions by creating a market for low-carbon fuels and technologies.
GHG Reduction;Transport Logistics;+1;The implementation of GHG reduction targets can enable the development and deployment of transport logistics solutions by creating a market for low-carbon fuels and technologies.
GHG Reduction - Buildings;GHG Reduction - Transports;+2;The implementation of GHG reduction targets in buildings can reinforce the achievement of GHG reduction targets in transport by promoting the use of renewable energy sources and reducing energy consumption.
GHG Reduction - Buildings;Net-Zero Technology - Road Vehicles;+1;The implementation of GHG reduction targets in buildings can enable the development and deployment of net-zero technology in road vehicles by creating a market for low-carbon fuels and technologies.
GHG Reduction - Buildings;Biofuels;+1;The implementation of GHG reduction targets in buildings can enable the production and use of biofuels by creating a market for low-carbon fuels and technologies.
GHG Reduction - Buildings;Other Low-Carbon Fuels;+1;The implementation of GHG reduction targets in buildings can enable the production and use of other low-carbon fuels by creating a market for low-carbon fuels and technologies.
GHG Reduction - Buildings;Hydrogen Distribution;+1;The implementation of GHG reduction targets in buildings can enable the development and deployment of hydrogen distribution infrastructure by creating a market for low-carbon fuels and technologies.
GHG Reduction - Buildings;Urban Mobility;+1;The implementation of GHG reduction targets in buildings can enable the development and deployment of urban mobility solutions by creating a market for low-carbon fuels and technologies.
GHG Reduction - Buildings;Transport Logistics;+1;The implementation of GHG reduction targets in buildings can enable the development and deployment of transport logistics solutions by creating a market for low-carbon fuels and technologies.
GHG Reduction - Transports;Net-Zero Technology - Road Vehicles;+2;The implementation of GHG reduction targets in transport can reinforce the achievement of net-zero technology targets in road vehicles by promoting the use of low-carbon fuels and reducing energy consumption.
GHG Reduction - Transports;Biofuels;+1;The implementation of GHG reduction targets in transport can enable the production and use of biofuels by creating a market for low-carbon fuels and technologies.
GHG Reduction - Transports;Other Low-Carbon Fuels;+1;The implementation of GHG reduction targets in transport can enable the production and use of other low-carbon fuels by creating a market for low-carbon fuels and technologies.
GHG Reduction - Transports;Hydrogen Distribution;+1;The implementation of GHG reduction targets in transport can enable the development and deployment of hydrogen distribution infrastructure by creating a market for low-carbon fuels and technologies.
GHG Reduction - Transports;Urban Mobility;+1;The implementation of GHG reduction targets in transport can enable the development and deployment of urban mobility solutions by creating a market for low-carbon fuels and technologies.
GHG Reduction - Transports;Transport Logistics;+1;The implementation of GHG reduction targets in transport can enable the development and deployment of transport logistics solutions by creating a market for low-carbon fuels and technologies.
Net-Zero Technology - Road Vehicles;Biofuels;+1;The implementation of net-zero technology targets in road vehicles can enable the production and use of biofuels by creating a market for low-carbon fuels and technologies.
Net-Zero Technology - Road Vehicles;Other Low-Carbon Fuels;+1;The implementation of net-zero technology targets in road vehicles can enable the production and use of other low-carbon fuels by creating a market for low-carbon fuels and technologies.
Net-Zero Technology - Road Vehicles;Hydrogen Distribution;+1;The implementation of net-zero technology targets in road vehicles can enable the development and deployment of hydrogen distribution infrastructure by creating a market for low-carbon fuels and technologies.
Net-Zero Technology - Road Vehicles;Urban Mobility;+1;The implementation of net-zero technology targets in road vehicles can enable the development and deployment of urban mobility solutions by creating a market for low-carbon fuels and technologies.
Net-Zero Technology - Road Vehicles;Transport Logistics;+1;The implementation of net-zero technology targets in road vehicles can enable the development and deployment of transport logistics solutions by creating a market for low-carbon fuels and technologies.
Biofuels;Other Low-Carbon Fuels;+2;The implementation of biofuels targets can reinforce the achievement of other low-carbon fuels targets by promoting the use of low-carbon fuels and reducing energy consumption.
Biofuels;Hydrogen Distribution;+1;The implementation of biofuels targets can enable the development and deployment of hydrogen distribution infrastructure by creating a market for low-carbon fuels and technologies.
Biofuels;Urban Mobility;+1;The implementation of biofuels targets can enable the development and deployment of urban mobility solutions by creating a market for low-carbon fuels and technologies.
Biofuels;Transport Logistics;+1;The implementation of biofuels targets can enable the development and deployment of transport logistics solutions by creating a market for low-carbon fuels and technologies.
Other Low-Carbon Fuels;Hydrogen Distribution;+1;The implementation of other low-carbon fuels targets can enable the development and deployment of hydrogen distribution infrastructure by creating a market for low-carbon fuels and technologies.
Other Low-Carbon Fuels;Urban Mobility;+1;The implementation of other low-carbon fuels targets can enable the development and deployment of urban mobility solutions by creating a market for low-carbon fuels and technologies.
Other Low-Carbon Fuels;Transport Logistics;+1;The implementation of other low-carbon fuels targets can enable the development and deployment of transport logistics solutions by creating a market for low-carbon fuels and technologies.
Hydrogen Distribution;Urban Mobility;+1;The implementation of hydrogen distribution targets can enable the development and deployment of urban mobility solutions by creating a market for low-carbon fuels and technologies.
Hydrogen Distribution;Transport Logistics;+1;The implementation of hydrogen distribution targets can enable the development and deployment of transport logistics solutions by creating a market for low-carbon fuels and technologies.
Urban Mobility;Transport Logistics;+2;The implementation of urban mobility targets can reinforce the achievement of transport logistics targets by promoting the use of low-carbon fuels and reducing energy consumption.
