GHG Reduction;Net-Zero Technology - Road Vehicles;+;2;Reinforcing the transition to low-carbon vehicles can aid in reducing greenhouse gas emissions from the transport sector.
GHG Reduction;Hydrogen Distribution;+;1;Enabling the development of low-carbon fuels for the transport sector.
GHG Reduction;Urban Mobility;+;1;Enabling the transition to low-carbon urban transport systems.
Improve Air Quality;Net-Zero Technology - Road Vehicles;+;2;Reducing emissions from vehicles can improve air quality in urban areas.
Improve Air Quality;Urban Mobility;+;1;Promoting sustainable urban mobility can reduce air pollution.
Improve Soils Health;Forest Bioeconomy;+;1;Sustainable forest management can help maintain healthy soils.
Improve Water Quality;Hydrogen Distribution;+;1;Reducing wastewater from hydrogen production can improve water quality.
Noise Reduction;Urban Mobility;+;1;Implementing noise-reducing measures in urban areas can improve overall environmental quality.
Social Security - Sanitation;Transport Logistics;+;1;Improving logistics and transportation can facilitate access to sanitation services.
Forest Bioeconomy;Biofuels;+;2;Sustainable biofuels can be produced from forest biomass, reinforcing the bioeconomy.
Improve Air Quality;Biofuels;+;1;Using biofuels can reduce air pollution from vehicles.
Improve Soils Health;Other Low-Carbon Fuels;+;1;Promoting sustainable land use for low-carbon fuels can help maintain soil health.
Improve Water Quality;Hydrogen Distribution;+;1;Producing hydrogen from renewable energy can reduce water pollution.
Noise Reduction;Net-Zero Technology - Road Vehicles;+;1;Electric vehicles can reduce noise pollution from transport.
Social Security - Sanitation;Urban Mobility;+;1;Access to sanitation is linked to urban planning and mobility.
