source_subtheme;impact_subtheme;impact_type;impact_weight;justification
GHG Reduction;Net-Zero Technology - Road Vehicles;+;2;Implementing GHG reduction targets can reinforce the development of net-zero technology for road vehicles, as reducing emissions can create demand for low-carbon fuels and technologies.
GHG Reduction;Food affordability;+;1;Reducing GHG emissions can lead to increased food production costs, which may impact food affordability, but this can also create opportunities for sustainable food systems and fair pricing.
GHG Reduction;Pesticides Reduction;+;2;Reducing GHG emissions can aid in the reduction of pesticide use, as sustainable agriculture practices are often promoted as a means to achieve both GHG reduction and pesticide reduction targets.
GHG Reduction;Competitive Agriculture;+;1;Achieving GHG reduction targets can enable the development of competitive and sustainable agricultural practices, supporting the growth of the agricultural sector.
GHG Reduction;Social Security - Workers Protection;+;1;Reducing GHG emissions can lead to job creation and protection in the renewable energy sector, supporting social security and worker protection.
Net-Zero Technology - Road Vehicles;Food affordability;-;1;The implementation of net-zero technology for road vehicles may lead to increased costs for low-carbon fuels, impacting food affordability and potentially constraining agricultural production.
Net-Zero Technology - Road Vehicles;Pesticides Reduction;+;2;The development of net-zero technology for road vehicles can support the reduction of pesticide use, as electric vehicles can be powered by renewable energy sources, reducing the need for fossil fuels and promoting sustainable agriculture practices.
Net-Zero Technology - Road Vehicles;Competitive Agriculture;+;1;The growth of the net-zero technology market for road vehicles can create opportunities for sustainable agriculture and support the competitiveness of the agricultural sector.
Net-Zero Technology - Road Vehicles;Social Security - Workers Protection;+;1;The expansion of the net-zero technology market for road vehicles can lead to job creation and protection in the automotive sector, supporting social security and worker protection.
Food affordability;Pesticides Reduction;-;2;Increased food production costs due to sustainable agriculture practices can constrain the reduction of pesticide use, as farmers may prioritize cost-effective pest control methods over sustainable ones.
Food affordability;Competitive Agriculture;-;1;Higher food production costs can impact the competitiveness of the agricultural sector, potentially constraining its growth and development.
Food affordability;Social Security - Workers Protection;-;1;Increased food costs can negatively impact low-income households, potentially affecting social security and worker protection, as workers in the food sector may face reduced purchasing power and job insecurity.
Pesticides Reduction;Competitive Agriculture;+;2;Reducing pesticide use can support the growth of sustainable and competitive agricultural practices, promoting biodiversity and ecosystem services.
Pesticides Reduction;Social Security - Workers Protection;+;1;The reduction of pesticide use can lead to improved working conditions and protection for agricultural workers, supporting social security and worker protection.
Competitive Agriculture;Social Security - Workers Protection;+;2;Supporting competitive agriculture can lead to job creation and protection in the agricultural sector, supporting social security and worker protection, as well as promoting sustainable agricultural practices.
