source_subtheme;impact_subtheme;impact_type;impact_weight;justification
GHG Reduction;Renewable Energy;+;2;Implementing GHG reduction targets can reinforce the transition to renewable energy sources, as reducing emissions from fossil fuels can create space for renewable energy to fill the gap.
GHG Reduction;Renewable Energy - Heating & Cooling;+;2;Reducing GHG emissions can lead to increased adoption of renewable energy sources for heating and cooling, such as heat pumps and solar thermal systems.
GHG Reduction;Renewable Energy - Hydrogen Production;+;2;Lower GHG emissions can facilitate the production and use of renewable hydrogen, which can be used as a low-carbon energy carrier.
GHG Reduction;Renewable Energy - Ocean/Offshore;+;2;Reducing GHG emissions can lead to increased investment in offshore renewable energy, such as offshore wind farms.
GHG Reduction;Renewable Energy - Solar;+;2;Implementing GHG reduction targets can lead to increased adoption of solar energy, as it is a key renewable energy source.
GHG Reduction;Energy Efficiency;+;2;Reducing energy consumption through energy efficiency measures can lower GHG emissions and support the transition to a low-carbon economy.
GHG Reduction;Energy Efficiency - Buildings;+;2;Improving energy efficiency in buildings can reduce energy consumption and lower GHG emissions, supporting the transition to a low-carbon economy.
GHG Reduction;Energy Infrastructure;+;2;Developing energy infrastructure to support low-carbon energy sources can facilitate the reduction of GHG emissions.
GHG Reduction;Social Security - Energy;+;2;Implementing GHG reduction targets can lead to increased energy security and support the transition to a low-carbon economy.
Renewable Energy;Food quality;+;1;The increased adoption of renewable energy can lead to increased food production and security, as renewable energy can power irrigation systems and other agricultural equipment.
Renewable Energy;Food affordability;+;1;The transition to renewable energy can lead to increased food affordability, as renewable energy can reduce energy costs for food production and processing.
Renewable Energy - Heating & Cooling;Food quality;+;1;The adoption of renewable energy sources for heating and cooling can lead to increased food quality, as renewable energy can power food processing and storage.
Renewable Energy - Hydrogen Production;Food affordability;+;1;The production and use of renewable hydrogen can lead to increased food affordability, as hydrogen can be used as a low-carbon energy carrier for food production and processing.
Renewable Energy - Ocean/Offshore;Food quality;+;1;The development of offshore renewable energy can lead to increased food quality, as offshore energy can power food production and processing.
Renewable Energy - Solar;Food affordability;+;1;The increased adoption of solar energy can lead to increased food affordability, as solar energy can reduce energy costs for food production and processing.
Energy Efficiency;Food quality;+;1;Improving energy efficiency can lead to increased food quality, as energy-efficient equipment and processes can reduce food waste and improve food processing.
Energy Efficiency - Buildings;Food affordability;+;1;Improving energy efficiency in buildings can lead to increased food affordability, as energy-efficient buildings can reduce energy costs for food production and processing.
Energy Infrastructure;Food quality;+;1;Developing energy infrastructure to support low-carbon energy sources can lead to increased food quality, as low-carbon energy can power food production and processing.
Social Security - Energy;Food affordability;+;1;Implementing social security measures to support energy access can lead to increased food affordability, as access to energy is crucial for food production and processing.
Renewable Energy;Food quality - Animal Welfare;+;1;The transition to renewable energy can lead to increased animal welfare, as renewable energy can power equipment and processes that support animal health and wellbeing.
Renewable Energy;Food quality - Healthy Food;+;1;The adoption of renewable energy can lead to increased access to healthy food, as renewable energy can power food production and processing.
Renewable Energy - Heating & Cooling;Food quality - Animal Welfare;+;1;The adoption of renewable energy sources for heating and cooling can lead to increased animal welfare, as renewable energy can power equipment and processes that support animal health and wellbeing.
Renewable Energy - Hydrogen Production;Food quality - Healthy Food;+;1;The production and use of renewable hydrogen can lead to increased access to healthy food, as hydrogen can be used as a low-carbon energy carrier for food production and processing.
Renewable Energy - Ocean/Offshore;Food quality - Animal Welfare;+;1;The development of offshore renewable energy can lead to increased animal welfare, as offshore energy can power equipment and processes that support animal health and wellbeing.
Renewable Energy - Solar;Food quality - Healthy Food;+;1;The increased adoption of solar energy can lead to increased access to healthy food, as solar energy can power food production and processing.
Energy Efficiency;Food quality - Animal Welfare;+;1;Improving energy efficiency can lead to increased animal welfare, as energy-efficient equipment and processes can reduce energy costs and support animal health and wellbeing.
Energy Efficiency - Buildings;Food quality - Healthy Food;+;1;Improving energy efficiency in buildings can lead to increased access to healthy food, as energy-efficient buildings can reduce energy costs for food production and processing.
Energy Infrastructure;Food quality - Animal Welfare;+;1;Developing energy infrastructure to support low-carbon energy sources can lead to increased animal welfare, as low-carbon energy can power equipment and processes that support animal health and wellbeing.
Social Security - Energy;Food quality - Healthy Food;+;1;Implementing social security measures to support energy access can lead to increased access to healthy food, as access to energy is crucial for food production and processing.
Food quality;Food affordability;+;2;Improving food quality can lead to increased food affordability, as high-quality food can be produced at lower costs.
Food quality - Animal Welfare;Food affordability;+;1;Improving animal welfare can lead to increased food affordability, as animal-friendly farming practices can reduce production costs.
Food quality - Healthy Food;Food affordability;+;1;Promoting healthy food can lead to increased food affordability, as healthy food production and processing can reduce energy costs and support sustainable agriculture.
Food affordability;Pesticides Reduction;+;2;Reducing food prices can lead to increased adoption of sustainable agricultural practices, such as reducing pesticide use.
Pesticides Reduction;Competitive Agriculture;+;2;Reducing pesticide use can lead to increased competitiveness in agriculture, as sustainable practices can improve soil health and support biodiversity.
Competitive Agriculture;Social Security - Workers Protection;+;2;Improving agricultural competitiveness can lead to increased social protection for workers, as competitive agriculture can support fair labor standards and improve working conditions.
Social Security - Workers Protection;Food quality;+;1;Implementing social protection measures for workers can lead to increased food quality, as protected workers can produce high-quality food.
Food quality;Food quality - Animal Welfare;+;1;Improving food quality can lead to increased animal welfare, as high-quality food production and processing can support animal-friendly farming practices.
Food quality - Animal Welfare;Food quality - Healthy Food;+;1;Improving animal welfare can lead to increased access to healthy food, as animal-friendly farming practices can support sustainable agriculture and reduce environmental impact.
