source_subtheme;impact_subtheme;impact_type;impact_weight;justification
GHG Reduction;Food quality;+;2;Implementing GHG reduction targets can reinforce food quality by reducing pollution and promoting sustainable agriculture practices, which in turn can improve food safety and quality.
GHG Reduction;Food affordability;+;1;Reducing GHG emissions can create conditions that further food affordability by promoting sustainable agriculture practices and reducing production costs.
GHG Reduction;Pesticides Reduction;+;3;Achieving GHG reduction targets is indivisibly linked to reducing pesticide use, as sustainable agriculture practices are essential for both climate change mitigation and pesticide reduction.
Competitive Agriculture;Food quality;+;2;Promoting competitive agriculture can reinforce food quality by supporting sustainable agriculture practices, improving food safety, and reducing the environmental impact of agriculture.
Competitive Agriculture;Food affordability;+;1;Improving agricultural competitiveness can create conditions that further food affordability by increasing efficiency and reducing production costs.
Social Security - Workers Protection;Food quality;+;2;Protecting workers' rights and promoting fair labour conditions can reinforce food quality by ensuring that food production and processing are done in a safe and healthy environment.
Social Security - Workers Protection;Food affordability;+;1;Promoting social security and workers' protection can create conditions that further food affordability by reducing poverty and improving access to nutritious food.
Pesticides Reduction;Food quality;+;3;Reducing pesticide use is indivisibly linked to improving food quality, as it reduces the risk of pesticide residues in food and promotes sustainable agriculture practices.
Pesticides Reduction;Food affordability;+;1;Reducing pesticide use can create conditions that further food affordability by reducing production costs and promoting sustainable agriculture practices.
Food quality;Improve Air Quality;+;2;Improving food quality can reinforce efforts to improve air quality, as sustainable agriculture practices can reduce air pollution and promote a healthier environment.
Food quality;Improve Water Quality;+;2;Promoting food quality can reinforce efforts to improve water quality, as sustainable agriculture practices can reduce water pollution and promote a healthier environment.
Food affordability;Improve Soils Health;+;1;Improving food affordability can create conditions that further soil health by promoting sustainable agriculture practices and reducing soil degradation.
Food affordability;Noise Reduction;+;1;Reducing food waste and improving food distribution can create conditions that further noise reduction by reducing the need for transportation and promoting local food systems.
