GHG Reduction;GHG Reduction - Buildings;+;2;The implementation of GHG reduction targets can reinforce the achievement of GHG reduction in buildings by promoting the use of low-carbon technologies and increasing energy efficiency in buildings.
GHG Reduction;GHG Reduction - Transports;+;2;The implementation of GHG reduction targets can aid the achievement of GHG reduction in transports by encouraging the adoption of low-carbon fuels and promoting the use of alternative modes of transport.
GHG Reduction;Waste Reduction;+;1;The implementation of GHG reduction targets can enable the achievement of waste reduction targets by promoting the recycling and reuse of materials and reducing waste generation.
GHG Reduction;Waste Reduction - Municipal Waste;+;1;The implementation of GHG reduction targets can facilitate the achievement of municipal waste reduction targets by encouraging the recycling and composting of organic waste and reducing the amount of waste sent to landfills.
GHG Reduction;Waste Reduction - Food Waste;+;1;The implementation of GHG reduction targets can aid the achievement of food waste reduction targets by promoting sustainable food systems and reducing food waste generation.
GHG Reduction;Waste Reduction - Plastic & Packaging;+;1;The implementation of GHG reduction targets can enable the achievement of plastic and packaging waste reduction targets by promoting the use of recyclable materials and reducing single-use plastics.
GHG Reduction;Circularity/Recycling;+;2;The implementation of GHG reduction targets can reinforce the achievement of circular economy and recycling targets by promoting the use of recycled materials and reducing waste generation.
GHG Reduction;Circularity/Recycling - Municipal Waste;+;2;The implementation of GHG reduction targets can aid the achievement of municipal waste recycling targets by promoting the recycling of municipal waste and reducing the amount of waste sent to landfills.
GHG Reduction;Circularity/Recycling - Textile Waste;+;1;The implementation of GHG reduction targets can enable the achievement of textile waste recycling targets by promoting the recycling and reuse of textiles and reducing textile waste generation.
GHG Reduction;Circularity/Recycling - Plastic & Packaging;+;2;The implementation of GHG reduction targets can reinforce the achievement of plastic and packaging recycling targets by promoting the recycling of plastics and reducing plastic waste generation.
GHG Reduction;Circularity/Recycling - Vehicle Circularity;+;1;The implementation of GHG reduction targets can aid the achievement of vehicle recycling targets by promoting the recycling and reuse of vehicle materials and reducing vehicle waste generation.
GHG Reduction;Critical Raw Materials - Extraction & Import;+;1;The implementation of GHG reduction targets can enable the achievement of critical raw materials extraction and import targets by promoting the sustainable extraction and trade of critical raw materials.
GHG Reduction;Net-Zero Technology - Manufacturing;+;2;The implementation of GHG reduction targets can reinforce the achievement of net-zero technology manufacturing targets by promoting the development and deployment of low-carbon technologies and increasing the use of renewable energy in manufacturing processes.
GHG Reduction;GHG Removal;+;3;The implementation of GHG reduction targets can aid the achievement of GHG removal targets by promoting the use of carbon capture and storage technologies and increasing the removal of CO2 from the atmosphere.
Waste Reduction;GHG Reduction;+;1;The implementation of waste reduction targets can enable the achievement of GHG reduction targets by reducing waste generation and promoting the recycling and reuse of materials.
Waste Reduction - Municipal Waste;GHG Reduction - Buildings;+;1;The implementation of municipal waste reduction targets can aid the achievement of GHG reduction in buildings by promoting the recycling and composting of organic waste and reducing the amount of waste sent to landfills.
Waste Reduction - Food Waste;GHG Reduction - Transports;+;1;The implementation of food waste reduction targets can enable the achievement of GHG reduction in transports by promoting sustainable food systems and reducing food waste generation.
Waste Reduction - Plastic & Packaging;Circularity/Recycling;+;2;The implementation of plastic and packaging waste reduction targets can reinforce the achievement of circular economy and recycling targets by promoting the use of recyclable materials and reducing single-use plastics.
Circularity/Recycling;GHG Reduction - Buildings;+;2;The implementation of circular economy and recycling targets can aid the achievement of GHG reduction in buildings by promoting the use of recycled materials and reducing waste generation.
Circularity/Recycling - Municipal Waste;GHG Reduction - Transports;+;1;The implementation of municipal waste recycling targets can enable the achievement of GHG reduction in transports by promoting the recycling and reuse of materials and reducing waste generation.
Circularity/Recycling - Textile Waste;Critical Raw Materials - Extraction & Import;+;1;The implementation of textile waste recycling targets can aid the achievement of critical raw materials extraction and import targets by promoting the recycling and reuse of textiles and reducing textile waste generation.
Circularity/Recycling - Plastic & Packaging;Net-Zero Technology - Manufacturing;+;2;The implementation of plastic and packaging recycling targets can reinforce the achievement of net-zero technology manufacturing targets by promoting the recycling and reuse of plastics and reducing plastic waste generation.
Circularity/Recycling - Vehicle Circularity;GHG Removal;+;1;The implementation of vehicle recycling targets can enable the achievement of GHG removal targets by promoting the recycling and reuse of vehicle materials and reducing vehicle waste generation.
Critical Raw Materials - Extraction & Import;GHG Reduction;+;1;The implementation of critical raw materials extraction and import targets can aid the achievement of GHG reduction targets by promoting the sustainable extraction and trade of critical raw materials.
Net-Zero Technology - Manufacturing;GHG Reduction - Buildings;+;2;The implementation of net-zero technology manufacturing targets can reinforce the achievement of GHG reduction in buildings by promoting the development and deployment of low-carbon technologies and increasing the use of renewable energy in manufacturing processes.
GHG Removal;Waste Reduction;+;3;The implementation of GHG removal targets can aid the achievement of waste reduction targets by promoting the use of carbon capture and storage technologies and increasing the removal of CO2 from the atmosphere.
