source_subtheme;impact_subtheme;impact_type;impact_weight;justification
GHG Reduction;Terrestrial Ecosystems Restoration;+;2;Implementing GHG reduction targets can reinforce terrestrial ecosystems restoration by reducing pollution and promoting sustainable land use, thus creating a positive impact on the restoration of ecosystems.
GHG Reduction;Terrestrial Ecosystems Restoration - Agricultural Ecosystems;+;1;Reducing GHG emissions can enable the restoration of agricultural ecosystems by promoting sustainable agriculture practices and reducing the environmental impact of farming.
GHG Reduction;Terrestrial Ecosystems Restoration - Forests;+;2;GHG reduction efforts can support the restoration of forests by reducing the risk of wildfires and promoting sustainable forest management.
GHG Reduction;Marine Ecosystem Restoration;+;1;Reducing GHG emissions can help restore marine ecosystems by mitigating the effects of ocean acidification and promoting sustainable fishing practices.
GHG Reduction;Biodiversity Protection & Conservation;+;2;Implementing GHG reduction targets can reinforce biodiversity protection and conservation efforts by reducing pollution and promoting sustainable land use, thus creating a positive impact on biodiversity.
GHG Reduction;Biodiversity Protection & Conservation - Fisheries;+;1;Reducing GHG emissions can support biodiversity protection and conservation in fisheries by promoting sustainable fishing practices and reducing bycatch.
GHG Reduction;Biodiversity Protection & Conservation - Monitoring;+;1;GHG reduction efforts can support biodiversity monitoring by providing data and promoting sustainable land use, thus creating conditions for effective biodiversity conservation.
GHG Reduction;Biodiversity Protection & Conservation - Urban Nature;+;1;Reducing GHG emissions can support biodiversity protection and conservation in urban areas by promoting sustainable urban planning and reducing air pollution.
Terrestrial Ecosystems Restoration;Food quality;+;1;Restoring terrestrial ecosystems can support food quality by promoting sustainable agriculture practices and reducing the use of pesticides and fertilizers.
Terrestrial Ecosystems Restoration - Agricultural Ecosystems;Food affordability;+;1;Restoring agricultural ecosystems can support food affordability by promoting sustainable agriculture practices and reducing food waste.
Terrestrial Ecosystems Restoration - Forests;Pesticides Reduction;+;2;Restoring forests can support pesticide reduction efforts by promoting sustainable forest management and reducing the use of pesticides.
Marine Ecosystem Restoration;Competitive Agriculture;+;1;Restoring marine ecosystems can support competitive agriculture by promoting sustainable fishing practices and reducing the environmental impact of fishing.
Biodiversity Protection & Conservation;Food quality - Animal Welfare;+;2;Protecting biodiversity can support animal welfare by promoting sustainable agriculture practices and reducing the use of pesticides and fertilizers, thus creating better conditions for animal health.
Biodiversity Protection & Conservation - Fisheries;Food quality - Healthy Food;+;1;Protecting biodiversity in fisheries can support healthy food production by promoting sustainable fishing practices and reducing the use of harmful substances.
Biodiversity Protection & Conservation - Monitoring;Social Security - Workers Protection;+;1;Monitoring biodiversity can support social security and worker protection by providing data and promoting sustainable land use, thus creating conditions for fair labor practices.
Biodiversity Protection & Conservation - Urban Nature;Food affordability;+;1;Protecting urban nature can support food affordability by promoting sustainable urban planning and reducing food waste.
