source_subtheme;impact_subtheme;impact_type;impact_weight;justification
GHG Reduction;GHG Reduction - Buildings;+;2;Implementing GHG reduction targets can reinforce the implementation of GHG reduction targets in buildings, as both aim to reduce emissions and promote sustainable practices.
GHG Reduction;GHG Reduction - Transports;+;2;Reducing GHG emissions can aid in the transition to low-carbon transportation, supporting the implementation of GHG reduction targets in the transport sector.
GHG Reduction;Food affordability;+;1;Reducing GHG emissions can lead to increased food production and security, enabling more affordable and sustainable food options.
GHG Reduction;Pesticides Reduction;+;1;Lower GHG emissions can result in reduced pollution and healthier ecosystems, making it easier to reduce pesticide use and promote sustainable agriculture.
GHG Reduction;Competitive Agriculture;+;1;A low-carbon economy can support sustainable agriculture, enabling farmers to adopt more environmentally friendly practices and increase their competitiveness.
GHG Reduction;Social Security - Workers Protection;+;1;A just transition to a low-carbon economy can protect workers' rights and promote social cohesion, supporting the implementation of social security and worker protection measures.
GHG Reduction - Buildings;GHG Reduction;+;2;Implementing GHG reduction targets in buildings can reinforce the overall GHG reduction strategy, supporting the achievement of EU climate goals.
GHG Reduction - Transports;GHG Reduction;+;2;Transitioning to low-carbon transportation can aid in reducing emissions and promoting sustainable practices, reinforcing the implementation of GHG reduction targets.
Food quality;Food affordability;+;1;Promoting sustainable food systems can lead to increased food affordability, supporting the implementation of food affordability targets.
Food quality - Animal Welfare;Food quality - Healthy Food;+;1;Improving animal welfare and promoting healthy diets can support the implementation of food quality targets, enabling the production of healthier and more sustainable food options.
Food affordability;Pesticides Reduction;+;1;Reducing food waste and promoting sustainable agriculture can support the reduction of pesticide use, enabling the implementation of pesticide reduction targets.
Pesticides Reduction;Competitive Agriculture;+;1;Reducing pesticide use can support sustainable agriculture, enabling farmers to adopt more environmentally friendly practices and increase their competitiveness.
Competitive Agriculture;Social Security - Workers Protection;+;1;Promoting competitive and sustainable agriculture can support the implementation of social security and worker protection measures, protecting farmers' livelihoods and promoting social cohesion.
