source_subtheme;impact_subtheme;impact_type;impact_weight;justification
GHG Reduction;Terrestrial Ecosystems Restoration;+;2;The implementation of GHG reduction targets can reinforce the restoration of terrestrial ecosystems, as reducing emissions can lead to increased carbon sequestration in forests and other ecosystems, which in turn can support biodiversity conservation and ecosystem services.
GHG Reduction;Terrestrial Ecosystems Restoration - Agricultural Ecosystems;+;1;Reducing GHG emissions can create conditions that further the restoration of agricultural ecosystems, as it can lead to increased use of sustainable agricultural practices and reduced synthetic fertilizer use, which can improve soil health and reduce pollution.
GHG Reduction;Marine Ecosystem Restoration;+;1;Reducing GHG emissions can create conditions that further the restoration of marine ecosystems, as it can lead to reduced ocean acidification and increased marine biodiversity.
GHG Reduction;Biodiversity Protection & Conservation;+;2;The implementation of GHG reduction targets can aid the protection and conservation of biodiversity, as reducing emissions can lead to improved air and water quality, which can support the health and resilience of ecosystems and species.
GHG Reduction;Biodiversity Protection & Conservation - Fisheries;+;1;Reducing GHG emissions can create conditions that further the protection and conservation of fisheries, as it can lead to reduced pollution and improved water quality, which can support the health and resilience of aquatic ecosystems.
Net-Zero Technology - Road Vehicles;Terrestrial Ecosystems Restoration;+;2;The development and deployment of net-zero technology in road vehicles can reinforce the restoration of terrestrial ecosystems, as it can lead to increased use of renewable energy sources and reduced emissions, which can support biodiversity conservation and ecosystem services.
Net-Zero Technology - Road Vehicles;Terrestrial Ecosystems Restoration - Agricultural Ecosystems;+;1;The implementation of net-zero technology in road vehicles can create conditions that further the restoration of agricultural ecosystems, as it can lead to increased use of sustainable agricultural practices and reduced synthetic fertilizer use, which can improve soil health and reduce pollution.
Net-Zero Technology - Road Vehicles;Marine Ecosystem Restoration;+;1;The development and deployment of net-zero technology in road vehicles can create conditions that further the restoration of marine ecosystems, as it can lead to reduced pollution and improved water quality, which can support the health and resilience of aquatic ecosystems.
Net-Zero Technology - Road Vehicles;Biodiversity Protection & Conservation;+;2;The implementation of net-zero technology in road vehicles can aid the protection and conservation of biodiversity, as it can lead to improved air and water quality, which can support the health and resilience of ecosystems and species.
Net-Zero Technology - Road Vehicles;Biodiversity Protection & Conservation - Fisheries;+;1;The development and deployment of net-zero technology in road vehicles can create conditions that further the protection and conservation of fisheries, as it can lead to reduced pollution and improved water quality, which can support the health and resilience of aquatic ecosystems.
Biofuels;Terrestrial Ecosystems Restoration;+;1;The production and use of biofuels can create conditions that further the restoration of terrestrial ecosystems, as it can lead to increased use of sustainable land-use practices and reduced emissions, which can support biodiversity conservation and ecosystem services.
Biofuels;Terrestrial Ecosystems Restoration - Agricultural Ecosystems;+;1;The implementation of biofuels can create conditions that further the restoration of agricultural ecosystems, as it can lead to increased use of sustainable agricultural practices and reduced synthetic fertilizer use, which can improve soil health and reduce pollution.
