source_subtheme;impact_subtheme;impact_type;impact_weight;justification
GHG Reduction;Renewable Energy;+;2;Implementing GHG reduction targets can reinforce the transition to renewable energy sources, as both are interlinked in reducing emissions and promoting sustainable energy production.
GHG Reduction;Renewable Energy - Heating & Cooling;+;1;Reducing GHG emissions can create conditions for the development of renewable energy sources for heating and cooling, enabling a low-carbon energy mix.
GHG Reduction;Energy Efficiency;+;1;GHG reduction efforts can enable energy efficiency measures by reducing energy demand, thus facilitating the implementation of energy-efficient technologies and practices.
GHG Reduction;Energy Efficiency - Buildings;+;1;Reducing GHG emissions can create conditions for improving energy efficiency in buildings, as lower energy consumption can facilitate the adoption of energy-efficient technologies and practices.
GHG Reduction;Renewable Energy - Hydrogen Production;+;2;Implementing GHG reduction targets can reinforce the development of renewable hydrogen production, as both are interlinked in reducing emissions and promoting sustainable energy production.
GHG Reduction;Renewable Energy - Ocean/Offshore;+;1;Reducing GHG emissions can create conditions for the development of offshore renewable energy sources, enabling a low-carbon energy mix and promoting sustainable energy production.
GHG Reduction;Renewable Energy - Solar;+;1;Implementing GHG reduction targets can facilitate the transition to solar energy, as both are interlinked in reducing emissions and promoting sustainable energy production.
Food quality;Food affordability;+;1;Improving food quality can create conditions for ensuring food affordability, as sustainable food production practices can lead to more efficient food systems and reduced food waste.
Food quality - Animal Welfare;Food affordability;+;1;Promoting animal welfare in food production can create conditions for ensuring food affordability, as sustainable farming practices can lead to more efficient food systems and reduced food waste.
Food quality - Healthy Food;Food affordability;+;1;Encouraging healthy and sustainable food choices can create conditions for ensuring food affordability, as sustainable food production practices can lead to more efficient food systems and reduced food waste.
Pesticides Reduction;Competitive Agriculture;+;2;Reducing pesticide use can reinforce sustainable agricultural practices, enabling the development of more resilient and productive farming systems, and promoting fair economic viability for farmers.
Competitive Agriculture;Social Security - Workers Protection;+;1;Promoting competitive agriculture can create conditions for protecting workers' rights and social protection, as fair economic viability for farmers can lead to better working conditions and social protection for agricultural workers.
Social Security - Workers Protection;Renewable Energy;+;1;Protecting workers' rights and social protection can create conditions for a just transition to renewable energy sources, enabling the development of sustainable and inclusive energy systems.
Renewable Energy;Renewable Energy - Heating & Cooling;+;2;Developing renewable energy sources can reinforce the transition to renewable energy sources for heating and cooling, enabling a low-carbon energy mix and promoting sustainable energy production.
Renewable Energy - Heating & Cooling;Energy Efficiency - Buildings;+;1;Implementing renewable energy sources for heating and cooling can create conditions for improving energy efficiency in buildings, as lower energy consumption can facilitate the adoption of energy-efficient technologies and practices.
Renewable Energy - Hydrogen Production;Energy Efficiency;+;1;Developing renewable hydrogen production can create conditions for improving energy efficiency, as hydrogen can be used as a low-carbon energy carrier and storage medium.
Renewable Energy - Ocean/Offshore;Renewable Energy - Solar;+;1;Developing offshore renewable energy sources can create conditions for the transition to solar energy, as both are interlinked in reducing emissions and promoting sustainable energy production.
Renewable Energy - Solar;Energy Efficiency;+;1;Implementing solar energy can create conditions for improving energy efficiency, as solar energy can facilitate the adoption of energy-efficient technologies and practices.
