source_subtheme;impact_subtheme;impact_type;impact_weight;justification
Improve Air Quality;Waste Reduction;+;2;The implementation of air quality targets can reinforce waste reduction efforts by reducing pollution from waste management and promoting sustainable practices.
Improve Air Quality;Circularity/Recycling;+;2;Air quality improvements can aid the transition to a circular economy by reducing emissions from production and consumption, thus reinforcing recycling and waste reduction.
Improve Soils Health;Circularity/Recycling - Municipal Waste;+;1;Soil health improvements can enable more efficient waste management and recycling, particularly for municipal waste, by promoting sustainable land use and reducing waste generation.
Noise Reduction;Social Security - Sanitation;+;1;Reducing noise pollution can create conditions that further improve sanitation by promoting quieter and more efficient waste management systems, thus enabling better public health.
Improve Water Quality;Waste Reduction - Municipal Waste;+;2;Water quality improvements can constrain options for municipal waste management, as reducing water pollution can limit the amount of waste that can be discharged into water bodies, thus reinforcing waste reduction efforts.
Improve Water Quality;Circularity/Recycling - Plastic & Packaging;+;2;Water quality targets can reinforce the transition to a circular economy by reducing plastic pollution and promoting the recycling of plastic packaging, thus reducing waste and promoting sustainable consumption.
Forest Bioeconomy;Circularity/Recycling - Critical Raw Materials - Batteries Recycling;+;3;The development of a forest bioeconomy can create conditions that further the recycling of critical raw materials, particularly for batteries, by promoting sustainable forestry practices and reducing waste generation.
Improve Soils Health;Waste Reduction - Food Waste;+;1;Soil health improvements can enable more efficient food waste reduction by promoting sustainable agriculture and reducing food waste generation, thus reinforcing waste reduction efforts.
Improve Air Quality;Waste Reduction - Plastic & Packaging;+;2;Air quality improvements can reinforce waste reduction efforts by reducing pollution from plastic packaging and promoting sustainable consumption practices, thus reducing plastic waste.
Improve Air Quality;Circularity/Recycling - Vehicle Circularity;+;2;Air quality targets can aid the transition to a circular economy by promoting the recycling and reuse of vehicles, thus reducing waste and emissions from vehicle production and disposal.
Improve Soils Health;Critical Raw Materials - Extraction & Import;+;1;Soil health improvements can create conditions that further the extraction and import of critical raw materials by promoting sustainable land use and reducing the environmental impacts of extraction and import.
Improve Water Quality;Net-Zero Technology - Manufacturing;+;2;Water quality improvements can reinforce the development of net-zero technologies by reducing emissions from manufacturing and promoting sustainable water use, thus enabling the production of clean technologies.
Improve Air Quality;Circularity/Recycling - Textile Waste;+;1;Air quality targets can enable more efficient textile waste management by promoting sustainable consumption practices and reducing emissions from textile production, thus reinforcing recycling efforts.
