GHG Reduction;GHG Reduction - Buildings;+2;Reinforcing;The implementation of GHG reduction targets can reinforce the achievement of GHG reduction in buildings by promoting the use of low-carbon technologies and energy-efficient practices in the building sector.
GHG Reduction;GHG Removal;+1;Enabling;The implementation of GHG reduction targets can enable the achievement of GHG removal by creating conditions that support the development and deployment of carbon removal technologies.
GHG Reduction - Buildings;GHG Reduction;+3;Indivisible;The implementation of GHG reduction targets in buildings is inextricably linked to the achievement of overall GHG reduction, as buildings account for a significant portion of GHG emissions.
GHG Reduction - Buildings;GHG Removal;+2;Reinforcing;The implementation of GHG reduction targets in buildings can reinforce the achievement of GHG removal by promoting the use of low-carbon technologies and energy-efficient practices in the building sector, which can support the development and deployment of carbon removal technologies.
GHG Reduction - Transports;GHG Reduction;+1;Enabling;The implementation of GHG reduction targets in transport can enable the achievement of overall GHG reduction by creating conditions that support the development and deployment of low-carbon technologies and energy-efficient practices in the transport sector.
GHG Reduction - Transports;GHG Removal;+2;Reinforcing;The implementation of GHG reduction targets in transport can reinforce the achievement of GHG removal by promoting the use of low-carbon technologies and energy-efficient practices in the transport sector, which can support the development and deployment of carbon removal technologies.
Improve Air Quality;GHG Reduction;+2;Reinforcing;The implementation of air quality improvement targets can reinforce the achievement of GHG reduction by promoting the use of low-carbon technologies and energy-efficient practices that reduce air pollution and GHG emissions.
Improve Air Quality;GHG Reduction - Buildings;+1;Enabling;The implementation of air quality improvement targets can enable the achievement of GHG reduction in buildings by creating conditions that support the development and deployment of low-carbon technologies and energy-efficient practices in the building sector.
Improve Air Quality;GHG Reduction - Transports;+2;Reinforcing;The implementation of air quality improvement targets can reinforce the achievement of GHG reduction in transport by promoting the use of low-carbon technologies and energy-efficient practices in the transport sector, which can support the development and deployment of carbon removal technologies.
Improve Water Quality;GHG Reduction;+1;Enabling;The implementation of water quality improvement targets can enable the achievement of GHG reduction by creating conditions that support the development and deployment of low-carbon technologies and energy-efficient practices that reduce water pollution and GHG emissions.
Improve Water Quality;GHG Reduction - Buildings;+2;Reinforcing;The implementation of water quality improvement targets can reinforce the achievement of GHG reduction in buildings by promoting the use of low-carbon technologies and energy-efficient practices in the building sector, which can support the development and deployment of carbon removal technologies.
Improve Water Quality;GHG Reduction - Transports;+1;Enabling;The implementation of water quality improvement targets can enable the achievement of GHG reduction in transport by creating conditions that support the development and deployment of low-carbon technologies and energy-efficient practices in the transport sector.
Improve Soils Health;GHG Reduction;+2;Reinforcing;The implementation of soil health improvement targets can reinforce the achievement of GHG reduction by promoting the use of low-carbon technologies and energy-efficient practices that reduce soil degradation and GHG emissions.
Improve Soils Health;GHG Reduction - Buildings;+1;Enabling;The implementation of soil health improvement targets can enable the achievement of GHG reduction in buildings by creating conditions that support the development and deployment of low-carbon technologies and energy-efficient practices in the building sector.
Improve Soils Health;GHG Reduction - Transports;+2;Reinforcing;The implementation of soil health improvement targets can reinforce the achievement of GHG reduction in transport by promoting the use of low-carbon technologies and energy-efficient practices in the transport sector, which can support the development and deployment of carbon removal technologies.
Noise Reduction;GHG Reduction;+1;Enabling;The implementation of noise reduction targets can enable the achievement of GHG reduction by creating conditions that support the development and deployment of low-carbon technologies and energy-efficient practices that reduce noise pollution and GHG emissions.
Noise Reduction;GHG Reduction - Buildings;+2;Reinforcing;The implementation of noise reduction targets can reinforce the achievement of GHG reduction in buildings by promoting the use of low-carbon technologies and energy-efficient practices in the building sector, which can support the development and deployment of carbon removal technologies.
Noise Reduction;GHG Reduction - Transports;+1;Enabling;The implementation of noise reduction targets can enable the achievement of GHG reduction in transport by creating conditions that support the development and deployment of low-carbon technologies and energy-efficient practices in the transport sector.
Social Security - Sanitation;GHG Reduction;+1;Enabling;The implementation of social security and sanitation targets can enable the achievement of GHG reduction by creating conditions that support the development and deployment of low-carbon technologies and energy-efficient practices that reduce GHG emissions and improve sanitation.
Social Security - Sanitation;GHG Reduction - Buildings;+2;Reinforcing;The implementation of social security and sanitation targets can reinforce the achievement of GHG reduction in buildings by promoting the use of low-carbon technologies and energy-efficient practices in the building sector, which can support the development and deployment of carbon removal technologies.
Social Security - Sanitation;GHG Reduction - Transports;+1;Enabling;The implementation of social security and sanitation targets can enable the achievement of GHG reduction in transport by creating conditions that support the development and deployment of low-carbon technologies and energy-efficient practices in the transport sector.
