target_code;target_content;thematic_area;sub_theme;justification
TA1.10;ETS2. Contribution of the buildings and road transport sectors of 43% emission reductions by 2030 compared to 2005 and of the additional sectors, a combined cost-efficient contribution of 42% emission reductions by 2030 compared to 2005;TA1_Climate ambition;Greenhouse Gas Emissions;This target is assigned to Greenhouse Gas Emissions as it directly addresses the reduction of emissions in various sectors.
TA1.10;ETS2. Contribution of the buildings and road transport sectors of 43% emission reductions by 2030 compared to 2005 and of the additional sectors, a combined cost-efficient contribution of 42% emission reductions by 2030 compared to 2005;TA1_Climate ambition;Emission Reduction;This target is also assigned to Emission Reduction as it aims to reduce emissions by a specific percentage.
TA1.11;ESR. Increased national targets in line with an EU-wide reduction of 40% in the ESR sectors compared to 2005. Member States contribute to the overall EU reduction in 2030 with targets ranging from -10% to -50% below 2005 level (sectors: transport, buildings, agriculture and waste);TA1_Climate ambition;Emission Reduction;This target is assigned to Emission Reduction as it aims to increase national targets for reducing emissions.
TA1.11;ESR. Increased national targets in line with an EU-wide reduction of 40% in the ESR sectors compared to 2005. Member States contribute to the overall EU reduction in 2030 with targets ranging from -10% to -50% below 2005 level (sectors: transport, buildings, agriculture and waste);TA1_Climate ambition;Greenhouse Gas Emissions;This target is also assigned to Greenhouse Gas Emissions as it addresses the reduction of emissions in various sectors.
TA2.3;Member States shall ensure that the contribution of renewable fuels of non-biological origin used for final energy and non-energy purposes shall be at least 42% of the hydrogen used for final energy and non-energy purposes in industry by 2030, and 60% by 2035.;TA2_Clean, affordable and secure energy;Renewable Energy;This target is assigned to Renewable Energy as it promotes the use of renewable fuels.
TA2.3;Member States shall ensure that the contribution of renewable fuels of non-biological origin used for final energy and non-energy purposes shall be at least 42% of the hydrogen used for final energy and non-energy purposes in industry by 2030, and 60% by 2035.;TA2_Clean, affordable and secure energy;Hydrogen Production;This target is also assigned to Hydrogen Production as it addresses the use of hydrogen in industry.
TA2.6;Energy demand to be covered by solar heat and geothermal should at least triple (rate is currently at 1.5%);TA2_Clean, affordable and secure energy;Solar Energy;This target is assigned to Solar Energy as it promotes the use of solar heat.
TA2.6;Energy demand to be covered by solar heat and geothermal should at least triple (rate is currently at 1.5%);TA2_Clean, affordable and secure energy;Geothermal Energy;This target is also assigned to Geothermal Energy as it addresses the use of geothermal energy.
TA2.7;Over this decade, the EU will need to install, on average, approximately 45 GW per year of PV to reach the share of 45% of energy coming from renewables set out in the REPowerEU Plan.;TA2_Clean, affordable and secure energy;Solar Energy;This target is assigned to Solar Energy as it promotes the installation of PV.
TA2.9;Member States shall collectively ensure that the share of energy from renewable sources in the Union’s gross final consumption of energy in 2030 is at least 42.5%.;TA2_Clean, affordable and secure energy;Renewable Energy;This target is assigned to Renewable Energy as it promotes the use of renewable energy sources.
TA2.11;By 31 December 2025, each Member State shall agree to establish a framework for cooperation on joint projects with one or more other Member States for the production of renewable energy, subject to the following: by 31 December 2030, Member States shall endeavour to agree on establishing at least two joint projects;TA2_Clean, affordable and secure energy;Renewable Energy Cooperation;This target is assigned to Renewable Energy Cooperation as it promotes cooperation between Member States.
TA2.11;By 31 December 2025, each Member State shall agree to establish a framework for cooperation on joint projects with one or more other Member States for the production of renewable energy, subject to the following: by 31 December 2030, Member States shall endeavour to agree on establishing at least two joint projects;TA2_Clean, affordable and secure energy;Joint Projects;This target is also assigned to Joint Projects as it addresses the establishment of joint projects.
TA2.24;Each Member State shall ensure that at least 3% of the total floor area of heated and/or cooled buildings (of buildings which have a total useful floor area of over 250 m2 and are not nearly-zero energy buildings) that are owned by public bodies is renovated each year to be transformed into at least nearly zero-energy buildings or zero-emission buildings in accordance with Article 9 of Directive 2010/31/EU.;TA2_Clean, affordable and secure energy;Building Renovation;This target is assigned to Building Renovation as it promotes the renovation of buildings.
TA2.26;At least double the annual energy renovation rate of residential and non-residential buildings by 2030 and to foster deep energy renovations.;TA2_Clean, affordable and secure energy;Building Renovation;This target is assigned to Building Renovation as it promotes the increase of energy renovation rate.
TA2.26;At least double the annual energy renovation rate of residential and non-residential buildings by 2030 and to foster deep energy renovations.;TA2_Clean, affordable and secure energy;Energy Efficiency;This target is also assigned to Energy Efficiency as it addresses the improvement of energy efficiency.
TA2.34;Member States shall ensure that the average primary energy use of the entire residential building stock decreases by at least 16% compared to 2020 by 2030, and by at least 20-22% compared to 2020 by 2035;TA2_Clean, affordable and secure energy;Energy Efficiency;This target is assigned to Energy Efficiency as it promotes the reduction of primary energy use.
TA2.40;Around 30% of EU primary steel production is expected to be decarbonised on the basis of renewable hydrogen.;TA2_Clean, affordable and secure energy;Hydrogen Production;This target is assigned to Hydrogen Production as it addresses the use of renewable hydrogen in steel production.
TA3.3;Double EU’s circular material use rate in the coming decade;TA3_Industrial strategy for a clean and circular economy;Circular Economy;This target is assigned to Circular Economy as it promotes the increase of circular material use rate.
TA3.13;By 2030, Union recycling capacity, including for all intermediate recycling steps, should be able of producing at least 25% of the Union’s annual consumption of strategic raw materials and should be able of recycling significantly increasing amounts of each strategic raw material from waste.;TA3_Industrial strategy for a clean and circular economy;Recycling;This target is assigned to Recycling as it promotes the increase of recycling capacity.
TA3.15;Producers of starting, lighting and ignition batteries, industrial batteries and electric vehicle batteries or, where appointed in accordance with Article 57(1), producer responsibility organisations, shall take back, free of charge and without an obligation on the end-user to buy a new battery, nor to have bought the battery from them, and shall ensure that all waste starting, lighting and ignition batteries, waste industrial batteries and waste electric vehicle batteries regardless of their nature, chemical composition, condition, brand, or origin of the respective category that they have made available on the market for the first time in the territory of that Member State are collected separately.;TA3_Industrial strategy for a clean and circular economy;Battery Recycling;This target is assigned to Battery Recycling as it addresses the collection and recycling of batteries.
TA3.20;Recycling shall achieve at least the following targets for recycling efficiency: No later than 31 December 2025 - 75% by average weight of lead-acid batteries, - 80% by average weight of nickel-cadmium batteries - 50% by average weight of other waste batteries No later than 31 December 2030 - 80% by average weight of lead-acid batteries,;TA3_Industrial strategy for a clean and circular economy;Recycling Efficiency;This target is assigned to Recycling Efficiency as it promotes the increase of recycling efficiency.
TA3.21;Recycling shall achieve at least the following targets for recycling efficiency: - No later than 31 December 2025, 65% by average weight of lithium-based batteries, - No later than 31 December 2030, 70% by average weight of lithium-based batteries.;TA3_Industrial strategy for a clean and circular economy;Recycling Efficiency;This target is assigned to Recycling Efficiency as it promotes the increase of recycling efficiency.
TA3.23;All recycling shall achieve at least the following targets for recovery of materials: - No later than 31 December 2027, 90% for cobalt, copper, lead, nickel; - No later than 31 December 2031, 95% for cobalt, copper, lead, nickel;;TA3_Industrial strategy for a clean and circular economy;Material Recovery;This target is assigned to Material Recovery as it promotes the recovery of materials.
TA3.25;Reduce the generation of food waste per capita, jointly in retail and other distribution of food, in restaurants and food services and in households, by 30% in comparison to the amount generated in 2020;TA3_Industrial strategy for a clean and circular economy;Food Waste Reduction;This target is assigned to Food Waste Reduction as it promotes the reduction of food waste.
TA3.27;All packaging shall be recyclable;TA3_Industrial strategy for a clean and circular economy;Packaging Recycling;This target is assigned to Packaging Recycling as it promotes the recyclability of packaging.
TA4.1;Achieve an annual production of sustainable biomethane of 35 billion cubic meters by 2030;TA4_Sustainable and smart mobility;Biomethane Production;This target is assigned to Biomethane Production as it promotes the production of sustainable biomethane.
TA4.6;Of the SAF targets reported above, synthetic aviation fuels should represent a minimum share of 1.2% from 2030, 5% from 2035, 10% from 2034, 15% from 2045, and 35% from 2050.;TA4_Sustainable and smart mobility;Sustainable Aviation Fuels;This target is assigned to Sustainable Aviation Fuels as it promotes the use of synthetic aviation fuels.
TA4.9;Cut the emissions of transport sector by 90% by 2050 relative to 1990.;TA4_Sustainable and smart mobility;Transport Emissions Reduction;This target is assigned to Transport Emissions Reduction as it promotes the reduction of emissions in the transport sector.
TA4.10;EU fisheries are encouraged to continue the positive trend, as observed for the period 2009-2019, towards reducing fuel intensity by reducing the fossil-fuel consumption per kg of landed product for at least an additional 15% for the period 2019-2030.;TA4_Sustainable and smart mobility;Fuel Efficiency;This target is assigned to Fuel Efficiency as it promotes the reduction of fuel consumption.
TA4.13;For [...] “urban buses” manufacturers shall comply with the 90% (in the reporting period 2030-2034) and 100% (as from 2035) minimum shares in their fleet of new heavy-duty vehicles;TA4_Sustainable and smart mobility;Electric Vehicles;This target is assigned to Electric Vehicles as it promotes the use of electric buses.
TA4.25;Member States shall ensure that, at the end of each year, the following power output targets are met cumulatively: (a) for each light-duty battery electric vehicle registered in their territory, a total power output of at least 1.3 kW is provided through publicly accessible recharging stations, and (b) for each light-duty plug-in hybrid vehicle registered in their territory, a total power output of at least 0.80 kW is provided through publicly accessible recharging stations.;TA4_Sustainable and smart mobility;Charging Infrastructure;This target is assigned to Charging Infrastructure as it promotes the development of recharging stations.
TA4.26;Member States shall ensure that along the TEN-T core and comprehensive network, publicly accessible recharging pools dedicated to light-duty vehicles deployed in each direction of travel with a maximum distance of 60 km in-between them offering a power output of at least 600kW and including at least one recharging point with an individual power output of at least 150 kW.;TA4_Sustainable and smart mobility;Charging Infrastructure;This target is assigned to Charging Infrastructure as it promotes the development of recharging pools.
TA4.29;By 31 December 2030, in each urban node publicly accessible recharging points dedicated to heavy-duty electric vehicles with an aggregated power output of at least 1 800 kW are deployed, provided by recharging stations with an individual power output of at least 150 kW.;TA4_Sustainable and smart mobility;Charging Infrastructure;This target is assigned to Charging Infrastructure as it promotes the development of recharging points for heavy-duty electric vehicles.
TA4.33;Member States shall ensure that at least one installation providing shore-side electricity supply to inland waterway vessels is deployed at all TEN-T core inland waterway ports by 1 January 2025, at least one installation providing shore-side electricity supply to inland waterway vessels is deployed at all TEN-T comprehensive inland waterway ports by 1 January 2030.;TA4_Sustainable and smart mobility;Electrification of Transport;This target is assigned to Electrification of Transport as it promotes the use of shore-side electricity supply.
TA5.4;Reduce by 50% the use of more hazardous pesticides;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Pesticide Reduction;This target is assigned to Pesticide Reduction as it promotes the reduction of hazardous pesticides.
TA5.9;Increase organic farming with the aim to achieve at least 25% of total farmland under organic farming by 2030;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Organic Farming;This target is assigned to Organic Farming as it promotes the increase of organic farming.
TA5.12;Genetic biodiversity of food production systems: Secure and ensure access to a range of quality seeds for plant varieties in order to adapt to the pressures of climate change.;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Biodiversity Conservation;This target is assigned to Biodiversity Conservation as it promotes the conservation of genetic biodiversity.
TA5.15;Consumption footprint: Reduce the environmental and climate footprint of the EU food system, operating within planetary boundaries. Reduce the EU’s contribution to global deforestation and forest degradation.;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Sustainable Consumption;This target is assigned to Sustainable Consumption as it promotes the reduction of environmental and climate footprint.
TA5.19;Price: Preserve the price affordability of food.;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Food Affordability;This target is assigned to Food Affordability as it promotes the preservation of price affordability.
TA5.20;Trade: Foster the competitiveness of the EU supply sector.;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Trade Competitiveness;This target is assigned to Trade Competitiveness as it promotes the competitiveness of the EU supply sector.
TA5.21;Digitalisation and knowledge transfer. Ensure access to fast broadband to all farmers and all rural areas to achieve the objective of 100% access by 2025;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Digitalization;This target is assigned to Digitalization as it promotes the access to fast broadband.
TA5.22;Transport, accessibility and infrastructure: Create shorter supply chains will support reducing dependence on long-haul transportation.;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Sustainable Transport;This target is assigned to Sustainable Transport as it promotes the creation of shorter supply chains.
TA5.25;Animal welfare: Promote better animal welfare to improve animal health and food quality.;TA5_Greening the Common Agricultural Policy - Farm to Fork Strategy;Animal Welfare;This target is assigned to Animal Welfare as it promotes the improvement of animal welfare.
TA6.1;1.a Legally protect a minimum of 30% of the EU’s land area;TA6_Preserving and protecting biodiversity;Habitat Protection;This target is assigned to Habitat Protection as it promotes the legal protection of land area.
TA6.38;Urban ecosystems. Member States shall achieve, in each urban ecosystem area, determined in accordance with Article 14(4), an increasing trend of urban tree canopy cover, measured every six years after 31 December 2030, until the satisfactory level identified in accordance with Article 14(5) is reached.;TA6_Preserving and protecting biodiversity;Urban Biodiversity;This target is assigned to Urban Biodiversity as it promotes the increase of urban tree canopy cover.
TA6.43;Marine ecosystems. Member States shall ensure, by 2030 at the latest, that the condition is known for at least 50% of the area distributed over all habitat types listed in groups 1–6 of Annex II.;TA6_Preserving and protecting biodiversity;Marine Conservation;This target is assigned to Marine Conservation as it promotes the conservation of marine ecosystems.
TA6.46;Agricultural ecosystems. Member States shall put in place measures which shall aim to restore organic soils in agricultural use constituting drained peatlands.;TA6_Preserving and protecting biodiversity;Soil Conservation;This target is assigned to Soil Conservation as it promotes the restoration of organic soils.
TA6.47;Trees. When identifying and implementing the restoration measures to meet the objectives and obligations set out in Articles 4, 6, 7, 8, 9 and 10, Member States shall aim to contribute to the commitment of planting at least three billion additional trees by 2030 at Union level.;TA6_Preserving and protecting biodiversity;Reforestation;This target is assigned to Reforestation as it promotes the planting of additional trees.
