source_subtheme;source_subtheme_targets;impact_subtheme;impact_type;impact_weight;justification
GHG Reduction;TA1.3,TA1.7,TA1.9,TA1.11,TA1.13,TA5.7;Renewable Energy;+2;The reduction of greenhouse gas emissions can be achieved through the use of renewable energy sources, which in turn can aid in the achievement of renewable energy targets.;The implementation of GHG reduction targets can create conditions that further the development and use of renewable energy.
GHG Reduction;TA1.3,TA1.7,TA1.9,TA1.11,TA1.13,TA5.7;Energy Efficiency;+2;Improving energy efficiency can lead to a reduction in greenhouse gas emissions, which can reinforce energy efficiency targets.;Energy efficiency measures can aid in the achievement of GHG reduction targets.
Net-Zero Technology - Road Vehicles;TA4.13,TA4.22,TA4.25,TA4.26,TA4.27,TA4.28,TA4.29;Renewable Energy;+2;The development of net-zero technology for road vehicles can increase the demand for renewable energy, which can reinforce renewable energy targets.;The implementation of net-zero technology targets can create conditions that further the development and use of renewable energy.
Net-Zero Technology - Road Vehicles;TA4.13,TA4.22,TA4.25,TA4.26,TA4.27,TA4.28,TA4.29;Energy Efficiency;+2;Improving energy efficiency in road vehicles can lead to a reduction in energy consumption, which can reinforce energy efficiency targets.;Energy efficiency measures can aid in the achievement of net-zero technology targets.
Biofuels;TA4.1,TA4.18,TA4.7;Renewable Energy;+1;The development of biofuels can create conditions that further the development and use of renewable energy.;Biofuels can be used to aid in the achievement of renewable energy targets.
Biofuels;TA4.1,TA4.18,TA4.7;Energy Efficiency;+1;Improving energy efficiency in biofuel production can lead to a reduction in energy consumption, which can enable energy efficiency targets.;Energy efficiency measures can aid in the achievement of biofuel targets.
Other Low-Carbon Fuels;TA4.4,TA4.5,TA4.6;Renewable Energy;+1;The development of other low-carbon fuels can create conditions that further the development and use of renewable energy.;Other low-carbon fuels can be used to aid in the achievement of renewable energy targets.
Other Low-Carbon Fuels;TA4.4,TA4.5,TA4.6;Energy Efficiency;+1;Improving energy efficiency in other low-carbon fuel production can lead to a reduction in energy consumption, which can enable energy efficiency targets.;Energy efficiency measures can aid in the achievement of other low-carbon fuel targets.
Hydrogen Distribution;TA4.23,TA4.30,TA4.31;Renewable Energy;+2;The development of hydrogen distribution infrastructure can increase the demand for renewable energy, which can reinforce renewable energy targets.;The implementation of hydrogen distribution targets can create conditions that further the development and use of renewable energy.
Hydrogen Distribution;TA4.23,TA4.30,TA4.31;Energy Efficiency;+2;Improving energy efficiency in hydrogen distribution can lead to a reduction in energy consumption, which can reinforce energy efficiency targets.;Energy efficiency measures can aid in the achievement of hydrogen distribution targets.
Urban Mobility;TA4.54;Renewable Energy;+1;The development of urban mobility solutions can create conditions that further the development and use of renewable energy.;Urban mobility solutions can be used to aid in the achievement of renewable energy targets.
Urban Mobility;TA4.54;Energy Efficiency;+1;Improving energy efficiency in urban mobility can lead to a reduction in energy consumption, which can enable energy efficiency targets.;Energy efficiency measures can aid in the achievement of urban mobility targets.
Transport Logistics;TA4.11,TA4.36,TA4.37,TA4.39,TA4.43,TA4.50,TA4.51,TA4.56;Renewable Energy;+1;The development of transport logistics solutions can create conditions that further the development and use of renewable energy.;Transport logistics solutions can be used to aid in the achievement of renewable energy targets.
Transport Logistics;TA4.11,TA4.36,TA4.37,TA4.39,TA4.43,TA4.50,TA4.51,TA4.56;Energy Efficiency;+1;Improving energy efficiency in transport logistics can lead to a reduction in energy consumption, which can enable energy efficiency targets.;Energy efficiency measures can aid in the achievement of transport logistics targets.
Rail;TA4.37,TA4.38,TA4.40;Renewable Energy;+1;The development of rail solutions can create conditions that further the development and use of renewable energy.;Rail solutions can be used to aid in the achievement of renewable energy targets.
Rail;TA4.37,TA4.38,TA4.40;Energy Efficiency;+1;Improving energy efficiency in rail can lead to a reduction in energy consumption, which can enable energy efficiency targets.;Energy efficiency measures can aid in the achievement of rail targets.
Net-Zero Technology - Maritime Transport;TA4.33,TA4.34,TA4.45;Renewable Energy;+2;The development of net-zero technology for maritime transport can increase the demand for renewable energy, which can reinforce renewable energy targets.;The implementation of net-zero technology targets can create conditions that further the development and use of renewable energy.
Net-Zero Technology - Maritime Transport;TA4.33,TA4.34,TA4.45;Energy Efficiency;+2;Improving energy efficiency in maritime transport can lead to a reduction in energy consumption, which can reinforce energy efficiency targets.;Energy efficiency measures can aid in the achievement of net-zero technology targets.
Net-Zero Technology - Aviation;TA4.32,TA4.46;Renewable Energy;+2;The development of net-zero technology for aviation can increase the demand for renewable energy, which can reinforce renewable energy targets.;The implementation of net-zero technology targets can create conditions that further the development and use of renewable energy.
Net-Zero Technology - Aviation;TA4.32,TA4.46;Energy Efficiency;+2;Improving energy efficiency in aviation can lead to a reduction in energy consumption, which can reinforce energy efficiency targets.;Energy efficiency measures can aid in the achievement of net-zero technology targets.
