source_subtheme;source_subtheme_targets;impact_subtheme;impact_type;impact_weight;justification
GHG Reduction;TA1.3,TA1.7,TA1.9,TA1.11,TA1.13,TA5.7;Improve Air Quality;+2;The reduction of greenhouse gas emissions can lead to improved air quality by decreasing the amount of pollutants released into the atmosphere, which in turn can aid in achieving better air quality.; 
GHG Reduction;TA1.3,TA1.7,TA1.9,TA1.11,TA1.13,TA5.7;Improve Water Quality;+1;Reducing GHG emissions can create conditions that further improve water quality by decreasing the amount of pollutants that enter water bodies, enabling better water management practices.; 
Biofuels;TA4.1,TA4.18,TA4.7;Improve Air Quality;-1;The production and use of biofuels can constrain air quality improvement efforts due to the potential release of pollutants during production and combustion, limiting options for achieving better air quality.; 
Biofuels;TA4.1,TA4.18,TA4.7;Improve Soils Health;-1;Biofuel production can limit soil health improvement efforts by competing with food crops for land use and potentially leading to soil degradation, constraining soil health restoration.; 
Net-Zero Technology - Road Vehicles;TA4.13,TA4.22,TA4.25,TA4.26,TA4.27,TA4.28,TA4.29,TA4.44,TA4.45,TA4.55;Improve Air Quality;+3;The transition to net-zero technology in road vehicles is inextricably linked to improving air quality, as it directly reduces emissions from transportation, making it impossible to achieve significant air quality improvements without this transition.; 
Net-Zero Technology - Road Vehicles;TA4.13,TA4.22,TA4.25,TA4.26,TA4.27,TA4.28,TA4.29,TA4.44,TA4.45,TA4.55;Improve Water Quality;+1;The reduction of emissions from road vehicles can create conditions that further improve water quality by decreasing the amount of pollutants that enter water bodies, enabling better water management practices.; 
Net-Zero Technology - Maritime Transport;TA4.33,TA4.34,TA4.45,TA4.57,TA4.58;Improve Air Quality;+2;The adoption of net-zero technologies in maritime transport can aid in achieving better air quality by reducing emissions from shipping, reinforcing air quality improvement efforts.; 
Net-Zero Technology - Aviation;TA4.32,TA4.46;Improve Air Quality;+2;The development and use of net-zero technologies in aviation can aid in achieving better air quality by reducing emissions from air travel, reinforcing air quality improvement efforts.; 
Hydrogen Distribution;TA4.23,TA4.30,TA4.31;Improve Air Quality;+1;The use of hydrogen as a clean energy carrier can create conditions that further improve air quality by providing an alternative to fossil fuels and reducing emissions, enabling better air quality management.; 
Urban Mobility;TA4.54;Improve Air Quality;+1;Improving urban mobility through sustainable transportation options can create conditions that further improve air quality by reducing the number of private vehicles on the road and promoting cleaner transportation methods.; 
Transport Logistics;TA4.11,TA4.36,TA4.37,TA4.39,TA4.43,TA4.50,TA4.51,TA4.56;Improve Air Quality;+1;The optimization of transport logistics can create conditions that further improve air quality by reducing the number of vehicles on the road and promoting more efficient transportation methods, enabling better air quality management.; 
Other Low-Carbon Fuels;TA4.4,TA4.5,TA4.6;Improve Air Quality;+1;The development and use of other low-carbon fuels can create conditions that further improve air quality by providing alternatives to fossil fuels and reducing emissions, enabling better air quality management.; 
Rail;TA4.37,TA4.38,TA4.40;Improve Air Quality;+2;The promotion of rail transport can aid in achieving better air quality by reducing the reliance on more polluting modes of transportation, reinforcing air quality improvement efforts.; 
Social Security - Sanitation;TA5.3,TA5.16,TA5.17,TA5.18,TA5.24;Improve Water Quality;+2;Improving sanitation and social security can aid in achieving better water quality by reducing the amount of waste that enters water bodies and promoting better hygiene practices, reinforcing water quality improvement efforts.; 
Social Security - Sanitation;TA5.3,TA5.16,TA5.17,TA5.18,TA5.24;Improve Soils Health;+1;The improvement of sanitation and social security can create conditions that further improve soil health by reducing the amount of waste that enters the soil and promoting better waste management practices, enabling better soil conservation.; 
Noise Reduction;TA7.17;Improve Air Quality;-1;Efforts to reduce noise pollution can constrain air quality improvement efforts by potentially leading to increased use of noise-reducing materials or technologies that have negative environmental impacts, limiting options for achieving better air quality.; 
Improve Soils Health;TA5.3,TA6.12,TA6.15,TA6.49,TA7.10,TA7.12,TA7.19,TA7.20;Improve Air Quality;+1;The improvement of soil health can create conditions that further improve air quality by reducing the amount of pollutants that enter the atmosphere through soil erosion and promoting better land management practices, enabling better air quality management.; 
Improve Soils Health;TA5.3,TA6.12,TA6.15,TA6.49,TA7.10,TA7.12,TA7.19,TA7.20;Improve Water Quality;+2;The improvement of soil health is inextricably linked to improving water quality, as healthy soils can filter and retain water, reducing the amount of pollutants that enter water bodies and promoting better water management practices.; 
