source_subtheme;source_subtheme_targets;impact_subtheme;impact_type;impact_weight;justification
Renewable Energy;TA2.10,TA2.11,TA2.12,TA2.15,TA2.19,TA2.37,TA2.9;Food quality;+2;The increased use of renewable energy can lead to a reduction in greenhouse gas emissions, which in turn can improve air quality and have a positive impact on food quality.
Renewable Energy - Hydrogen Production;TA2.1,TA2.3,TA2.40,TA4.1, TA4.20, TA4.21;Food affordability;-1;The production of renewable hydrogen can lead to an increase in energy costs, which can have a negative impact on food affordability, particularly for low-income households.
Energy Efficiency;TA2.17,TA2.22,TA2.23,TA2.30, TA2.31, TA2.33, TA2.34, TA2.35, TA2.36;Food quality;+1;Improving energy efficiency in buildings and industry can lead to a reduction in energy consumption, which can have a positive impact on food quality by reducing the environmental impact of food production and processing.
Energy Efficiency - Buildings;TA2.20,TA2.21,TA2.24,TA2.25,TA2.26,TA2.27,TA2.28,TA2.29,TA2.30,TA2.31,TA2.33,TA2.34,TA2.35,TA2.36;Food affordability;+2;Improving energy efficiency in buildings can lead to a reduction in energy costs, which can have a positive impact on food affordability, particularly for low-income households.
Social Security - Energy;TA2.2,TA2.8;Food quality;-1;The focus on social security and energy can lead to an increase in energy costs, which can have a negative impact on food quality, particularly for low-income households.
Renewable Energy - Solar;TA2.5,TA2.6,TA2.7;Food quality;+1;The increased use of solar energy can lead to a reduction in greenhouse gas emissions, which in turn can improve air quality and have a positive impact on food quality.
Renewable Energy - Ocean/Offshore;TA2.38,TA2.39;Food affordability;-2;The development of offshore renewable energy can lead to an increase in energy costs, which can have a negative impact on food affordability, particularly for low-income households.
GHG Reduction;TA1.3,TA1.7,TA1.9,TA1.11,TA1.13,TA5.7;Food quality;+3;Reducing greenhouse gas emissions can have a significant positive impact on food quality by reducing the environmental impact of food production and processing, and by improving air quality.
Energy Efficiency;TA2.17,TA2.22,TA2.23,TA2.30, TA2.31, TA2.33, TA2.34, TA2.35, TA2.36;Food affordability;+2;Improving energy efficiency can lead to a reduction in energy costs, which can have a positive impact on food affordability, particularly for low-income households.
Renewable Energy - Heating & Cooling;TA2.14,TA2.16,TA2.4;Food quality;+1;The increased use of renewable energy for heating and cooling can lead to a reduction in greenhouse gas emissions, which in turn can improve air quality and have a positive impact on food quality.
