source_policydoc;impact_policydoc;impact_type;impact_weight;justification
European Climate Law;A Renovation Wave for Europe;+;2;The European Climate Law sets a framework for reducing greenhouse gas emissions, which can reinforce the targets of A Renovation Wave for Europe by promoting energy efficiency in buildings and reducing energy consumption.
European Climate Law;Clean Industrial Deal;+;3;The European Climate Law and the Clean Industrial Deal are indivisible, as the former provides the overall climate framework and the latter outlines specific industrial decarbonization strategies, making them inextricably linked.
A Renovation Wave for Europe;European Industrial Strategy for a clean and circular economy;+;1;The Renovation Wave initiative enables the creation of conditions for the European Industrial Strategy for a clean and circular economy by promoting sustainable and energy-efficient practices in the building sector.
Clean Industrial Deal;A European Strategy for a more resilient food system;+;2;The Clean Industrial Deal can aid the achievement of A European Strategy for a more resilient food system by promoting sustainable agriculture and reducing waste, reinforcing the strategy's targets.
European Industrial Strategy for a clean and circular economy;A European Strategy for a more resilient food system;-;1;The European Industrial Strategy for a clean and circular economy may constrain options for A European Strategy for a more resilient food system, as increased industrial production could lead to higher resource consumption and environmental degradation.
A European Strategy for a more resilient food system;European Climate Law;+;2;A European Strategy for a more resilient food system can reinforce the European Climate Law by promoting sustainable agriculture and reducing greenhouse gas emissions from the agricultural sector.
European Climate Law;European Strategy to reduce methane emissions;-;2;The European Climate Law and the European Strategy to reduce methane emissions may counteract each other, as the former focuses on overall greenhouse gas emissions reduction and the latter specifically targets methane emissions, potentially leading to conflicting priorities.
A Renovation Wave for Europe;European Strategy to reduce methane emissions;+;1;The Renovation Wave initiative can enable the reduction of methane emissions by promoting energy-efficient buildings and reducing energy consumption, creating conditions for the European Strategy to reduce methane emissions.
Clean Industrial Deal;European Strategy for a more resilient food system;-;2;The Clean Industrial Deal may clash with A European Strategy for a more resilient food system, as the former prioritizes industrial decarbonization and the latter focuses on sustainable food systems, potentially leading to conflicting goals.
European Industrial Strategy for a clean and circular economy;European Climate Law;+;3;The European Industrial Strategy for a clean and circular economy is inextricably linked with the European Climate Law, as the former provides the industrial framework for achieving the latter's climate targets.
