source_policydoc;impact_policydoc;impact_type;impact_weight;justification
A Farm to Fork Strategy;REPowerEU Plan;+;2;The implementation of the Farm to Fork Strategy can reinforce the REPowerEU Plan by promoting sustainable agriculture and reducing the environmental impact of food production, which can aid in achieving the renewable energy targets set out in the REPowerEU Plan.
A Farm to Fork Strategy;Energy from Renewable Sources;+;1;The Farm to Fork Strategy can enable the Energy from Renewable Sources policy document by promoting sustainable agriculture and reducing the environmental impact of food production, which can aid in achieving the renewable energy targets.
A Farm to Fork Strategy;On energy efficiency and amending Regulation (EU) 2023/955 (recast);+;1;The Farm to Fork Strategy can enable the On energy efficiency and amending Regulation (EU) 2023/955 (recast) policy document by promoting sustainable agriculture and reducing the environmental impact of food production, which can aid in achieving the energy efficiency targets.
A Farm to Fork Strategy;A Renovation Wave for Europe;+;1;The Farm to Fork Strategy can enable the A Renovation Wave for Europe policy document by promoting sustainable agriculture and reducing the environmental impact of food production, which can aid in achieving the energy efficiency targets in buildings.
A Farm to Fork Strategy;On packaging and packaging waste;+;1;The Farm to Fork Strategy can enable the On packaging and packaging waste policy document by promoting sustainable agriculture and reducing the environmental impact of food production, which can aid in achieving the waste reduction targets.
A Farm to Fork Strategy;On the Energy Performance of Buildings (recast);+;1;The Farm to Fork Strategy can enable the On the Energy Performance of Buildings (recast) policy document by promoting sustainable agriculture and reducing the environmental impact of food production, which can aid in achieving the energy efficiency targets in buildings.
A Farm to Fork Strategy;Delivering on the EU offshore renewable energy ambitions;+;1;The Farm to Fork Strategy can enable the Delivering on the EU offshore renewable energy ambitions policy document by promoting sustainable agriculture and reducing the environmental impact of food production, which can aid in achieving the renewable energy targets.
A Farm to Fork Strategy;EU Solar Energy Strategy;+;1;The Farm to Fork Strategy can enable the EU Solar Energy Strategy policy document by promoting sustainable agriculture and reducing the environmental impact of food production, which can aid in achieving the renewable energy targets.
Clean, affordable and secure energy;A Farm to Fork Strategy;-;2;The Clean, affordable and secure energy policy document can counteract the A Farm to Fork Strategy by promoting the use of renewable energy sources, which may lead to increased energy costs for farmers and food producers, potentially impacting food prices and food security.
Clean, affordable and secure energy;Energy from Renewable Sources;+;3;The Clean, affordable and secure energy policy document can reinforce the Energy from Renewable Sources policy document by promoting the use of renewable energy sources, which can aid in achieving the renewable energy targets.
Clean, affordable and secure energy;On energy efficiency and amending Regulation (EU) 2023/955 (recast);+;2;The Clean, affordable and secure energy policy document can reinforce the On energy efficiency and amending Regulation (EU) 2023/955 (recast) policy document by promoting energy efficiency and reducing energy consumption, which can aid in achieving the energy efficiency targets.
Clean, affordable and secure energy;A Renovation Wave for Europe;+;1;The Clean, affordable and secure energy policy document can enable the A Renovation Wave for Europe policy document by promoting energy efficiency and reducing energy consumption, which can aid in achieving the energy efficiency targets in buildings.
Clean, affordable and secure energy;On packaging and packaging waste;-;1;The Clean, affordable and secure energy policy document can constrain the On packaging and packaging waste policy document by promoting the use of renewable energy sources, which may lead to increased packaging waste from renewable energy technologies.
Clean, affordable and secure energy;On the Energy Performance of Buildings (recast);+;2;The Clean, affordable and secure energy policy document can reinforce the On the Energy Performance of Buildings (recast) policy document by promoting energy efficiency and reducing energy consumption, which can aid in achieving the energy efficiency targets in buildings.
Clean, affordable and secure energy;Delivering on the EU offshore renewable energy ambitions;+;2;The Clean, affordable and secure energy policy document can reinforce the Delivering on the EU offshore renewable energy ambitions policy document by promoting the use of offshore renewable energy sources, which can aid in achieving the renewable energy targets.
Clean, affordable and secure energy;EU Solar Energy Strategy;+;1;The Clean, affordable and secure energy policy document can enable the EU Solar Energy Strategy policy document by promoting the use of renewable energy sources, which can aid in achieving the renewable energy targets.
On energy efficiency and amending Regulation (EU) 2023/955 (recast);A Farm to Fork Strategy;+;1;The On energy efficiency and amending Regulation (EU) 2023/955 (recast) policy document can enable the A Farm to Fork Strategy policy document by promoting energy efficiency and reducing energy consumption, which can aid in achieving the energy efficiency targets in agriculture.
On energy efficiency and amending Regulation (EU) 2023/955 (recast);Clean, affordable and secure energy;+;2;The On energy efficiency and amending Regulation (EU) 2023/955 (recast) policy document can reinforce the Clean, affordable and secure energy policy document by promoting energy efficiency and reducing energy consumption, which can aid in achieving the energy efficiency targets.
On energy efficiency and amending Regulation (EU) 2023/955 (recast);A Renovation Wave for Europe;+;1;The On energy efficiency and amending Regulation (EU) 2023/955 (recast) policy document can enable the A Renovation Wave for Europe policy document by promoting energy efficiency and reducing energy consumption, which can aid in achieving the energy efficiency targets in buildings.
On energy efficiency and amending Regulation (EU) 2023/955 (recast);On packaging and packaging waste;-;1;The On energy efficiency and amending Regulation (EU) 2023/955 (recast) policy document can constrain the On packaging and packaging waste policy document by promoting energy efficiency, which may lead to increased packaging waste from energy-efficient technologies.
On energy efficiency and amending Regulation (EU) 2023/955 (recast);On the Energy Performance of Buildings (recast);+;2;The On energy efficiency and amending Regulation (EU) 2023/955 (recast) policy document can reinforce the On the Energy Performance of Buildings (recast) policy document by promoting energy efficiency and reducing energy consumption, which can aid in achieving the energy efficiency targets in buildings.
On energy efficiency and amending Regulation (EU) 2023/955 (recast);Delivering on the EU offshore renewable energy ambitions;+;1;The On energy efficiency and amending Regulation (EU) 2023/955 (recast) policy document can enable the Delivering on the EU offshore renewable energy ambitions policy document by promoting energy efficiency and reducing energy consumption, which can aid in achieving the renewable energy targets.
On energy efficiency and amending Regulation (EU) 2023/955 (recast);EU Solar Energy Strategy;+;1;The On energy efficiency and amending Regulation (EU) 2023/955 (recast) policy document can enable the EU Solar Energy Strategy policy document by promoting energy efficiency and reducing energy consumption, which can aid in achieving the renewable energy targets.
On packaging and packaging waste;A Farm to Fork Strategy;-;1;The On packaging and packaging waste policy document can constrain the A Farm to Fork Strategy policy document by promoting waste reduction, which may lead to increased costs for farmers and food producers, potentially impacting food prices and food security.
On packaging and packaging waste;Clean, affordable and secure energy;-;2;The On packaging and packaging waste policy document can counteract the Clean, affordable and secure energy policy document by promoting waste reduction, which may lead to increased energy costs for renewable energy technologies, potentially impacting the renewable energy targets.
