source_policydoc;impact_policydoc;impact_type;impact_weight;justification
'A Farm to Fork Strategy';'European Industrial Strategy for a clean and competitive Europe';+;2;The implementation of the Farm to Fork Strategy's targets on sustainable agriculture and reduced use of chemical pesticides can aid the European Industrial Strategy for a clean and competitive Europe in achieving its objectives on reducing pollution and promoting a circular economy.
'A Farm to Fork Strategy';'A new Circular Economy Action Plan: For a cleaner and more competitive Europe';+;3;The Farm to Fork Strategy's focus on sustainable food systems and reduced waste can reinforce the Circular Economy Action Plan's goals on waste reduction and recycling, creating a positive impact on the environment and the economy.
'A Farm to Fork Strategy';'European Climate Law';+;1;The Farm to Fork Strategy's emphasis on sustainable agriculture and climate-resilient practices can enable the European Climate Law's objectives on reducing greenhouse gas emissions and promoting climate resilience.
'A Farm to Fork Strategy';'EU Biodiversity Strategy for 2030: a new impetus for a healthy planet';+;2;The Farm to Fork Strategy's targets on sustainable agriculture and biodiversity conservation can support the EU Biodiversity Strategy for 2030's goals on preserving and restoring ecosystems, promoting a positive impact on biodiversity.
'On the quality of water intended for human consumption';'A Farm to Fork Strategy';-;1;The implementation of the water quality policy document's targets may constrain the Farm to Fork Strategy's objectives on promoting sustainable agriculture and reducing pollution, due to potential trade-offs between water protection and agricultural practices.
'Pathway to a Healthy Planet for All EU Action Plan';'A Farm to Fork Strategy';+;3;The Pathway to a Healthy Planet for All EU Action Plan's focus on reducing pollution and promoting sustainable practices can reinforce the Farm to Fork Strategy's objectives on sustainable food systems and reduced pollution, creating a positive impact on the environment and human health.
'European assessment framework for ‘safe and sustainable by design’ chemicals and materials';'A Farm to Fork Strategy';+;2;The European assessment framework for 'safe and sustainable by design' chemicals and materials can aid the Farm to Fork Strategy in achieving its objectives on reducing pollution and promoting sustainable agriculture, by providing a framework for the development of safer and more sustainable chemicals and materials.
'On reporting of environmental data from industrial installations and establishing an Industrial Emissions Portal';'A Farm to Fork Strategy';+;1;The implementation of the environmental data reporting policy document's targets can enable the Farm to Fork Strategy's objectives on promoting sustainable agriculture and reducing pollution, by providing access to data and information on industrial emissions and environmental performance.
'on ambient air quality and cleaner air for Europe';'A Farm to Fork Strategy';+;2;The ambient air quality policy document's targets on reducing air pollution can support the Farm to Fork Strategy's goals on promoting sustainable agriculture and reducing pollution, creating a positive impact on air quality and human health.
'European Industrial Strategy for a clean and competitive Europe';'EU Biodiversity Strategy for 2030: a new impetus for a healthy planet';+;3;The European Industrial Strategy for a clean and competitive Europe's focus on sustainable practices and reduced pollution can aid the EU Biodiversity Strategy for 2030 in achieving its objectives on preserving and restoring ecosystems, promoting a positive impact on biodiversity.
'European Industrial Strategy for a clean and competitive Europe';'A new Circular Economy Action Plan: For a cleaner and more competitive Europe';+;2;The European Industrial Strategy for a clean and competitive Europe's emphasis on sustainable practices and reduced pollution can reinforce the Circular Economy Action Plan's goals on waste reduction and recycling, creating a positive impact on the environment and the economy.
'European Climate Law';'EU Biodiversity Strategy for 2030: a new impetus for a healthy planet';+;1;The European Climate Law's objectives on reducing greenhouse gas emissions and promoting climate resilience can support the EU Biodiversity Strategy for 2030's goals on preserving and restoring ecosystems, promoting a positive impact on biodiversity.
'EU Biodiversity Strategy for 2030: a new impetus for a healthy planet';'A new Circular Economy Action Plan: For a cleaner and more competitive Europe';+;2;The EU Biodiversity Strategy for 2030's focus on preserving and restoring ecosystems can aid the Circular Economy Action Plan in achieving its objectives on reducing pollution and promoting sustainable practices, creating a positive impact on the environment and the economy.
