source_policydoc;impact_policydoc;impact_type;impact_weight;justification
A Circular Economy Action Plan;A Sustainable Transport Plan;+;2;The Circular Economy Action Plan aims to reduce waste and increase recycling, which can positively impact the Sustainable Transport Plan by reducing the environmental footprint of transportation and promoting sustainable mobility.
A Circular Economy Action Plan;A Renovation Wave for Europe;+;2;The Circular Economy Action Plan can reinforce the Renovation Wave for Europe by promoting sustainable building materials and reducing waste in the construction sector.
A Circular Economy Action Plan;A EU Solar Energy Strategy;+;1;The Circular Economy Action Plan can enable the EU Solar Energy Strategy by promoting the recycling of solar panels and other renewable energy technologies.
A Circular Economy Action Plan;A REPowerEU Plan;+;1;The Circular Economy Action Plan can support the REPowerEU Plan by promoting the use of recycled materials in the production of renewable energy technologies.
A Circular Economy Action Plan;A EU Batteries Regulation;+;2;The Circular Economy Action Plan can reinforce the EU Batteries Regulation by promoting the recycling of batteries and reducing waste.
A Circular Economy Action Plan;A Proposal on packaging and packaging waste;+;2;The Circular Economy Action Plan can support the Proposal on packaging and packaging waste by promoting the recycling of packaging materials and reducing waste.
A Circular Economy Action Plan;A Proposal on the Energy Performance of Buildings;+;1;The Circular Economy Action Plan can enable the Proposal on the Energy Performance of Buildings by promoting the use of recycled materials in building construction.
A Circular Economy Action Plan;A EU Soil Strategy for 2030;+;1;The Circular Economy Action Plan can support the EU Soil Strategy for 2030 by promoting sustainable soil management practices and reducing soil pollution.
A Farm to Fork Strategy;A Circular Economy Action Plan;+;2;The Farm to Fork Strategy can reinforce the Circular Economy Action Plan by promoting sustainable agriculture practices and reducing food waste.
A Farm to Fork Strategy;A Sustainable Transport Plan;+;1;The Farm to Fork Strategy can enable the Sustainable Transport Plan by promoting the use of biofuels and other alternative fuels in transportation.
A Farm to Fork Strategy;A EU Solar Energy Strategy;+;1;The Farm to Fork Strategy can support the EU Solar Energy Strategy by promoting the use of solar energy in agriculture.
A Farm to Fork Strategy;A REPowerEU Plan;+;1;The Farm to Fork Strategy can support the REPowerEU Plan by promoting the use of renewable energy sources in agriculture.
A Farm to Fork Strategy;A Proposal on packaging and packaging waste;+;2;The Farm to Fork Strategy can reinforce the Proposal on packaging and packaging waste by promoting the reduction of packaging waste in the food sector.
A Sustainable Transport Plan;A Circular Economy Action Plan;+;2;The Sustainable Transport Plan can support the Circular Economy Action Plan by promoting the use of electric and hybrid vehicles, which can reduce waste and increase recycling.
A Sustainable Transport Plan;A EU Solar Energy Strategy;+;1;The Sustainable Transport Plan can enable the EU Solar Energy Strategy by promoting the use of solar energy in transportation.
A Sustainable Transport Plan;A REPowerEU Plan;+;1;The Sustainable Transport Plan can support the REPowerEU Plan by promoting the use of renewable energy sources in transportation.
A Sustainable Transport Plan;A Proposal on packaging and packaging waste;+;1;The Sustainable Transport Plan can support the Proposal on packaging and packaging waste by promoting the reduction of packaging waste in transportation.
A EU Solar Energy Strategy;A Circular Economy Action Plan;+;1;The EU Solar Energy Strategy can enable the Circular Economy Action Plan by promoting the recycling of solar panels and other renewable energy technologies.
A EU Solar Energy Strategy;A REPowerEU Plan;+;1;The EU Solar Energy Strategy can support the REPowerEU Plan by promoting the use of solar energy in the production of renewable energy technologies.
A EU Solar Energy Strategy;A Proposal on packaging and packaging waste;+;1;The EU Solar Energy Strategy can support the Proposal on packaging and packaging waste by promoting the recycling of packaging materials used in solar energy technologies.
A REPowerEU Plan;A Circular Economy Action Plan;+;1;The REPowerEU Plan can support the Circular Economy Action Plan by promoting the use of recycled materials in the production of renewable energy technologies.
A REPowerEU Plan;A Proposal on packaging and packaging waste;+;1;The REPowerEU Plan can support the Proposal on packaging and packaging waste by promoting the reduction of packaging waste in the production of renewable energy technologies.
A Proposal on packaging and packaging waste;A Circular Economy Action Plan;+;2;The Proposal on packaging and packaging waste can reinforce the Circular Economy Action Plan by promoting the recycling of packaging materials and reducing waste.
A Proposal on packaging and packaging waste;A Sustainable Transport Plan;+;1;The Proposal on packaging and packaging waste can support the Sustainable Transport Plan by promoting the reduction of packaging waste in transportation.
A Proposal on packaging and packaging waste;A EU Solar Energy Strategy;+;1;The Proposal on packaging and packaging waste can support the EU Solar Energy Strategy by promoting the recycling of packaging materials used in solar energy technologies.
A Proposal on packaging and packaging waste;A REPowerEU Plan;+;1;The Proposal on packaging and packaging waste can support the REPowerEU Plan by promoting the reduction of packaging waste in the production of renewable energy technologies.
