source_policydoc;impact_policydoc;impact_type;impact_weight;justification
A Farm to Fork Strategy;The EU Biodiversity Strategy;+;2;The implementation of the Farm to Fork Strategy's targets on reducing food waste and increasing organic farming can reinforce the EU Biodiversity Strategy's targets on preserving and restoring ecosystems and biodiversity.
A Farm to Fork Strategy;The EU Circular Economy Action Plan;+;1;The Farm to Fork Strategy's focus on sustainable food systems can enable the EU Circular Economy Action Plan's targets on reducing waste and increasing recycling.
The EU Biodiversity Strategy;The EU Circular Economy Action Plan;+;2;The EU Biodiversity Strategy's targets on preserving and restoring ecosystems and biodiversity can reinforce the EU Circular Economy Action Plan's targets on reducing waste and increasing recycling.
The EU Biodiversity Strategy;A Farm to Fork Strategy;-;1;The EU Biodiversity Strategy's targets on preserving and restoring ecosystems and biodiversity may constrain the Farm to Fork Strategy's targets on increasing food production and security.
The EU Circular Economy Action Plan;The EU Biodiversity Strategy;-;1;The EU Circular Economy Action Plan's targets on increasing recycling and reducing waste may counteract the EU Biodiversity Strategy's targets on preserving and restoring ecosystems and biodiversity.
The EU Circular Economy Action Plan;The EU Biodiversity Strategy;+;3;The EU Circular Economy Action Plan's targets on reducing waste and increasing recycling can significantly aid the EU Biodiversity Strategy's targets on preserving and restoring ecosystems and biodiversity.
A Farm to Fork Strategy;The EU Biodiversity Strategy;+;3;The implementation of the Farm to Fork Strategy's targets can significantly aid the EU Biodiversity Strategy's targets on preserving and restoring ecosystems and biodiversity.
The EU Biodiversity Strategy;The EU Circular Economy Action Plan;+;2;The EU Biodiversity Strategy's targets on preserving and restoring ecosystems and biodiversity can reinforce the EU Circular Economy Action Plan's targets on reducing waste and increasing recycling.
The EU Biodiversity Strategy;A Farm to Fork Strategy;-;2;The EU Biodiversity Strategy's targets on preserving and restoring ecosystems and biodiversity may counteract the Farm to Fork Strategy's targets on increasing food production and security.
The EU Circular Economy Action Plan;The EU Biodiversity Strategy;-;1;The EU Circular Economy Action Plan's targets on increasing recycling and reducing waste may constrain the EU Biodiversity Strategy's targets on preserving and restoring ecosystems and biodiversity.
The EU Circular Economy Action Plan;A Farm to Fork Strategy;-;1;The EU Circular Economy Action Plan's targets on reducing waste and increasing recycling may limit the Farm to Fork Strategy's targets on increasing food production and security.
