"source_policydoc;impact_policydoc;impact_type;impact_weight;justification
A EU Biodiversity Strategy for 2030;A Circular Economy Action Plan;+;2;The EU Biodiversity Strategy for 2030 aims to protect and restore biodiversity, which can reinforce the Circular Economy Action Plan by promoting sustainable consumption and production patterns, reducing waste, and increasing recycling rates.
A EU Biodiversity Strategy for 2030;A Farm to Fork Strategy;+;2;The EU Biodiversity Strategy for 2030 can aid the Farm to Fork Strategy by promoting sustainable agriculture practices, reducing pesticide use, and increasing organic farming, which can lead to more sustainable food systems.
A Circular Economy Action Plan;A EU Biodiversity Strategy for 2030;+;2;The Circular Economy Action Plan can support the EU Biodiversity Strategy for 2030 by reducing waste, increasing recycling rates, and promoting sustainable consumption patterns, which can help protect and restore biodiversity.
A Circular Economy Action Plan;A Farm to Fork Strategy;+;2;The Circular Economy Action Plan can reinforce the Farm to Fork Strategy by promoting sustainable food systems, reducing food waste, and increasing recycling rates, which can lead to more sustainable agriculture practices.
A Farm to Fork Strategy;A EU Biodiversity Strategy for 2030;+;2;The Farm to Fork Strategy can support the EU Biodiversity Strategy for 2030 by promoting sustainable agriculture practices, reducing pesticide use, and increasing organic farming, which can lead to more sustainable ecosystems.
A Farm to Fork Strategy;A Circular Economy Action Plan;+;2;The Farm to Fork Strategy can aid the Circular Economy Action Plan by promoting sustainable food systems, reducing food waste, and increasing recycling rates, which can lead to more sustainable consumption patterns.
A EU Soil Strategy for 2030;A Circular Economy Action Plan;+;1;The EU Soil Strategy for 2030 can enable the Circular Economy Action Plan by promoting sustainable soil management practices, reducing soil pollution, and increasing soil health, which can lead to more sustainable ecosystems.
A EU Soil Strategy for 2030;A Farm to Fork Strategy;+;1;The EU Soil Strategy for 2030 can support the Farm to Fork Strategy by promoting sustainable agriculture practices, reducing soil pollution, and increasing soil health, which can lead to more sustainable food systems.
A Nature Restoration Law;A Circular Economy Action Plan;+;1;The Nature Restoration Law can enable the Circular Economy Action Plan by promoting ecosystem restoration, reducing pollution, and increasing biodiversity, which can lead to more sustainable ecosystems.
A Nature Restoration Law;A Farm to Fork Strategy;+;1;The Nature Restoration Law can support the Farm to Fork Strategy by promoting sustainable agriculture practices, reducing pollution, and increasing biodiversity, which can lead to more sustainable food systems.
A EU Biodiversity Strategy for 2030;A Nature Restoration Law;+;3;The EU Biodiversity Strategy for 2030 and the Nature Restoration Law are indivisibly linked, as the strategy aims to protect and restore biodiversity, and the law provides a framework for nature restoration, which can lead to significant positive impacts on biodiversity.
A Circular Economy Action Plan;A EU Biodiversity Strategy for 2030;+;3;The Circular Economy Action Plan and the EU Biodiversity Strategy for 2030 are indivisibly linked, as the plan aims to reduce waste and increase recycling rates, and the strategy aims to protect and restore biodiversity, which can lead to significant positive impacts on ecosystems.
A Farm to Fork Strategy;A Nature Restoration Law;+;3;The Farm to Fork Strategy and the Nature Restoration Law are indivisibly linked, as the strategy aims to promote sustainable food systems, and the law provides a framework for nature restoration, which can lead to significant positive impacts on ecosystems."
