source_policydoc;impact_policydoc;impact_type;impact_weight;justification
A European Climate Law;A Clean Industrial Deal;+;2;The European Climate Law sets a framework for reducing greenhouse gas emissions, which can reinforce the Clean Industrial Deal by promoting low-carbon technologies and increasing energy efficiency.
A European Climate Law;A Sustainable and Smart Mobility Strategy;+;1;The European Climate Law's focus on reducing emissions can enable the Sustainable and Smart Mobility Strategy by promoting the use of low-emission vehicles and increasing investment in clean energy.
A European Climate Law;A Bioeconomy Strategy;+;1;The European Climate Law's emphasis on sustainable land use can enable the Bioeconomy Strategy by promoting the use of biomass for energy and materials production.
A European Climate Law;A Circular Economy Action Plan;+;1;The European Climate Law's focus on waste reduction and recycling can enable the Circular Economy Action Plan by promoting the use of recycled materials and reducing waste.
A Farm to Fork Strategy;A Clean Industrial Deal;+;2;The Farm to Fork Strategy's focus on sustainable agriculture can reinforce the Clean Industrial Deal by promoting the use of low-carbon technologies and increasing energy efficiency in the agricultural sector.
A Farm to Fork Strategy;A Sustainable and Smart Mobility Strategy;+;1;The Farm to Fork Strategy's emphasis on sustainable agriculture can enable the Sustainable and Smart Mobility Strategy by promoting the use of biofuels and other low-carbon energy sources in the transport sector.
A Farm to Fork Strategy;A Bioeconomy Strategy;+;2;The Farm to Fork Strategy's focus on sustainable agriculture can reinforce the Bioeconomy Strategy by promoting the use of biomass for energy and materials production.
A Farm to Fork Strategy;A Circular Economy Action Plan;+;1;The Farm to Fork Strategy's emphasis on reducing food waste can enable the Circular Economy Action Plan by promoting the use of recycled materials and reducing waste.
A European Green Deal;A Sustainable and Smart Mobility Strategy;+;2;The European Green Deal's focus on reducing emissions can reinforce the Sustainable and Smart Mobility Strategy by promoting the use of low-emission vehicles and increasing investment in clean energy.
A European Green Deal;A Clean Industrial Deal;+;3;The European Green Deal's comprehensive approach to reducing emissions can reinforce the Clean Industrial Deal by promoting low-carbon technologies, increasing energy efficiency, and reducing waste.
A European Green Deal;A Bioeconomy Strategy;+;2;The European Green Deal's emphasis on sustainable land use can reinforce the Bioeconomy Strategy by promoting the use of biomass for energy and materials production.
A European Green Deal;A Circular Economy Action Plan;+;2;The European Green Deal's focus on reducing waste and promoting recycling can enable the Circular Economy Action Plan by promoting the use of recycled materials and reducing waste.
A Sustainable and Smart Mobility Strategy;A Clean Industrial Deal;+;1;The Sustainable and Smart Mobility Strategy's focus on low-emission transport can enable the Clean Industrial Deal by promoting the use of low-carbon technologies and increasing energy efficiency in the transport sector.
A Sustainable and Smart Mobility Strategy;A Bioeconomy Strategy;+;1;The Sustainable and Smart Mobility Strategy's emphasis on sustainable transport can enable the Bioeconomy Strategy by promoting the use of biofuels and other low-carbon energy sources.
A Sustainable and Smart Mobility Strategy;A Circular Economy Action Plan;+;1;The Sustainable and Smart Mobility Strategy's focus on reducing emissions can enable the Circular Economy Action Plan by promoting the use of recycled materials and reducing waste.
A Clean Industrial Deal;A Bioeconomy Strategy;+;2;The Clean Industrial Deal's focus on low-carbon technologies can reinforce the Bioeconomy Strategy by promoting the use of biomass for energy and materials production.
A Clean Industrial Deal;A Circular Economy Action Plan;+;1;The Clean Industrial Deal's emphasis on reducing emissions can enable the Circular Economy Action Plan by promoting the use of recycled materials and reducing waste.
A Bioeconomy Strategy;A Circular Economy Action Plan;+;2;The Bioeconomy Strategy's focus on sustainable land use can reinforce the Circular Economy Action Plan by promoting the use of recycled materials and reducing waste.
