"source_policydoc;impact_policydoc;impact_type;impact_weight;justification
A Farm to Fork Strategy;EU Biodiversity Strategy for 2030;+;2;The Farm to Fork Strategy aims to reduce the environmental impact of the food system, which can reinforce the EU Biodiversity Strategy for 2030 by promoting sustainable agriculture practices and reducing pollution.
A Farm to Fork Strategy;EU Soil Strategy for 2030;+;1;The Farm to Fork Strategy can enable the EU Soil Strategy for 2030 by promoting sustainable soil management and reducing soil pollution.
Directive 2010/75/EU of the European Parliament and of the Council;EU Biodiversity Strategy for 2030;-;1;The implementation of Directive 2010/75/EU may constrain the options for achieving the EU Biodiversity Strategy for 2030, as it focuses on industrial emissions and may not directly address biodiversity conservation.
On the quality of water intended for human consumption;On Nature Restoration;+;2;The policy on water quality can reinforce the Nature Restoration policy by promoting the restoration of natural ecosystems and improving water quality, which can have a positive impact on biodiversity.
On the quality of water intended for human consumption;EU Biodiversity Strategy for 2030;+;1;The policy on water quality can enable the EU Biodiversity Strategy for 2030 by reducing pollution and improving water quality, which can have a positive impact on aquatic ecosystems and biodiversity.
On ambient air quality and cleaner air for Europe;EU Biodiversity Strategy for 2030;-;1;The implementation of the policy on ambient air quality may constrain the options for achieving the EU Biodiversity Strategy for 2030, as it focuses on reducing air pollution from industrial activities and may not directly address biodiversity conservation.
On ambient air quality and cleaner air for Europe;On Nature Restoration;+;2;The policy on ambient air quality can reinforce the Nature Restoration policy by reducing air pollution and promoting the restoration of natural ecosystems, which can have a positive impact on biodiversity and ecosystem services.
European assessment framework for ‘safe and sustainable by design’ chemicals and materials;EU Biodiversity Strategy for 2030;+;1;The European assessment framework can enable the EU Biodiversity Strategy for 2030 by promoting the development of sustainable and safe chemicals and materials, which can reduce pollution and improve environmental quality.
European assessment framework for ‘safe and sustainable by design’ chemicals and materials;On Nature Restoration;+;2;The European assessment framework can reinforce the Nature Restoration policy by promoting the development of sustainable and safe chemicals and materials, which can reduce pollution and promote the restoration of natural ecosystems.
On reporting of environmental data from industrial installations and establishing an Industrial Emissions Portal;EU Biodiversity Strategy for 2030;-;1;The implementation of the policy on industrial emissions reporting may constrain the options for achieving the EU Biodiversity Strategy for 2030, as it focuses on reducing industrial emissions and may not directly address biodiversity conservation.
On reporting of environmental data from industrial installations and establishing an Industrial Emissions Portal;On Nature Restoration;+;2;The policy on industrial emissions reporting can reinforce the Nature Restoration policy by promoting transparency and accountability in industrial activities, which can have a positive impact on biodiversity and ecosystem services.
Fisheries and Oceans Pact;EU Biodiversity Strategy for 2030;+;2;The Fisheries and Oceans Pact can reinforce the EU Biodiversity Strategy for 2030 by promoting sustainable fishing practices and reducing pollution, which can have a positive impact on marine biodiversity.
Fisheries and Oceans Pact;On Nature Restoration;+;1;The Fisheries and Oceans Pact can enable the Nature Restoration policy by promoting sustainable fishing practices and reducing pollution, which can improve water quality and promote the restoration of natural ecosystems.
EU Soil Strategy for 2030;EU Biodiversity Strategy for 2030;+;2;The EU Soil Strategy for 2030 can reinforce the EU Biodiversity Strategy for 2030 by promoting sustainable soil management and reducing soil pollution, which can have a positive impact on biodiversity and ecosystem services.
EU Soil Strategy for 2030;On Nature Restoration;+;1;The EU Soil Strategy for 2030 can enable the Nature Restoration policy by promoting sustainable soil management and reducing soil pollution, which can improve soil health and promote the restoration of natural ecosystems.
Regulation on plant reproductive material;On Nature Restoration;+;1;The Regulation on plant reproductive material can enable the Nature Restoration policy by promoting the development of sustainable and resilient plant reproductive material, which can improve ecosystem services and promote the restoration of natural ecosystems.
Regulation on plant reproductive material;EU Biodiversity Strategy for 2030;+;2;The Regulation on plant reproductive material can reinforce the EU Biodiversity Strategy for 2030 by promoting the development of sustainable and resilient plant reproductive material, which can reduce pollution and improve environmental quality.
Ensuring resilient and sustainable use of EU's natural resources;EU Biodiversity Strategy for 2030;+;2;The policy on natural resources can reinforce the EU Biodiversity Strategy for 2030 by promoting sustainable use of natural resources and reducing pollution, which can have a positive impact on biodiversity and ecosystem services.
Ensuring resilient and sustainable use of EU's natural resources;On Nature Restoration;+;1;The policy on natural resources can enable the Nature Restoration policy by promoting sustainable use of natural resources and reducing pollution, which can improve ecosystem services and promote the restoration of natural ecosystems.
Regulation on forest reproductive material;On Nature Restoration;+;1;The Regulation on forest reproductive material can enable the Nature Restoration policy by promoting the development of sustainable and resilient forest reproductive material, which can improve ecosystem services and promote the restoration of natural ecosystems.
Regulation on forest reproductive material;EU Biodiversity Strategy for 2030;+;2;The Regulation on forest reproductive material can reinforce the EU Biodiversity Strategy for 2030 by promoting the development of sustainable and resilient forest reproductive material, which can reduce pollution and improve environmental quality.
On Nature Restoration;EU Biodiversity Strategy for 2030;+;3;The Nature Restoration policy can reinforce the EU Biodiversity Strategy for 2030 by promoting the restoration of natural ecosystems and improving biodiversity, which can have a positive impact on ecosystem services and human wellbeing.
On Nature Restoration;Ensuring resilient and sustainable use of EU's natural resources;+;2;The Nature Restoration policy can reinforce the policy on natural resources by promoting the restoration of natural ecosystems and improving ecosystem services, which can have a positive impact on biodiversity and human wellbeing.
On Nature Restoration;Regulation on plant reproductive material;+;1;The Nature Restoration policy can enable the Regulation on plant reproductive material by promoting the development of sustainable and resilient plant reproductive material, which can improve ecosystem services and promote the restoration of natural ecosystems."
