source_policydoc;impact_policydoc;impact_type;impact_weight;justification
Energy from Renewable Sources;Biofuels - Directive (EU) 2023/2413;+;2;The implementation of the renewable energy targets in the Energy from Renewable Sources policy document can reinforce the biofuels targets in the Biofuels - Directive (EU) 2023/2413 by increasing the overall energy production from renewable sources, thus creating a more favorable environment for the development and use of biofuels.
On the quality of water intended for human consumption;On ensuring a level playing field for sustainable air transport;+;1;The improved water quality achieved through the implementation of the On the quality of water intended for human consumption policy document can enable the development of sustainable air transport by providing better water sources for airports and reducing the environmental impact of air travel.
On the quality of water intended for human consumption;On the deployment of alternative fuels infrastructure;+;1;The implementation of the On the quality of water intended for human consumption policy document can create conditions that further the development of alternative fuels infrastructure by ensuring access to clean water for the production of alternative fuels.
On the quality of water intended for human consumption;Sustainable and Smart Mobility Strategy;+;2;The On the quality of water intended for human consumption policy document can aid the achievement of the Sustainable and Smart Mobility Strategy by providing better water sources for transportation systems and reducing the environmental impact of transport.
On the quality of water intended for human consumption;On the use of renewable and low-carbon fuels in maritime transport and amending Directive 2009/16/EC;+;1;The improved water quality achieved through the implementation of the On the quality of water intended for human consumption policy document can create conditions that further the use of renewable and low-carbon fuels in maritime transport by reducing the environmental impact of maritime activities.
Directive 2010/75/EU of the European Parliament and of the Council;On ensuring a level playing field for sustainable air transport;+;2;The implementation of the Directive 2010/75/EU of the European Parliament and of the Council can reinforce the On ensuring a level playing field for sustainable air transport policy document by increasing the overall reduction of emissions from industrial activities, thus creating a more favorable environment for sustainable air transport.
Directive 2010/75/EU of the European Parliament and of the Council;On the deployment of alternative fuels infrastructure;+;1;The implementation of the Directive 2010/75/EU of the European Parliament and of the Council can create conditions that further the development of alternative fuels infrastructure by reducing emissions from industrial activities and creating a more favorable environment for alternative fuels.
Directive 2010/75/EU of the European Parliament and of the Council;Sustainable and Smart Mobility Strategy;+;2;The Directive 2010/75/EU of the European Parliament and of the Council can aid the achievement of the Sustainable and Smart Mobility Strategy by reducing emissions from industrial activities and creating a more favorable environment for sustainable mobility.
Directive 2010/75/EU of the European Parliament and of the Council;On the use of renewable and low-carbon fuels in maritime transport and amending Directive 2009/16/EC;+;1;The implementation of the Directive 2010/75/EU of the European Parliament and of the Council can create conditions that further the use of renewable and low-carbon fuels in maritime transport by reducing emissions from industrial activities and creating a more favorable environment for maritime transport.
Pathway to a Healthy Planet for All EU Action Plan;On ensuring a level playing field for sustainable air transport;+;1;The implementation of the Pathway to a Healthy Planet for All EU Action Plan can create conditions that further the development of sustainable air transport by reducing pollution and creating a healthier environment for air travel.
Pathway to a Healthy Planet for All EU Action Plan;On the deployment of alternative fuels infrastructure;+;1;The Pathway to a Healthy Planet for All EU Action Plan can aid the development of alternative fuels infrastructure by reducing pollution and creating a more favorable environment for alternative fuels.
Pathway to a Healthy Planet for All EU Action Plan;Sustainable and Smart Mobility Strategy;+;2;The Pathway to a Healthy Planet for All EU Action Plan can reinforce the Sustainable and Smart Mobility Strategy by reducing pollution and creating a healthier environment for transportation systems.
Pathway to a Healthy Planet for All EU Action Plan;On the use of renewable and low-carbon fuels in maritime transport and amending Directive 2009/16/EC;+;1;The implementation of the Pathway to a Healthy Planet for All EU Action Plan can create conditions that further the use of renewable and low-carbon fuels in maritime transport by reducing pollution and creating a healthier environment for maritime activities.
On ambient air quality and cleaner air for Europe;On ensuring a level playing field for sustainable air transport;+;2;The On ambient air quality and cleaner air for Europe policy document can reinforce the On ensuring a level playing field for sustainable air transport policy document by improving air quality and reducing emissions from air travel.
On ambient air quality and cleaner air for Europe;On the deployment of alternative fuels infrastructure;+;1;The On ambient air quality and cleaner air for Europe policy document can create conditions that further the development of alternative fuels infrastructure by improving air quality and reducing emissions from transportation systems.
On ambient air quality and cleaner air for Europe;Sustainable and Smart Mobility Strategy;+;2;The On ambient air quality and cleaner air for Europe policy document can aid the achievement of the Sustainable and Smart Mobility Strategy by improving air quality and reducing emissions from transportation systems.
On ambient air quality and cleaner air for Europe;On the use of renewable and low-carbon fuels in maritime transport and amending Directive 2009/16/EC;+;1;The implementation of the On ambient air quality and cleaner air for Europe policy document can create conditions that further the use of renewable and low-carbon fuels in maritime transport by improving air quality and reducing emissions from maritime activities.
European assessment framework for ‘safe and sustainable by design’ chemicals and materials;On ensuring a level playing field for sustainable air transport;+;1;The European assessment framework for ‘safe and sustainable by design’ chemicals and materials policy document can create conditions that further the development of sustainable air transport by reducing the environmental impact of air travel.
European assessment framework for ‘safe and sustainable by design’ chemicals and materials;On the deployment of alternative fuels infrastructure;+;1;The European assessment framework for ‘safe and sustainable by design’ chemicals and materials policy document can aid the development of alternative fuels infrastructure by reducing the environmental impact of alternative fuels production.
European assessment framework for ‘safe and sustainable by design’ chemicals and materials;Sustainable and Smart Mobility Strategy;+;2;The European assessment framework for ‘safe and sustainable by design’ chemicals and materials policy document can reinforce the Sustainable and Smart Mobility Strategy by reducing the environmental impact of transportation systems.
European assessment framework for ‘safe and sustainable by design’ chemicals and materials;On the use of renewable and low-carbon fuels in maritime transport and amending Directive 2009/16/EC;+;1;The implementation of the European assessment framework for ‘safe and sustainable by design’ chemicals and materials policy document can create conditions that further the use of renewable and low-carbon fuels in maritime transport by reducing the environmental impact of maritime activities.
On reporting of environmental data from industrial installations and establishing an Industrial Emissions Portal;On ensuring a level playing field for sustainable air transport;+;1;The On reporting of environmental data from industrial installations and establishing an Industrial Emissions Portal policy document can create conditions that further the development of sustainable air transport by reducing emissions from industrial activities and creating a more favorable environment for air travel.
On reporting of environmental data from industrial installations and establishing an Industrial Emissions Portal;On the deployment of alternative fuels infrastructure;+;1;The On reporting of environmental data from industrial installations and establishing an Industrial Emissions Portal policy document can aid the development of alternative fuels infrastructure by reducing emissions from industrial activities and creating a more favorable environment for alternative fuels.
On reporting of environmental data from industrial installations and establishing an Industrial Emissions Portal;Sustainable and Smart Mobility Strategy;+;2;The On reporting of environmental data from industrial installations and establishing an Industrial Emissions Portal policy document can reinforce the Sustainable and Smart Mobility Strategy by reducing emissions from transportation systems and creating a more favorable environment for sustainable mobility.
On reporting of environmental data from industrial installations and establishing an Industrial Emissions Portal;On the use of renewable and low-carbon fuels in maritime transport and amending Directive 2009/16/EC;+;1;The implementation of the On reporting of environmental data from industrial installations and establishing an Industrial Emissions Portal policy document can create conditions that further the use of renewable and low-carbon fuels in maritime transport by reducing emissions from industrial activities and creating a more favorable environment for maritime transport.
A Farm to Fork Strategy;On ensuring a level playing field for sustainable air transport;+;2;The A Farm to Fork Strategy policy document can reinforce the On ensuring a level playing field for sustainable air transport policy document by reducing emissions from agriculture and creating a more favorable environment for sustainable air transport.
A Farm to Fork Strategy;On the deployment of alternative fuels infrastructure;+;1;The A Farm to Fork Strategy policy document can create conditions that further the development of alternative fuels infrastructure by reducing emissions from agriculture and creating a more favorable environment for alternative fuels.
A Farm to Fork Strategy;Sustainable and Smart Mobility Strategy;+;2;The A Farm to Fork Strategy policy document can aid the achievement of the Sustainable and Smart Mobility Strategy by reducing emissions from agriculture and creating a more favorable environment for sustainable mobility.
