source_policydoc;impact_policydoc;impact_type;impact_weight;justification
Energy from Renewable Sources;Energy from Renewable Sources;+;1;The implementation of the renewable energy targets in the Energy from Renewable Sources policy document can enable the achievement of the energy targets in the same policy document, as renewable energy can contribute to reducing greenhouse gas emissions and improving energy security.
Energy from Renewable Sources;Biofuels - Directive (EU) 2023/2413;+;2;The renewable energy targets in the Energy from Renewable Sources policy document can reinforce the biofuels targets in the Biofuels Directive, as renewable energy and biofuels can be complementary in achieving a low-carbon energy mix.
Energy from Renewable Sources;On energy efficiency and amending Regulation (EU) 2023/955 (recast);+;1;The implementation of renewable energy targets can create conditions for improving energy efficiency, as renewable energy can reduce energy consumption and greenhouse gas emissions.
Energy from Renewable Sources;A Renovation Wave for Europe;+;1;The renewable energy targets can enable the achievement of the renovation wave targets, as building renovations can include the installation of renewable energy systems.
Energy from Renewable Sources;REPowerEU Plan;+;2;The renewable energy targets can reinforce the REPowerEU plan, as renewable energy can contribute to reducing greenhouse gas emissions and improving energy security.
Energy from Renewable Sources;EU Solar Energy Strategy;+;1;The implementation of renewable energy targets can create conditions for achieving the EU solar energy strategy, as solar energy is a key component of the renewable energy mix.
Energy from Renewable Sources;Delivering on the EU offshore renewable energy ambitions;+;1;The renewable energy targets can enable the achievement of the offshore renewable energy targets, as offshore wind energy can contribute to the renewable energy mix.
Energy from Renewable Sources;Sustainable and Smart Mobility;+;1;The implementation of renewable energy targets can create conditions for achieving sustainable and smart mobility, as electric vehicles can be powered by renewable energy.
Energy from Renewable Sources;Greening the CAP / Farm to fork Strategy;+;1;The renewable energy targets can enable the achievement of the greening of the CAP and farm to fork strategy targets, as renewable energy can reduce greenhouse gas emissions from agriculture.
Energy from Renewable Sources;Preserving and protecting biodiversity;+;1;The implementation of renewable energy targets can create conditions for preserving and protecting biodiversity, as renewable energy can reduce greenhouse gas emissions and improve air quality.
Biofuels - Directive (EU) 2023/2413;Energy from Renewable Sources;+;2;The biofuels targets in the Biofuels Directive can reinforce the renewable energy targets, as biofuels can be produced from renewable energy sources.
Biofuels - Directive (EU) 2023/2413;On energy efficiency and amending Regulation (EU) 2023/955 (recast);+;1;The biofuels targets can create conditions for improving energy efficiency, as biofuels can reduce energy consumption and greenhouse gas emissions.
Biofuels - Directive (EU) 2023/2413;A Renovation Wave for Europe;+;1;The biofuels targets can enable the achievement of the renovation wave targets, as building renovations can include the installation of biofuels-based heating systems.
Biofuels - Directive (EU) 2023/2413;REPowerEU Plan;+;2;The biofuels targets can reinforce the REPowerEU plan, as biofuels can contribute to reducing greenhouse gas emissions and improving energy security.
Biofuels - Directive (EU) 2023/2413;EU Solar Energy Strategy;+;1;The implementation of biofuels targets can create conditions for achieving the EU solar energy strategy, as biofuels can be used in conjunction with solar energy.
Biofuels - Directive (EU) 2023/2413;Delivering on the EU offshore renewable energy ambitions;+;1;The biofuels targets can enable the achievement of the offshore renewable energy targets, as biofuels can be used in maritime transport.
Biofuels - Directive (EU) 2023/2413;Sustainable and Smart Mobility;+;1;The biofuels targets can create conditions for achieving sustainable and smart mobility, as biofuels can be used in transport.
Biofuels - Directive (EU) 2023/2413;Greening the CAP / Farm to fork Strategy;+;1;The biofuels targets can enable the achievement of the greening of the CAP and farm to fork strategy targets, as biofuels can reduce greenhouse gas emissions from agriculture.
Biofuels - Directive (EU) 2023/2413;Preserving and protecting biodiversity;+;1;The implementation of biofuels targets can create conditions for preserving and protecting biodiversity, as biofuels can reduce greenhouse gas emissions and improve air quality.
On energy efficiency and amending Regulation (EU) 2023/955 (recast);Energy from Renewable Sources;+;1;The energy efficiency targets can create conditions for achieving the renewable energy targets, as energy efficiency can reduce energy consumption and greenhouse gas emissions.
On energy efficiency and amending Regulation (EU) 2023/955 (recast);Biofuels - Directive (EU) 2023/2413);+;1;The energy efficiency targets can enable the achievement of the biofuels targets, as energy efficiency can reduce energy consumption and greenhouse gas emissions.
On energy efficiency and amending Regulation (EU) 2023/955 (recast);A Renovation Wave for Europe;+;2;The energy efficiency targets can reinforce the renovation wave targets, as energy-efficient buildings can reduce energy consumption and greenhouse gas emissions.
On energy efficiency and amending Regulation (EU) 2023/955 (recast);REPowerEU Plan;+;2;The energy efficiency targets can reinforce the REPowerEU plan, as energy efficiency can contribute to reducing greenhouse gas emissions and improving energy security.
On energy efficiency and amending Regulation (EU) 2023/955 (recast);EU Solar Energy Strategy;+;1;The implementation of energy efficiency targets can create conditions for achieving the EU solar energy strategy, as energy efficiency can reduce energy consumption and greenhouse gas emissions.
On energy efficiency and amending Regulation (EU) 2023/955 (recast);Delivering on the EU offshore renewable energy ambitions;+;1;The energy efficiency targets can enable the achievement of the offshore renewable energy targets, as energy-efficient maritime transport can reduce greenhouse gas emissions.
On energy efficiency and amending Regulation (EU) 2023/955 (recast);Sustainable and Smart Mobility;+;1;The energy efficiency targets can create conditions for achieving sustainable and smart mobility, as energy-efficient transport can reduce greenhouse gas emissions.
On energy efficiency and amending Regulation (EU) 2023/955 (recast);Greening the CAP / Farm to fork Strategy;+;1;The energy efficiency targets can enable the achievement of the greening of the CAP and farm to fork strategy targets, as energy efficiency can reduce greenhouse gas emissions from agriculture.
On energy efficiency and amending Regulation (EU) 2023/955 (recast);Preserving and protecting biodiversity;+;1;The implementation of energy efficiency targets can create conditions for preserving and protecting biodiversity, as energy efficiency can reduce greenhouse gas emissions and improve air quality.
A Renovation Wave for Europe;Energy from Renewable Sources;+;1;The renovation wave targets can enable the achievement of the renewable energy targets, as building renovations can include the installation of renewable energy systems.
A Renovation Wave for Europe;Biofuels - Directive (EU) 2023/2413);+;1;The renovation wave targets can create conditions for achieving the biofuels targets, as building renovations can include the installation of biofuels-based heating systems.
A Renovation Wave for Europe;On energy efficiency and amending Regulation (EU) 2023/955 (recast);+;2;The renovation wave targets can reinforce the energy efficiency targets, as energy-efficient buildings can reduce energy consumption and greenhouse gas emissions.
A Renovation Wave for Europe;REPowerEU Plan;+;2;The renovation wave targets can reinforce the REPowerEU plan, as building renovations can contribute to reducing greenhouse gas emissions and improving energy security.
A Renovation Wave for Europe;EU Solar Energy Strategy;+;1;The implementation of renovation wave targets can create conditions for achieving the EU solar energy strategy, as solar energy can be used in conjunction with building renovations.
A Renovation Wave for Europe;Delivering on the EU offshore renewable energy ambitions;+;1;The renovation wave targets can enable the achievement of the offshore renewable energy targets, as building renovations can include the installation of offshore wind energy systems.
A Renovation Wave for Europe;Sustainable and Smart Mobility;+;1;The renovation wave targets can create conditions for achieving sustainable and smart mobility, as building renovations can include the installation of electric vehicle charging points.
A Renovation Wave for Europe;Greening the CAP / Farm to fork Strategy;+;1;The renovation wave targets can enable the achievement of the greening of the CAP and farm to fork strategy targets, as building renovations can reduce greenhouse gas emissions from agriculture.
A Renovation Wave for Europe;Preserving and protecting biodiversity;+;1;The implementation of renovation wave targets can create conditions for preserving and protecting biodiversity, as building renovations can reduce greenhouse gas emissions and improve air quality.
REPowerEU Plan;Energy from Renewable Sources;+;2;The REPowerEU plan can reinforce the renewable energy targets, as renewable energy can contribute to reducing greenhouse gas emissions and improving energy security.
REPowerEU Plan;Biofuels - Directive (EU) 2023/2413);+;2;The REPowerEU plan can reinforce the biofuels targets, as biofuels can contribute to reducing greenhouse gas emissions and improving energy security.
REPowerEU Plan;On energy efficiency and amending Regulation (EU) 2023/955 (recast);+;2;The REPowerEU plan can reinforce the energy efficiency targets, as energy efficiency can contribute to reducing greenhouse gas emissions and improving energy security.
REPowerEU Plan;A Renovation Wave for Europe;+;2;The REPowerEU plan can reinforce the renovation wave targets, as building renovations can contribute to reducing greenhouse gas emissions and improving energy security.
REPowerEU Plan;EU Solar Energy Strategy;+;1;The implementation of the REPowerEU plan can create conditions for achieving the EU solar energy strategy, as solar energy can be used in conjunction with the REPowerEU plan.
REPowerEU Plan;Delivering on the EU offshore renewable energy ambitions;+;2;The REPowerEU plan can enable the achievement of the offshore renewable energy targets, as offshore wind energy can contribute to the renewable energy mix.
REPowerEU Plan;Sustainable and Smart Mobility;+;1;The REPowerEU plan can create conditions for achieving sustainable and smart mobility, as electric vehicles can be powered by renewable energy.
REPowerEU Plan;Greening the CAP / Farm to fork Strategy;+;1;The REPowerEU plan can enable the achievement of the greening of the CAP and farm to fork strategy targets, as renewable energy can reduce greenhouse gas emissions from agriculture.
REPowerEU Plan;Preserving and protecting biodiversity;+;1;The implementation of the REPowerEU plan can create conditions for preserving and protecting biodiversity, as renewable energy can reduce greenhouse gas emissions and improve air quality.
EU Solar Energy Strategy;Energy from Renewable Sources;+;1;The EU solar energy strategy can enable the achievement of the renewable energy targets, as solar energy is a key component of the renewable energy mix.
EU Solar Energy Strategy;Biofuels - Directive (EU) 2023/2413);+;1;The EU solar energy strategy can create conditions for achieving the biofuels targets, as solar energy can be used in conjunction with biofuels.
EU Solar Energy Strategy;On energy efficiency and amending Regulation (EU) 2023/955 (recast);+;1;The EU solar energy strategy can enable the achievement of the energy efficiency targets, as solar energy can reduce energy consumption and greenhouse gas emissions.
EU Solar Energy Strategy;A Renovation Wave for Europe;+;1;The EU solar energy strategy can reinforce the renovation wave targets, as solar energy can be used in conjunction with building renovations.
EU Solar Energy Strategy;REPowerEU Plan;+;2;The EU solar energy strategy can reinforce the REPowerEU plan, as solar energy can contribute to reducing greenhouse gas emissions and improving energy security.
EU Solar Energy Strategy;Delivering on the EU offshore renewable energy ambitions;+;1;The EU solar energy strategy can enable the achievement of the offshore renewable energy targets, as solar energy can be used in maritime transport.
EU Solar Energy Strategy;Sustainable and Smart Mobility;+;1;The EU solar energy strategy can create conditions for achieving sustainable and smart mobility, as electric vehicles can be powered by solar energy.
EU Solar Energy Strategy;Greening the CAP / Farm to fork Strategy;+;1;The EU solar energy strategy can enable the achievement of the greening of the CAP and farm to fork strategy targets, as solar energy can reduce greenhouse gas emissions from agriculture.
EU Solar Energy Strategy;Preserving and protecting biodiversity;+;1;The implementation of the EU solar energy strategy can create conditions for preserving and protecting biodiversity, as solar energy can reduce greenhouse gas emissions and improve air quality.
Delivering on the EU offshore renewable energy ambitions;Energy from Renewable Sources;+;1;The offshore renewable energy targets can enable the achievement of the renewable energy targets, as offshore wind energy can contribute to the renewable energy mix.
Delivering on the EU offshore renewable energy ambitions;Biofuels - Directive (EU) 2023/2413);+;1;The offshore renewable energy targets can create conditions for achieving the biofuels targets, as offshore wind energy can be used in conjunction with biofuels.
