source_policydoc;impact_policydoc;impact_type;impact_weight;justification
'A Farm to Fork Strategy';'Pathway to a Healthy Planet for All EU Action Plan';+;2;The implementation of the Farm to Fork Strategy can reinforce the objectives of the Pathway to a Healthy Planet for All EU Action Plan by promoting sustainable agriculture and reducing pollution, which in turn can support the achievement of the plan's goals.
'A Farm to Fork Strategy';'European Industrial strategy for a clean and circular economy';+;1;The Farm to Fork Strategy can enable the European Industrial strategy for a clean and circular economy by creating conditions that support the development of sustainable and circular food systems, which can contribute to the strategy's objectives.
'A Farm to Fork Strategy';'On the quality of water intended for human consumption';+;1;The Farm to Fork Strategy can create conditions that further the objectives of the On the quality of water intended for human consumption policy document by promoting sustainable agriculture and reducing pollution, which can improve water quality.
'A Farm to Fork Strategy';'on ambient air quality and cleaner air for Europe';+;1;The implementation of the Farm to Fork Strategy can create conditions that support the achievement of the on ambient air quality and cleaner air for Europe policy document's objectives by reducing pollution from agricultural activities.
'A Farm to Fork Strategy';'European assessment framework for ‘safe and sustainable by design’ chemicals and materials';-;2;The Farm to Fork Strategy may counteract the European assessment framework for ‘safe and sustainable by design’ chemicals and materials policy document's objectives by promoting the use of chemicals in agriculture, which can be at odds with the framework's goals.
'Directive 2010/75/EU of the European Parliament and of the Council';'A Farm to Fork Strategy';+;2;The implementation of the Directive 2010/75/EU can reinforce the objectives of the A Farm to Fork Strategy by promoting sustainable agriculture and reducing pollution, which can support the strategy's goals.
'Directive 2010/75/EU of the European Parliament and of the Council';'Pathway to a Healthy Planet for All EU Action Plan';+;1;The Directive 2010/75/EU can create conditions that further the objectives of the Pathway to a Healthy Planet for All EU Action Plan by promoting sustainable agriculture and reducing pollution, which can contribute to the plan's objectives.
'On the quality of water intended for human consumption';'A Farm to Fork Strategy';+;1;The On the quality of water intended for human consumption policy document can enable the A Farm to Fork Strategy by creating conditions that support the development of sustainable and circular food systems, which can contribute to the strategy's objectives.
'On the quality of water intended for human consumption';'European Industrial strategy for a clean and circular economy';+;1;The On the quality of water intended for human consumption policy document can create conditions that further the objectives of the European Industrial strategy for a clean and circular economy by promoting sustainable water management and reducing pollution, which can support the strategy's goals.
'European Industrial strategy for a clean and circular economy';'Pathway to a Healthy Planet for All EU Action Plan';+;2;The European Industrial strategy for a clean and circular economy can reinforce the objectives of the Pathway to a Healthy Planet for All EU Action Plan by promoting sustainable and circular economy practices, which can support the plan's goals.
'European Industrial strategy for a clean and circular economy';'on ambient air quality and cleaner air for Europe';+;1;The European Industrial strategy for a clean and circular economy can create conditions that support the achievement of the on ambient air quality and cleaner air for Europe policy document's objectives by promoting sustainable and circular economy practices, which can reduce pollution and improve air quality.
