source_policydoc;impact_policydoc;impact_type;impact_weight;justification
A Farm to Fork Strategy;Energy from Renewable Sources;+;2;The implementation of the Farm to Fork Strategy can reinforce the Energy from Renewable Sources policy document by promoting sustainable agriculture practices, reducing synthetic fertilizers and pesticides, and increasing organic farming, which can lead to increased demand for renewable energy sources.
A Farm to Fork Strategy;Biofuels - Directive (EU) 2023/2413;+;1;The Farm to Fork Strategy can enable the Biofuels - Directive (EU) 2023/2413 by creating conditions for sustainable biofuels production, such as advanced biofuels and biogas, which can contribute to the EU's renewable energy mix.
A Farm to Fork Strategy;On ensuring a level playing field for sustainable air transport;+;1;The Farm to Fork Strategy can create conditions for the On ensuring a level playing field for sustainable air transport policy document by promoting sustainable food systems and reducing greenhouse gas emissions from agriculture, which can lead to increased demand for sustainable aviation fuels.
A EU Biodiversity Strategy for 2030;On Nature Restoration;+;3;The implementation of the EU Biodiversity Strategy for 2030 can have a significant positive impact on the On Nature Restoration policy document, as it aims to protect and restore ecosystems, which is a key aspect of nature restoration.
A EU Biodiversity Strategy for 2030;Fisheries and Oceans Pact;+;2;The EU Biodiversity Strategy for 2030 can reinforce the Fisheries and Oceans Pact by promoting sustainable fishing practices, reducing bycatch, and protecting marine ecosystems, which can contribute to the restoration of degraded habitats and the protection of biodiversity.
A EU Biodiversity Strategy for 2030;Regulation on plant reproductive material;+;1;The EU Biodiversity Strategy for 2030 can enable the Regulation on plant reproductive material by creating conditions for the development of sustainable plant reproductive material, which can contribute to the protection of biodiversity and ecosystem services.
A EU Biodiversity Strategy for 2030;Ensuring resilient and sustainable use of EU's natural resources;+;2;The EU Biodiversity Strategy for 2030 can reinforce the Ensuring resilient and sustainable use of EU's natural resources policy document by promoting sustainable land use, reducing pollution, and protecting ecosystems, which can contribute to the sustainable use of natural resources.
A EU Soil Strategy for 2030;On Nature Restoration;+;2;The implementation of the EU Soil Strategy for 2030 can reinforce the On Nature Restoration policy document by promoting sustainable soil management practices, reducing soil erosion, and protecting soil health, which can contribute to the restoration of degraded ecosystems.
A EU Soil Strategy for 2030;Ensuring resilient and sustainable use of EU's natural resources;+;1;The EU Soil Strategy for 2030 can enable the Ensuring resilient and sustainable use of EU's natural resources policy document by creating conditions for sustainable soil use, which can contribute to the protection of biodiversity and ecosystem services.
EU Soil Strategy for 2030;A New European Industrial Strategy;+;1;The EU Soil Strategy for 2030 can create conditions for A New European Industrial Strategy by promoting sustainable soil management practices, reducing waste, and increasing recycling, which can contribute to a circular economy.
A New European Industrial Strategy;On ensuring a level playing field for sustainable air transport;+;1;A New European Industrial Strategy can enable On ensuring a level playing field for sustainable air transport by promoting sustainable technologies, such as electric and hybrid-electric propulsion, and sustainable fuels, which can contribute to reducing greenhouse gas emissions from air transport.
On Nature Restoration;A New European Industrial Strategy;+;2;The implementation of the On Nature Restoration policy document can reinforce A New European Industrial Strategy by promoting sustainable technologies, such as nature-based solutions, and sustainable materials, which can contribute to a circular economy and reduce waste.
On Nature Restoration;Ensuring resilient and sustainable use of EU's natural resources;+;3;The On Nature Restoration policy document can have a significant positive impact on Ensuring resilient and sustainable use of EU's natural resources by promoting sustainable land use, reducing pollution, and protecting ecosystems, which can contribute to the protection of biodiversity and ecosystem services.
Ensuring resilient and sustainable use of EU's natural resources;A New European Industrial Strategy;+;2;The Ensuring resilient and sustainable use of EU's natural resources policy document can reinforce A New European Industrial Strategy by promoting sustainable technologies, such as renewable energy sources, and sustainable materials, which can contribute to a circular economy and reduce waste.
Ensuring resilient and sustainable use of EU's natural resources;On ensuring a level playing field for sustainable air transport;+;1;The Ensuring resilient and sustainable use of EU's natural resources policy document can enable On ensuring a level playing field for sustainable air transport by creating conditions for sustainable aviation fuels, such as advanced biofuels, which can contribute to reducing greenhouse gas emissions from air transport.
Energy from Renewable Sources;On ensuring a level playing field for sustainable air transport;+;2;The Energy from Renewable Sources policy document can reinforce On ensuring a level playing field for sustainable air transport by promoting sustainable energy sources, such as renewable energy, which can contribute to reducing greenhouse gas emissions from air transport.
Energy from Renewable Sources;A New European Industrial Strategy;+;1;The Energy from Renewable Sources policy document can enable A New European Industrial Strategy by promoting sustainable energy sources, such as renewable energy, which can contribute to a circular economy and reduce waste.
Biofuels - Directive (EU) 2023/2413;On ensuring a level playing field for sustainable air transport;+;1;The Biofuels - Directive (EU) 2023/2413 can create conditions for On ensuring a level playing field for sustainable air transport by promoting sustainable biofuels production, which can contribute to reducing greenhouse gas emissions from air transport.
Biofuels - Directive (EU) 2023/2413;A New European Industrial Strategy;+;1;The Biofuels - Directive (EU) 2023/2413 can enable A New European Industrial Strategy by promoting sustainable biofuels production, which can contribute to a circular economy and reduce waste.
